科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"90,790,723.10","165,137,080.19","197,678,707.67","247,842,991.15","227,587,109.55","250,057,888.25","257,732,094.12","224,779,114.36","235,518,467.15","312,680,795.87","336,153,530.41","220,308,493.50","120,501,354.13","98,240,070.85","88,567,425.46","158,379,162.26","207,089,090.22","166,748,767.36","68,258,460.78","196,901,017.21","175,809,865.22","188,735,309.12","223,254,497.61","126,514,244.53","146,752,232.25","217,873,656.25","264,182,170.08","269,509,774.58","234,707,839.35","218,709,375.83","199,818,757.94","192,374,757.76","169,085,557.22","736,745,394.45","613,007,691.09","592,094,853.14","496,355,686.51","489,822,276.03","438,463,859.67","465,789,060.99","404,390,862.75","288,160,772.67","193,744,686.24","311,094,668.96","471,912,426.07","562,790,030.41"
短期借款,,,"3,415,725.66","8,507,316.97","8,507,316.97","11,275,666.50","7,859,940.84","2,768,349.53","2,768,349.53","1,145,682.88",,,,,,,,,,,,,,,,,,,,,,"61,215,011.00","53,859,503.00","26,995,631.00","14,242,543.00","50,000,000.00","82,457,568.66","70,000,000.00","70,000,000.00","165,339,340.00","195,339,340.00","195,339,340.00","216,749,970.00","342,481,353.87","268,371,863.91","306,581,682.21"
交易性金融资产,,,,,,,,,,,,,"170,513,178.15","199,119,453.24","196,520,477.82","183,943,191.47","134,118,979.33","184,202,542.14","158,435,295.55","128,942,919.20","108,086,560.85","65,054,112.38","65,054,112.38","67,406,455.60","67,596,955.92","46,271,039.98","45,180,350.08","46,113,626.18","46,113,626.18","46,089,276.57","36,089,262.87","35,667,180.55","8,404,839.24","6,412,813.15","7,390,855.50","7,223,951.44","7,302,656.44","6,279,705.21","6,279,705.21","6,383,580.82",,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,"599,456.00","100,000.00","500,000.00",,"3,060,000.00","466,000.00","1,001,644.93","2,547,956.10","9,186,051.20",,,"1,079,240.00",,,"948,230.00","4,105,968.40","7,000,000.00","10,546,480.00","7,436,920.00","8,400,000.00","37,260,791.36","29,292,356.00","5,584,707.12","3,500,000.00","80,727,395.50","70,071,887.50","36,378,970.38","28,475,099.60","74,669,567.66","101,479,083.04","50,509,777.02","110,640,145.70","175,552,621.26","191,699,886.38","248,247,845.04","289,053,660.47","369,843,619.38","282,436,710.45","250,276,312.98"
应付票据,,"11,720,000.00","11,250,403.97","10,602,563.10",,,,"500,000.00","773,648.00",,,"2,800,000.00",,"500,000.00",,"3,000,000.00","10,150,000.00","10,150,000.00","12,650,000.00","20,126,712.58","12,300,393.54","5,919,665.21","23,669,984.25","20,397,000.00","1,246,480.00","584,566.08","584,566.08","6,300,000.00","3,600,000.00","19,686,960.00","40,586,960.00","46,330,945.87","28,046,146.67","12,052,880.40","54,673,820.31","59,408,851.57","85,543,725.19","101,368,348.82","60,799,692.30","21,605,041.07",,"29,000,000.00","29,000,000.00","9,768,200.00","9,768,200.00","10,295,732.79"
应收账款,"39,390,784.25","37,930,257.94","41,772,941.08","35,211,477.90","43,279,931.90","55,489,955.34","42,013,548.74","39,935,573.61","47,274,403.49","60,018,221.95","50,269,816.82","35,563,760.66","46,567,610.49","45,211,097.31","53,519,773.08","40,592,968.98","46,656,944.97","61,721,224.76","52,703,357.92","46,437,497.42","63,168,488.34","92,587,885.26","108,273,012.23","123,356,706.39","119,368,351.79","141,592,454.65","133,140,481.81","130,768,960.37","166,183,263.94","199,557,871.00","216,666,205.77","169,059,746.76","207,531,517.77","243,602,852.56","302,868,051.14","278,314,689.88","361,590,837.09","339,727,158.75","334,252,333.79","306,652,726.13","382,038,164.58","384,943,198.89","406,694,201.12","282,279,031.10","384,754,263.62","370,611,308.71"
应付账款,"111,977,535.87","67,893,630.20","48,994,201.50","45,868,350.74","54,068,891.23","59,813,914.29","36,710,871.01","66,560,369.75","39,539,173.58","42,590,100.83","30,835,973.21","50,901,462.08","53,289,353.78","30,441,046.51","48,347,033.81","38,409,143.23","43,638,894.76","61,096,665.84","35,475,628.39","45,596,307.93","37,274,186.73","69,115,837.96","34,447,998.72","41,769,840.89","34,555,207.48","27,029,113.90","35,257,600.37","53,715,429.69","61,386,206.93","57,235,757.99","58,312,984.52","34,779,656.85","46,094,002.78","54,466,119.80","86,341,465.87","115,864,323.08","106,914,061.20","96,897,701.04","83,490,811.87","121,938,284.61","134,162,066.41","177,472,926.57","137,800,535.63","199,449,266.67","236,781,816.83","190,961,949.54"
预付款项,"22,102,853.13","26,079,669.45","26,276,364.09","17,069,032.71","33,722,396.64","55,562,847.27","26,299,297.15","15,351,146.45","21,108,180.54","20,121,217.37","10,355,852.04","18,232,443.35","28,068,059.50","17,762,472.44","30,827,168.05","14,785,818.58","11,667,615.67","14,457,047.40","44,242,784.84","27,968,836.88","24,698,470.13","29,709,748.85","18,117,011.78","35,006,523.34","35,074,541.95","23,042,283.66","15,857,365.03","26,019,739.67","15,590,464.30","17,617,385.97","16,499,633.35","21,982,757.88","25,550,968.63","25,284,484.34","30,729,931.32","48,054,838.72","35,610,053.04","33,165,537.15","32,922,593.50","48,131,159.59","42,328,656.35","29,023,707.74","29,061,901.26","27,086,561.55","31,757,467.06","34,474,353.19"
预收款项,"10,394,164.60","15,141,410.29","12,357,928.45","15,547,018.47","18,160,234.01","23,300,977.61","16,091,656.51","19,768,603.24","24,566,045.16","24,425,538.48","14,488,599.88","7,061,078.15","9,261,060.08","6,859,514.67","4,953,909.01","5,560,629.83","12,124,728.94","9,124,177.99","10,108,238.63","16,326,624.48","18,655,410.45","13,901,286.00","8,442,791.08","16,607,910.03","10,925,230.04","10,389,063.86","9,134,794.86","14,906,123.28","8,499,489.67","6,711,329.23","7,682,903.13","11,409,762.32","9,296,574.19","9,492,242.22","16,591,759.34","24,900,328.59","11,719,093.66","11,740,684.78","19,713,078.33","42,734,905.37","18,170,375.94","22,934,117.15","20,518,584.34","42,374,729.47","19,019,585.21","17,691,940.49"
