科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"153,145,555.99","232,368,954.00","161,825,442.61","157,054,787.05","208,244,972.36","60,109,805.86","120,736,958.19","158,834,880.12","252,410,130.50","75,319,459.91","176,306,691.85","250,817,481.43","372,990,380.14","77,987,351.00","189,840,867.03","292,939,873.63","458,478,702.65","101,172,342.98","319,347,210.74","479,989,850.48","739,558,056.25","123,041,190.81","251,547,257.66","436,011,045.30","738,548,493.06","143,858,396.55","422,768,226.76","721,612,232.05","1,457,267,544.25","201,856,790.54","690,049,513.74","932,054,051.06","1,159,687,483.60","311,397,388.58","453,142,008.77","762,995,139.10","1,057,375,159.47","229,684,649.09"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196,117.42","56,290,638.51","73,073,289.76","73,073,289.76","82,073,289.76",
收到的税费返还,,,,,,,,,,,,,,,,,,"832,208.93",,,"692,577.30","334,522.20","1,591,720.50","2,281,968.97","3,235,710.92","727,861.67","1,493,671.33","2,207,897.89","2,640,178.64",,,,,,,,"5,508,255.13","589,125.68"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,
收到其他与经营活动有关的现金,"45,397,597.54","18,237,342.55","16,432,365.33","12,983,452.61","15,090,135.55","4,651,662.31","11,660,754.98","24,771,073.10","29,193,383.64","8,054,547.13","13,749,173.76","27,894,929.13","15,706,615.02","17,532,458.99","20,677,665.22","20,081,035.86","14,841,934.10","19,365,997.64","12,574,469.28","15,529,824.97","17,206,475.56","8,562,113.13","32,605,255.27","16,222,240.99","15,001,804.08","27,938,785.89","18,412,927.90","54,618,472.30","44,073,402.04","12,029,003.62","30,879,204.17","29,038,656.66","28,887,282.43","174,657,194.31","160,136,642.57","102,873,298.20","174,184,311.47","53,277,069.91"
投资活动现金流出小计,"1,567,998.33","11,439,916.79","929,575.76","3,554,445.50","15,364,946.47","8,407,365.05","53,950,999.73","60,300,419.78","91,884,788.84","12,996,194.68","67,776,595.93","91,524,569.55","103,032,570.72","6,237,824.75","48,434,402.36","57,368,531.19","62,187,397.10","7,083,589.93","13,535,096.27","41,966,173.52","162,468,532.52","34,735,681.12","60,010,117.02","83,247,708.36","250,187,557.72","35,489,490.66","208,704,866.83","304,049,548.86","360,486,663.36","18,566,558.30","61,419,349.70","85,835,403.51","934,137,734.46","80,149,983.14","141,797,812.69","197,390,558.29","258,655,495.66","9,241,561.56"
经营活动现金流入小计,"198,543,153.53","250,606,296.55","178,257,807.94","170,038,239.66","223,335,107.91","64,761,468.17","132,397,713.17","183,605,953.22","281,603,514.14","83,374,007.04","190,055,865.61","278,712,410.56","388,696,995.16","95,519,809.99","210,518,532.25","313,020,909.49","473,320,636.75","121,370,549.55","331,921,680.02","495,519,675.45","757,457,109.11","131,937,826.14","285,744,233.43","454,515,255.26","756,786,008.06","172,525,044.11","442,674,825.99","778,438,602.24","1,503,981,124.93","213,885,794.16","720,928,717.91","961,092,707.72","1,188,574,766.03","486,054,582.89","613,278,651.34","865,868,437.30","1,237,067,726.07","283,550,844.68"
投资活动产生的现金流量净额,"-223,408.88","-11,439,916.79","-929,575.76","-3,518,133.72","-15,328,634.69","-8,407,365.05","-53,950,999.73","-60,300,419.78","-86,506,209.97","-12,996,194.68","-67,776,595.93","-91,524,569.55","-103,032,570.72","-6,237,824.75","-48,431,402.36","-57,365,531.19","-62,184,397.10","-7,083,589.93","-13,535,096.27","-41,966,173.52","-162,461,532.52","-34,735,681.12","-60,010,117.02","-77,957,696.34","-197,168,540.25","-35,489,490.66","-208,566,161.33","-302,950,278.09","-321,527,385.77","9,805,131.70","-26,097,355.53","-48,510,620.45","-289,879,685.02","-78,751,983.14","-138,933,246.02","-192,781,924.95","-213,639,323.63","-6,661,561.56"
购买商品、接受劳务支付的现金,"62,547,887.00","157,457,506.00","120,777,778.86","99,660,490.22","135,744,924.11","48,245,907.11","88,207,976.86","151,944,642.00","192,734,110.55","67,584,411.37","135,624,485.24","213,514,792.88","320,243,341.87","85,989,216.63","149,089,259.85","208,410,374.31","310,318,372.64","95,346,439.83","186,934,838.19","273,070,849.73","459,334,344.84","120,923,880.14","267,200,149.73","380,255,875.38","446,668,832.38","107,930,452.23","237,876,234.15","410,097,160.08","782,978,279.84","217,432,427.26","539,423,768.29","761,307,700.36","1,011,031,362.47","362,652,825.29","457,558,700.63","664,900,064.02","809,558,084.98","183,467,820.25"
吸收投资收到的现金,,,,,,"668,000,000.00","668,000,000.00","669,142,412.30","619,718,122.00",,,,,,,,,,,,"5,000,000.00",,,"314,083,432.19","370,513,091.75",,"1,000,000.00","1,000,000.00","14,455,686.68",,"2,900,000.00","2,900,000.00","2,940,000.00",,"7,500,000.00","7,500,000.00","7,500,000.00",
支付给职工以及为职工支付的现金,"7,069,892.75","8,899,030.49","12,006,833.67","11,056,115.89","15,512,818.93","8,659,771.23","13,976,021.33","19,692,104.54","30,061,836.37","11,532,005.99","21,422,291.72","33,357,904.07","46,061,369.40","15,284,268.78","26,747,983.52","35,891,477.41","57,985,086.63","16,842,593.67","35,094,009.95","46,173,559.65","71,202,523.90","16,423,514.41","30,949,708.25","43,681,670.11","69,755,651.84","24,769,845.34","49,210,356.64","78,193,268.33","111,281,611.09","35,507,696.19","69,402,960.84","100,841,305.69","147,207,462.80","30,148,667.76","71,501,031.11","104,679,757.29","148,419,496.34","47,079,634.17"
取得借款收到的现金,"31,950,000.00",,"10,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,,,,"170,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,"69,800,000.00","289,800,000.00","389,800,000.00","283,000,000.00","483,000,000.00","483,000,000.00","483,000,000.00","358,500,000.00"
支付的各项税费,"4,322,567.00","25,502,197.87","18,566,084.42","18,690,971.30","23,292,733.26","6,916,566.53","11,276,841.67","12,791,605.46","19,701,694.36","9,462,875.72","14,377,969.70","21,958,679.39","33,731,509.84","6,144,440.09","13,014,455.26","18,842,470.14","33,516,946.89","7,719,156.28","16,011,454.33","28,431,341.03","40,255,182.50","12,497,485.23","18,340,554.12","29,601,451.86","53,701,256.26","14,172,246.18","28,159,306.76","55,037,094.80","81,016,424.01","16,671,744.87","44,223,220.03","89,523,684.47","97,829,118.56","12,008,374.66","30,427,983.55","30,360,754.55","29,765,286.01","3,605,269.27"
收到其他与筹资活动有关的现金,,"6,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00",,"4,600,000.00","4,600,000.00","4,852,500.00",
支付其他与经营活动有关的现金,"46,894,819.15","47,026,431.10","16,247,739.71","22,729,323.16","28,696,248.65","7,766,073.16","61,319,278.25","89,170,068.60","36,837,070.56","8,959,449.82","22,441,868.04","48,632,364.16","54,665,562.43","12,879,518.09","19,793,740.00","78,688,748.19","49,613,700.83","15,978,674.38","42,119,668.79","86,622,840.16","70,074,430.35","3,091,508.32","140,761,408.38","156,870,187.62","171,198,603.15","56,121,327.34","101,557,992.92","173,456,086.25","220,517,499.27","114,395,208.93","66,611,788.09","216,888,807.80","95,795,037.03","19,953,345.35","245,259,200.76","254,028,013.15","121,921,297.13","35,084,305.26"
筹资活动现金流入小计,"31,950,000.00","6,900,000.00","10,000,000.00","25,000,000.00","25,000,000.00","668,000,000.00","668,000,000.00","669,142,412.30","619,718,122.00",,,,,,,,,,,,"5,000,000.00",,,"314,083,432.19","540,513,091.75","80,000,000.00","81,000,000.00","81,000,000.00","94,455,686.68",,"72,700,000.00","292,700,000.00","402,740,000.00","283,000,000.00","495,100,000.00","495,100,000.00","495,352,500.00","358,500,000.00"
经营活动现金流出小计,"120,835,165.90","238,885,165.46","167,598,436.66","152,136,900.57","203,246,724.95","71,588,318.03","174,780,118.11","273,598,420.60","279,334,711.84","97,538,742.90","193,866,614.70","317,463,740.50","454,701,783.54","120,297,443.59","208,645,438.63","341,833,070.05","451,434,106.99","135,886,864.16","280,159,971.26","434,298,590.57","640,866,481.59","152,936,388.10","457,251,820.48","610,409,184.97","741,324,343.63","202,993,871.09","416,803,890.47","716,783,609.46","1,195,793,814.21","384,007,077.25","719,661,737.25","1,168,561,498.32","1,351,862,980.86","424,763,213.06","804,746,916.05","1,053,968,589.01","1,109,664,164.46","269,237,028.95"
偿还债务支付的现金,"61,950,000.00",,,"10,000,000.00","10,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,,,,"170,000,000.00","20,000,000.00","80,000,000.00","80,000,000.00","180,000,000.00","2,000,000.00","208,500,000.00","210,500,000.00","237,000,000.00","385,000,000.00"
经营活动产生的现金流量净额,"77,707,987.63","11,721,131.09","10,659,371.28","17,901,339.09","20,088,382.96","-6,826,849.86","-42,382,404.94","-89,992,467.38","2,268,802.30","-14,164,735.86","-3,810,749.09","-38,751,329.94","-66,004,788.38","-24,777,633.60","1,873,093.62","-28,812,160.56","21,886,529.76","-14,516,314.61","51,761,708.76","61,221,084.88","116,590,627.52","-20,998,561.96","-171,507,587.05","-155,893,929.71","15,461,664.43","-30,468,826.98","25,870,935.52","61,654,992.78","308,187,310.72","-170,121,283.09","1,266,980.66","-207,468,790.60","-163,288,214.83","61,291,369.83","-191,468,264.71","-188,100,151.71","127,403,561.61","14,313,815.73"
分配股利、利润或偿还利息支付的现金,"9,160,438.44",,"15,298,350.00","22,931,300.00","23,266,862.50","306,062.50","13,662,062.50","13,662,062.50","13,662,062.50",,"6,957,000.00","6,957,000.00","6,993,000.00",,,,,,,"5,008,500.00","5,008,500.00",,"5,194,311.99","5,194,311.99","11,556,013.60",,"12,365,212.45","15,301,249.98","18,542,841.83",,"1,302,311.12","17,556,651.57","21,592,342.35","5,634,881.93","14,422,572.81","41,608,627.60","52,649,567.88","6,904,129.08"
收回投资收到的现金,"1,180,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,462,440.00","28,371,690.00","28,371,690.00","28,371,690.00","633,891,783.07",,,,"39,154,315.20","2,580,000.00"
