科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"58,133,632.38","104,800,409.55","87,473,152.36","116,709,709.01","680,700,976.73","679,867,501.72","697,167,422.07","687,019,996.99","706,219,958.44","735,170,640.45","750,358,377.26","757,033,320.18","771,732,680.97","789,108,250.06","806,105,591.87","811,669,744.99","524,599,422.38","548,048,948.78","563,362,882.80","402,172,566.49","371,297,301.03","378,009,700.18","375,084,336.06","378,572,743.11","393,140,940.09","381,265,932.84","409,382,701.68","486,096,336.74","296,563,131.17"
短期借款,,"20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,"620,370.00","843,020.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,625,000.00","27,663,690.00","18,882,900.00","22,164,600.00","39,745,500.00","31,237,500.00","5,112,000.00","13,596,851.50","16,814,500.00","24,241,400.00","25,263,633.00","20,419,500.00","18,670,270.52","10,438,270.52","13,626,700.00","29,522,668.00","22,198,000.00","28,154,293.44","25,034,993.44","16,739,020.00","11,612,578.00","18,491,709.17","18,405,604.33","8,790,000.00","2,870,000.00","7,426,934.35","5,804,440.00","13,032,440.00","7,522,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"14,875,489.23","9,568,318.61","11,748,387.65","13,261,971.41","15,797,464.77","13,792,997.57","13,486,957.87","17,997,637.89","13,997,720.66","12,791,447.14","17,589,578.82","18,697,316.82","18,362,047.35","14,976,228.48","14,640,160.25","16,334,131.90","15,674,409.68","14,710,184.27","13,654,929.72","19,902,157.21","18,356,072.84","16,166,418.08","16,411,663.57","17,107,935.59","18,112,070.83","12,712,818.72","16,920,377.48","12,228,523.59","16,029,336.82"
应付账款,"7,745,575.07","10,787,897.95","12,327,412.11","10,986,159.50","10,839,328.45","8,898,949.14","7,586,174.37","7,422,245.85","6,613,485.92","6,878,999.72","11,332,429.97","12,266,746.72","9,062,904.14","6,521,937.13","7,948,008.51","13,479,332.06","16,277,487.25","11,973,747.79","10,983,991.16","13,466,909.21","12,074,128.55","9,262,809.66","7,325,833.37","12,861,809.81","9,828,018.50","6,149,496.77","10,971,006.37","3,130,590.10","13,020,772.23"
预付款项,"19,371,364.20","1,762,568.39","74,593,512.97","24,897,219.49","14,796,376.06","18,394,725.06","20,571,525.48","2,677,249.64","3,047,058.68","3,847,179.83","6,491,772.48","5,928,451.05","4,642,931.20","5,053,662.91","7,484,611.39","9,598,160.87","7,613,933.98","4,164,266.94","5,968,218.91","6,291,457.49","8,956,095.59","8,326,975.56","12,165,435.39","12,869,171.33","10,061,107.11","11,553,677.04","16,732,299.41","13,478,893.52","10,019,236.23"
预收款项,"38,876,485.11","35,523,473.25","62,950,010.67","32,832,033.07","20,545,294.52","26,931,100.63","23,784,302.63","22,753,772.90","21,994,669.41","36,062,504.96","31,567,557.46","26,306,483.78","22,192,115.48","29,977,704.56","22,372,241.72","27,460,060.67","27,718,323.10","37,372,116.63","31,643,907.89","21,195,148.80","16,114,615.78","13,267,447.26","15,471,397.07","10,002,062.59","9,579,908.68","11,770,194.53","26,807,340.37","44,658,104.69","37,621,265.13"
其他应收款,"807,172.13","1,019,370.45","1,606,691.61","677,649.90","228,199.39","499,065.15","75,136.19","210,333.81","171,375.75","178,222.19","245,189.55","205,205.58","469,212.70","698,204.85","203,056.71","269,259.29","263,002.38","117,101.02","230,284.47","279,703.56","104,251.31","146,368.70","335,078.11","75,595.21","65,422.20","40,142.06","83,028,628.64","1,884,382.05","2,065,535.78"
应付职工薪酬,"563,552.78","631,136.45","22,232.25","26,611.17","25,753.53","47,040.64","26,918.82","26,556.32","25,101.77","1,127,752.75","27,632.62","29,813.36","27,930.31","1,214,792.91","26,753.62","33,342.85","33,526.78","1,293,806.84","30,496.49","33,771.41","31,902.64","1,435,295.01","30,273.59","48,831.71","22,382.28","1,278,838.76","27,203.85","1,538,731.14","108,530.90"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-3,409,749.89","2,043,827.76","44,685.28","9,141,018.88","6,350,225.78","2,863,510.39","4,953,115.91","4,411,385.13","2,620,965.58","6,758,048.34","6,345,693.95","5,194,072.57","3,885,988.01","501,028.13","4,481,566.48","4,284,933.55","1,702,014.62","3,831,491.40","4,450,120.23","4,174,661.11","3,864,184.33","3,169,880.94","1,625,050.13","2,164,046.18","1,997,328.91","639,504.56","690,230.65","5,364,868.90","7,796,759.51"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"566,095.89"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"1,532,589.43","11,164,791.80","36,398.83",,,,,"400,000.00",,,,,,,,,,,,,,,,,,,,,
存货,"34,970,047.35","39,957,560.00","59,359,066.47","49,964,846.97","42,522,496.95","57,550,455.79","62,238,856.87","64,417,437.28","63,619,935.10","68,358,467.49","63,821,294.05","68,241,434.69","67,782,168.81","71,493,838.62","67,752,651.41","66,776,395.34","80,940,710.73","82,158,491.21","78,544,032.77","80,380,583.28","80,942,717.03","87,571,002.08","93,595,431.05","97,586,039.22","96,903,997.05","91,028,275.94","100,149,023.21","105,671,215.93","114,545,413.13"
其他应付款,"1,082,676.89","2,628,455.55","1,078,600.95","1,061,548.27","4,430,549.41","327,828.47","102,617.20","423,992.40","11,287.21","523,689.44","388,417.60","137,693.98","47,276.90","476,443.21","352,506.80","475,475.99","485,539.36","456,944.42","481,671.86","415,276.89","71,891.96","106,458.13","7,999.17",,,"202,892.16","1,056,498.60","95,139,756.41","95,157,988.00"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,"300,000,000.00","300,000,000.00","300,000,000.00","455,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00","500,765,776.46","400,403,012.29","227,224,576.10","435,726,658.19"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"132,403,075.29","185,614,937.00","253,663,711.06","227,675,996.78","793,791,013.90","801,342,245.29","798,651,898.48","785,919,507.11","803,870,548.63","844,587,357.10","863,769,845.16","870,525,228.32","881,659,311.55","891,768,455.44","909,812,771.63","934,170,360.39","951,289,479.15","977,353,285.66","986,795,342.11","980,765,488.03","991,269,015.80","1,008,712,173.77","1,015,997,548.51","1,015,001,484.46","1,021,153,537.28","1,004,793,557.41","1,032,420,482.71","859,616,367.93","882,471,311.32"
流动负债合计,"46,391,129.39","82,779,582.76","76,459,340.09","54,047,370.89","42,191,151.69","39,068,429.27","36,453,128.93","35,437,952.60","31,265,509.89","51,350,995.21","49,661,731.60","43,934,810.41","35,216,214.84","38,691,905.94","35,181,077.13","45,733,145.12","46,216,891.11","54,928,107.08","47,590,187.63","39,285,767.42","32,156,723.26","27,241,891.00","24,460,553.33","25,076,750.29","21,427,638.37","20,040,926.78","39,552,279.84","149,832,051.24","154,271,411.66"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,"19,284,041.04",,"9,186,686.22",,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"85,622,706.74","106,829,554.10","97,607,860.50","100,648,547.67","111,590,888.33","116,289,858.03","116,095,414.03","130,794,669.05","112,084,270.33","108,160,889.54","103,875,003.47","100,258,920.22","95,684,299.23","91,499,870.80","87,725,526.18","84,076,191.65","80,627,190.66","78,024,701.49","74,392,915.64","70,913,488.36","80,281,138.86","76,718,428.52","73,339,796.68","69,986,366.10","66,617,292.34","63,125,897.72","64,837,833.78","62,136,206.60","59,776,253.01"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,"2,303,398.25","9,275,858.68","5,168,221.13","5,540,176.11","1,106,750.00","1,106,750.00","12,297,745.58","12,297,745.58","12,297,745.58","12,297,745.58","12,540,158.79","12,540,158.79","12,879,352.58","12,879,352.58","12,879,352.58","12,879,352.58","12,879,352.58","12,879,352.58","12,896,952.58","1,688,357.00","1,859,269.00","2,159,919.00","2,230,559.94","4,228,903.45","4,993,624.51","4,572,974.51","4,572,974.51","6,571,066.85"
其他非流动负债,,,,"13,000,000.00","13,000,000.00","6,500,000.00","6,500,000.00","6,500,000.00","6,500,000.00",,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,"13,000,000.00","13,000,000.00","6,500,000.00","6,500,000.00","6,500,000.00","6,500,000.00",,,,,,,,,,,,,,,,,,,,
