科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"16,986,875.13","54,756,245.41","45,941,893.50","48,820,541.75","188,542,267.52","244,514,575.64","223,158,293.28","176,991,758.65","155,446,240.02","221,226,449.68","152,436,886.22","139,820,678.96","175,410,275.53","163,335,445.45","104,297,643.57","121,591,352.24","75,331,674.15","187,767,446.09","241,445,222.30","209,997,380.03","231,536,703.97","156,479,597.02","163,411,023.80","81,540,801.99","120,573,789.80","115,794,630.89","127,289,131.59"
短期借款,"3,798,456.00",,"40,000,000.00","60,000,000.00","70,000,000.00","60,000,000.00","110,000,000.00","109,883,552.00","110,302,995.10","134,865,716.40","119,567,760.00","108,767,760.00","184,488,358.61","225,000,000.00","259,777,488.89","241,270,000.00","210,629,035.07","178,800,000.00","109,344,716.67","97,555,050.00","87,800,000.00","161,748,000.00","160,000,000.00","216,500,000.00","218,902,108.13","280,000,000.00","302,500,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,030,790.51","5,742,200.00","5,617,254.88","6,152,312.82","8,005,932.33","4,293,251.97","11,387,018.96","5,143,933.52","5,950,203.25","11,674,166.57","7,605,247.29","7,102,472.51","5,259,036.98","10,612,782.51","12,155,622.87","15,463,349.36","16,317,794.77","26,492,372.81","21,217,688.32","20,091,913.75","17,598,623.83","16,455,399.56","24,012,750.79","16,541,839.70","26,630,834.40","62,191,945.13","46,533,905.49"
应付票据,,,,,,"7,840,182.72","1,320,000.00","1,320,000.00",,,"2,075,024.65",,,"12,000,000.00","19,776,000.00","24,291,743.98","1,723,681.25","2,838,672.86",,,,,,"1,549,803.55",,"2,740,000.00","2,992,500.00"
应收账款,"62,751,040.72","71,824,385.53","121,454,600.76","147,415,818.69","192,573,372.18","164,679,467.47","194,778,833.07","250,927,923.55","279,229,280.13","270,905,365.79","264,762,918.42","297,986,669.81","323,237,850.47","368,673,267.57","438,977,525.93","376,033,187.07","456,968,413.38","243,052,229.76","236,910,508.43","249,754,735.46","264,754,644.08","286,400,430.02","251,406,653.96","301,733,959.07","347,181,269.24","398,681,778.20","404,729,375.91"
应付账款,,"734,506.42",,,,,,"2,105,300.00","4,550,724.40","13,930,289.27","10,428,007.12","21,955,182.66","19,626,076.10","20,463,043.01","16,994,430.34","13,627,713.32","33,143,595.74","11,567,178.93","19,502,021.64","15,795,798.08","30,638,671.06","133,358,528.16","89,416,080.71","131,390,937.12","168,671,143.19","224,648,714.10","172,206,962.80"
预付款项,"4,154,076.78","639,775.98","4,824,983.37","5,577,199.79","14,300,853.46","4,244,000.72","5,758,386.95","8,326,731.08","31,197,160.56","15,053,696.71","22,345,237.97","14,510,620.27","22,721,092.57","49,351,961.04","34,603,762.04","37,687,595.76","57,083,708.80","13,647,156.48","15,136,259.78","11,010,753.56","25,007,223.59","10,654,033.77","52,246,543.31","44,696,498.67","65,255,409.96","34,933,389.84","27,561,318.46"
预收款项,"441,980.05","1,505,114.36",,"8,002.00","14,993,735.50","19,151.00","2,170,108.95","11,592.00","19,692,741.58","5,765,597.97","7,351,099.60","3,513,575.47","944,476.63","24,889,508.63","36,245,829.78","22,631,178.47","29,283,240.05","10,921,531.69","13,097,433.25","461,563.92","660,868.36","15,494,629.29","16,853,558.17","39,479,907.39","64,994,408.84","43,192,501.57","79,504,490.52"
其他应收款,"5,508,315.23","9,538,997.43","10,227,585.51","9,568,024.99","28,485,136.92","48,190,617.29","84,606,231.24","73,267,462.94","79,611,128.87","42,089,366.69","86,686,109.08","60,954,235.18","58,151,934.80","49,432,725.80","50,680,798.89","50,053,676.26","80,697,932.94","183,026,495.36","73,585,237.25","65,330,966.75","72,149,470.44","80,536,382.89","65,348,936.73","59,673,720.02","104,016,035.31","82,653,753.28","65,906,340.12"
应付职工薪酬,"1,061,483.78","1,261,038.94","3,329,454.43","1,690,890.94","1,493,530.32","1,403,490.31","3,092,326.71","977,856.75","2,150,827.52","3,106,738.14","5,152,428.30","3,164,906.39","3,619,735.59","3,811,147.55","3,946,397.37","3,008,575.22","4,302,090.73","5,129,682.43","3,978,765.95","3,964,627.22","2,958,526.66","7,989,798.80","6,401,461.02","4,685,098.89","3,694,967.89","8,808,024.13","5,154,718.80"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,826,618.80","4,428,222.94","9,174,682.49","12,705,042.38","9,776,585.92","19,384,776.54","21,374,714.05","29,270,800.99","34,906,282.46","30,244,333.72","22,108,365.59","15,817,825.79","26,363,360.98","35,568,247.21","39,094,323.60","40,210,041.65","38,692,712.76","24,966,129.35","16,847,868.68","13,963,645.80","15,302,021.87","44,892,499.57","41,923,677.65","20,573,013.36","14,150,939.96","41,748,765.20","33,197,929.90"
