科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
经营活动产生的现金流量净额,"9,964,001.71","51,003,993.68","55,861,061.44","103,595,562.18","1,637,646.55","11,235,348.71","15,228,655.18","33,689,023.30","-17,098,745.59","-16,627,251.89","-22,802,338.09","5,271,268.72","9,114,149.52","18,281,828.02","25,476,557.24","49,121,032.51","13,637,781.31","31,750,393.44","47,304,961.65","81,488,221.22","15,905,930.34","31,817,409.48","53,207,826.22","89,528,539.90","6,584,665.21","14,709,018.01","34,389,743.82","54,684,956.29","-5,519,297.57","7,424,911.48","23,374,838.65","49,545,333.14","6,485,543.66","16,600,498.90","37,445,403.55","54,623,578.85","3,797,511.52","6,250,322.27","29,459,502.48","42,387,077.33","-26,614,483.32","257,998,238.60","488,258,711.82"
分配股利、利润或偿还利息支付的现金,"1,311,975.00","2,523,282.50","25,337,437.04","27,575,296.77","873,575.00","1,805,075.00","2,872,575.00","4,033,150.00","601,132.50","1,153,822.50","1,715,287.50","2,258,898.75","537,637.50","706,718.25","706,718.25","706,718.25",,,,,,,,,,"9,699,488.50","9,681,941.22","9,708,254.78",,"26,158,353.16","26,158,353.16","26,158,353.16",,,,,,"9,977,928.52","9,977,928.52","9,774,989.07","4,819,169.77","14,880,865.97","19,875,140.30"
收回投资收到的现金,"5,536,141.15","5,802,038.43","6,162,307.46","3,019,723.66",,,,"26,245,467.04",266.73,266.73,266.73,"349,425.00",,"175,600.00","5,428,536.37","5,816,646.37",,,,,,"60,000,000.00","60,000,000.00","180,000,000.00","60,000,000.00","180,000,000.00","300,000,000.00","420,000,000.00","60,000,000.00","120,000,000.00","250,000,000.00","376,000,000.00",,"142,232,037.74","150,613,595.82","310,193,984.00",,"30,000,000.00","30,064,838.70","30,047,870.00","133,771,459.94","485,766,533.20","985,766,533.20"
支付其他与筹资活动有关的现金,"3,000.00","3,000.00","3,210.00",,,,,,,,,,,"8,000,000.00","8,000,000.00",,,,,"1,007,132.40",,,,,,,,,,,,,,,,,,,"567,235.00","1,973,800.00","2,903,416.00","645,678,711.07","645,678,711.07"
取得投资收益收到的现金,,,"1,778,163.68","2,424,680.23",,"1,985,889.95","1,985,889.95","3,649,342.90",,"1,585,499.65","1,585,499.65","1,753,838.34",,"1,699,130.96","1,699,130.96","1,861,858.53",,"905,999.80","905,999.80","933,512.40",,"1,925,113.91","1,925,113.91","2,986,726.17","438,082.19","2,470,545.01","4,439,827.27","5,949,427.31","501,370.27","4,467,886.78","6,918,632.44","8,555,673.53",,"21,670,199.70","5,670,199.70","10,367,055.67","112,705.65","3,170,779.88","3,171,219.59","2,795,823.77","5,474,958.90","17,495,306.94","23,837,838.10"
筹资活动现金流出小计,"71,314,975.00","122,526,282.50","165,340,647.04","202,575,296.77","69,873,575.00","70,805,075.00","81,872,575.00","108,033,150.00","45,601,132.50","46,153,822.50","61,715,287.50","62,258,898.75","30,537,637.50","83,706,718.25","83,706,718.25","83,706,718.25",,,,"1,007,132.40",,,,,,"9,699,488.50","9,681,941.22","9,708,254.78",,"26,158,353.16","26,158,353.16","26,158,353.16",,,,,,"9,977,928.52","10,545,163.52","11,748,789.07","7,722,585.77","660,559,577.04","680,553,851.37"
处置固定资产、无形资产和其他长期资产收回的现金净额,"292,044.62","594,470.00","1,536,570.00","2,372,872.00",,"1,189,332.00","1,733,332.00","2,348,780.68","263,000.00","332,000.00","1,603,231.00","1,556,428.70","6,500.00","866,500.00","866,979.90","16,532,036.47",,"29,353.00","39,665.50","146,715.25","732,250.00","732,250.00","732,250.00","806,093.73","413,980.00","597,080.00","1,114,780.00","1,056,200.55",,"412,799.00","466,859.00","448,665.93","439,000.00","439,000.00","439,000.00","478,365.44","772,080.00","772,580.00","2,156,580.00","1,696,870.46","2,200.00","1,330,300.00","1,338,750.00"
筹资活动产生的现金流量净额,"8,685,025.00","-22,526,282.50","-25,340,647.04","-62,575,296.77","-15,873,575.00","-16,805,075.00","2,127,425.00","-24,033,150.00","-601,132.50","-1,153,822.50","-1,715,287.50","-2,258,898.75","-537,637.50","-45,706,718.25","-45,706,718.25","-45,706,718.25",,,,"-1,007,132.40",,,,,,"-9,699,488.50","-9,681,941.22","-9,708,254.78",,"-26,158,353.16","-26,094,875.66","-26,158,353.16",,,,,,"-9,977,928.52","-10,545,163.52","1,891,237.94","78,327,953.23","937,063,297.84","917,069,023.51"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,-947.32,"-3,105.27","-2,751.62","-4,539.18","-9,612.25","-10,437.04","-20,232.43",593.55,593.55,593.55,,,,,,,,-268.32,,-33.90,-128.34,-128.34,,,,,,,,,,,,,,,,,,"-77,333.78","104,345.74","91,620.13"
收到其他与投资活动有关的现金,,"9,169.59","19,360.00",,"103,906.25","207,176.14","263,887.19",,,"15,307.62","18,740.70",,,"17,936.87","26,696.87",,,"1,835.70","25,889.70",,,,"25,872.20",,,,,,,,,,"7,618,441.92",,"7,618,441.92",,"14,592.06","14,592.06",,,"74,036.65","103,135.37","177,646.60"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"5,828,185.77","6,405,678.02","9,496,401.14","7,817,275.89","103,906.25","3,382,398.09","3,983,109.14","32,243,590.62","263,266.73","1,933,074.00","3,207,738.08","3,659,692.04","6,500.00","2,759,167.83","8,021,344.10","24,210,541.37",,"937,188.50","971,555.00","1,080,227.65","732,250.00","62,657,363.91","62,683,236.11","183,792,819.90","60,852,062.19","183,067,625.01","305,554,607.27","427,005,627.86","60,501,370.27","124,880,685.78","257,385,491.44","385,004,339.46","8,057,441.92","164,341,237.44","164,341,237.44","321,039,405.11","899,377.71","33,957,951.94","35,392,638.29","34,540,564.23","139,322,655.49","504,695,275.51","1,011,120,767.90"
五、现金及现金等价物净增加额,"5,535,484.40","-330,665.39","-2,164,989.63","2,101,132.34","-19,714,716.13","-13,156,875.54","1,748,966.68","10,450,571.91","-24,668,870.35","-29,527,659.95","-36,977,833.96","-10,972,494.98","5,534,587.63","-30,685,069.05","-20,632,116.66","14,515,524.53","11,623,802.81","28,858,082.64","40,985,130.75","64,037,115.68","13,779,928.58","28,131,356.37","-12,919,925.43","81,209,770.61","-117,448,142.19","-118,588,912.13","-100,617,898.94","-82,073,157.79","-36,823,489.48","-27,355,625.06","-72,408,904.82","-48,765,413.72","-19,865,166.64","-18,253,248.84","-1,643,250.62","146,486,276.75","-126,011,832.15","-172,578,965.37","-149,133,927.42","-134,325,873.66","-206,623,872.81","1,113,828,760.36","230,020,727.89"
购建固定资产、无形资产和其他长期资产支付的现金,"13,645,148.08","29,729,812.27","36,138,659.90","44,574,637.34","2,741,204.29","10,736,760.09","19,327,920.60","31,116,449.58","7,232,852.54","13,680,253.11","15,668,540.00","17,288,541.99","3,048,424.39","5,850,336.65","8,254,289.75","12,552,211.10","2,013,978.50","3,829,499.30","7,291,117.58","17,524,200.79","2,858,217.86","6,343,288.68","8,810,859.42","12,111,589.19","4,884,869.59","6,666,066.65","10,880,308.81","14,055,487.16","1,805,562.18","3,502,869.16","7,071,059.25","11,153,433.16","2,853,482.22","15,194,985.18","11,875,221.61","14,971,522.21","719,904.06","2,805,841.06","3,288,034.67","13,096,583.16","17,582,664.43","26,031,800.63","34,437,765.47"
期初现金及现金等价物余额,"48,633,002.92","48,633,002.92","48,633,002.92","48,633,002.92","50,734,135.26","50,734,135.26","50,734,135.26","50,734,135.26","61,184,707.17","61,184,707.17","61,184,707.17","61,184,707.17","50,212,212.19","50,212,212.19","50,212,212.19","50,212,212.19","64,727,736.72","64,727,736.72","64,727,736.72","64,727,736.72","128,764,852.40","128,764,852.40","128,764,852.40","128,764,852.40","209,974,623.01","209,974,623.01","209,974,623.01","209,974,623.01","127,901,465.22","127,901,465.22","142,962,753.62","142,962,753.62","94,197,339.90","94,197,339.90","94,197,339.90","94,197,339.90","240,683,616.65","240,683,616.65","240,683,616.65","240,683,616.65","920,072,782.39","900,531,962.45","900,531,962.45"
投资支付的现金,"5,296,580.00","5,296,580.00","5,853,325.00","2,159,020.00","2,769,640.46",,"131,925.00","312,210.00",,,,"356,015.00",,"169,010.00","169,010.00","557,120.00",,,,,,"60,000,000.00","120,000,000.00","180,000,000.00","180,000,000.00","300,000,000.00","420,000,000.00","540,000,000.00","90,000,000.00","130,000,000.00","320,003,300.00","446,003,300.00","24,000,000.00","184,000,000.00","184,000,000.00","214,205,185.00","130,000,000.00","200,000,000.00","200,152,870.00","200,048,170.00","380,000,000.00","560,000,000.00","2,152,081,630.00"
期末现金及现金等价物余额,"54,168,487.32","48,302,337.53","46,468,013.29","50,734,135.26","31,019,419.13","37,577,259.72","52,483,101.94","61,184,707.17","36,515,836.82","31,657,047.22","24,206,873.21","50,212,212.19","55,746,799.82","19,527,143.14","29,580,095.53","64,727,736.72","76,351,539.53","93,585,819.36","105,712,867.47","128,764,852.40","142,544,780.98","156,896,208.77","115,844,926.97","209,974,623.01","92,526,480.82","91,385,710.88","109,356,724.07","127,901,465.22","91,077,975.74","100,545,840.16","70,553,848.80","94,197,339.90","74,332,173.26","75,944,091.06","92,554,089.28","240,683,616.65","114,671,784.50","68,104,651.28","91,549,689.23","106,357,742.99","713,448,909.58","2,014,360,722.81","1,130,552,690.34"
