科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"300,000,227.01","295,435,610.84","364,321,802.39","142,840,011.62","228,817,793.66","298,029,379.30","85,271,103.91","153,014,469.57","245,942,986.34","340,191,650.77","93,580,634.80","195,537,155.77","252,275,681.95","317,294,904.98","56,786,342.28"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,"3,366,219.09","1,050,148.87","3,020,180.67","1,476,248.64","2,289,295.82","3,743,922.10","6,011,940.63","7,816,840.15","9,771,288.57","11,090,248.43","474,914.15","1,268,833.53","5,728,152.98","6,572,267.04","928,291.01"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,189,727.86","8,478,602.12","7,857,549.32","12,175,244.55","12,720,618.57","2,399,199.31","4,373,308.18","7,531,916.13","15,111,141.96","17,296,690.36","4,382,166.13","7,203,616.84","14,430,884.11","10,742,961.35","8,904,039.08"
投资活动现金流出小计,"6,459,623.10","6,840,854.27","11,531,172.33","5,322,788.83","6,960,596.52","116,274,015.30","66,669,490.99","162,974,975.88","257,466,360.22","257,798,882.28","35,922,069.60","148,130,597.26","152,333,467.47","224,208,023.70","61,827,189.00"
经营活动现金流入小计,"313,556,173.96","304,964,361.83","375,199,532.38","156,491,504.81","243,827,708.05","304,172,500.71","95,656,352.72","168,363,225.85","270,825,416.87","368,578,589.56","98,437,715.08","204,009,606.14","272,434,719.04","334,610,133.37","66,618,672.37"
投资活动产生的现金流量净额,"-6,389,623.10","-6,840,854.27","-11,523,189.42","-5,283,565.53","-6,909,873.22","-116,155,168.13","34,183,808.75","83,250,017.01","-11,191,952.83","42,183,658.58","-7,303,201.18","-47,880,869.09","14,691,190.00","5,585,378.41","-61,758,189.00"
购买商品、接受劳务支付的现金,"170,811,428.88","150,354,318.28","176,221,354.61","97,795,544.74","149,514,108.35","175,926,905.88","57,615,604.97","113,926,782.79","174,023,976.62","262,858,399.54","51,921,947.08","95,347,169.54","143,052,816.85","173,355,608.16","26,051,022.00"
吸收投资收到的现金,,,,,,"185,250,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"70,245,747.19","74,478,890.28","77,466,851.50","34,104,273.65","48,239,795.07","66,113,182.97","17,505,255.64","36,362,587.45","56,424,779.54","84,888,901.24","15,330,833.68","34,345,115.28","53,136,842.30","81,179,583.49","13,243,172.37"
取得借款收到的现金,"1,000,000.00","7,891,948.34","14,000,000.00","10,000,000.00","18,200,000.00","18,200,000.00",,"10,000,000.00","19,000,000.00","19,000,000.00",,,"2,000,000.00","2,000,000.00","14,000,000.00"
支付的各项税费,"48,768,209.64","39,950,400.18","46,058,170.20","19,054,272.10","33,076,312.86","45,053,885.63","12,661,528.02","17,676,695.62","27,919,318.83","32,195,859.03","10,374,249.80","14,702,423.96","23,038,393.55","25,764,427.10","7,890,432.64"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"45,004,891.03","34,065,617.28","38,033,171.66","23,491,989.63","39,308,809.53","45,798,345.43","19,523,910.86","30,428,632.85","48,509,281.68","44,001,496.15","16,042,073.85","30,651,730.81","46,006,290.44","33,723,987.35","16,298,688.46"
筹资活动现金流入小计,"1,000,000.00","7,891,948.34","14,000,000.00","10,000,000.00","18,200,000.00","203,450,000.00",,"10,000,000.00","19,000,000.00","19,000,000.00",,,"2,000,000.00","2,000,000.00","14,000,000.00"
经营活动现金流出小计,"334,830,276.74","298,849,226.02","337,779,547.97","174,446,080.12","270,139,025.81","332,892,319.91","107,306,299.49","198,394,698.71","306,877,356.67","423,944,655.96","93,669,104.41","175,046,439.59","265,234,343.14","314,023,606.10","63,483,315.47"
偿还债务支付的现金,"186,381.00","6,391,948.34","10,500,000.00","6,000,000.00","6,000,000.00","6,000,000.00","1,088,000.00","10,731,000.00","18,034,000.00","18,200,000.00","8,005,000.00","14,000,000.00","19,000,000.00","19,000,000.00",
经营活动产生的现金流量净额,"-21,274,102.78","6,115,135.81","37,419,984.41","-17,954,575.31","-26,311,317.76","-28,719,819.20","-11,649,946.77","-30,031,472.86","-36,051,939.80","-55,366,066.40","4,768,610.67","28,963,166.55","7,200,375.90","20,586,527.27","3,135,356.90"
分配股利、利润或偿还利息支付的现金,"8,041.50","324,100.83","396,740.41","53,092.08","254,446.23","594,219.22","264,346.28","490,126.69","5,887,588.31","5,968,994.56","190,142.38","326,284.81","2,997,736.20","3,072,529.27","143,070.00"
收回投资收到的现金,,,,,,,"100,000,000.00","245,000,000.00","245,000,000.00","298,000,000.00","28,000,000.00","99,000,000.00","165,000,000.00","227,500,000.00",
