科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"2,485,877,814.17","2,764,715,194.90","3,447,962,314.39","1,927,712,450.28","2,922,743,483.34","3,905,153,015.98","1,117,486,697.17","2,181,658,694.20","3,323,734,230.13","4,437,042,324.55","1,213,958,504.11","2,380,081,185.38","3,597,153,833.20","4,764,210,870.04","1,320,952,745.23","2,644,358,230.14","4,075,852,472.62","5,486,179,813.60","1,587,280,772.82","3,070,798,915.56","4,715,591,321.74","6,321,626,791.34","1,736,340,789.40","3,432,772,885.71","5,214,621,195.27","6,938,944,252.59","1,842,492,541.53","3,616,244,415.75"
二、营业利润,"129,856,094.03","167,397,427.55","184,864,019.53","113,707,892.92","146,913,593.21","186,676,836.11","49,010,056.21","120,733,378.14","152,599,128.33","170,310,622.50","50,314,018.59","122,883,449.20","163,027,607.03","188,424,935.32","56,259,933.81","136,748,600.88","179,526,658.84","201,828,938.80","50,312,208.11","107,201,107.11","139,007,968.91","140,854,520.46","46,659,113.05","120,653,007.19","166,030,642.61","213,227,066.23","65,601,970.13","178,206,638.87"
减:营业成本,"1,900,913,736.88","2,106,253,902.98","2,600,366,088.15","1,429,534,565.65","2,180,019,052.69","2,885,009,866.99","838,105,550.05","1,591,335,530.91","2,442,390,454.60","3,256,869,401.14","897,989,554.06","1,742,908,395.39","2,641,129,342.93","3,516,592,643.23","982,565,717.03","1,933,040,592.18","2,973,903,917.79","3,997,994,846.99","1,157,512,687.17","2,231,049,056.48","3,443,740,970.76","4,601,426,883.49","1,267,953,947.48","2,487,983,453.24","3,788,732,960.16","5,015,323,554.21","1,337,869,539.48","2,584,853,772.14"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"17,589,224.04","18,313,466.46","24,605,381.14","13,956,623.57","21,925,243.38","29,636,839.80","7,811,442.90","16,641,113.73","25,427,671.55","35,098,977.82","9,675,261.36","19,806,473.25","29,747,127.02","39,587,980.96","10,623,882.18","22,376,003.43","34,640,103.04","46,245,790.08","11,680,674.64","20,120,764.90","26,413,991.98","44,046,438.56","6,388,136.89","19,572,598.18","27,074,109.30","39,143,396.46","7,510,194.19","19,899,692.38"
营业外收入,"13,107,826.01","11,137,676.34","18,382,522.96","5,960,374.19","7,942,859.30","18,044,483.10","2,980,714.13","4,411,553.71","8,596,537.99","19,550,569.25","3,938,220.44","4,184,764.15","5,720,369.18","16,651,728.11","1,220,491.85","3,703,416.62","4,158,189.46","15,744,392.09","7,161,340.87","14,768,556.86","20,953,607.32","35,688,753.07","3,861,953.24","567,440.24","765,144.53","2,411,006.43","549,785.16","861,480.06"
销售费用,"379,077,561.35","406,541,471.45","558,368,013.39","332,848,789.59","519,542,712.62","720,127,177.58","206,932,231.10","417,821,715.28","664,576,424.30","906,755,300.16","241,808,264.18","485,725,564.59","734,041,701.78","979,746,691.40","253,611,043.66","522,144,703.94","834,331,232.70","1,159,491,879.46","345,739,937.86","655,605,316.26","1,022,633,692.68","1,424,143,492.37","384,893,554.68","756,007,774.70","1,150,488,227.19","1,542,708,728.37","408,983,554.71","807,454,766.77"
减:营业外支出,"1,001,255.77","1,268,648.46","2,168,202.16","170,135.53","419,690.43","591,370.44","382,055.09","3,809,930.20","4,858,249.92","5,214,165.01","576,212.72","1,588,925.00","3,380,293.20","3,858,803.49","633,058.89","1,004,547.05","1,012,424.36","1,690,942.87","140,001.84","444,035.82","611,352.74","1,129,251.69","185,142.82","777,813.55","1,534,461.09","1,867,577.01","127,285.42","809,938.39"
管理费用,"59,941,893.51","65,134,959.81","76,985,892.73","36,163,410.77","52,238,358.27","81,398,048.50","15,561,214.75","36,293,625.54","53,243,494.53","98,691,348.18","14,051,157.66","34,048,726.21","54,078,142.65","90,885,241.43","17,894,366.81","44,311,709.52","68,744,627.45","114,270,323.06","20,533,532.79","56,027,678.36","82,255,006.82","106,326,599.63","22,924,600.81","46,463,566.53","68,674,114.58","97,911,059.76","25,236,104.97","48,652,044.44"
其中:非流动资产处置净损失,"14,090.26","22,426.24","201,899.13","88,737.55","115,073.96","214,897.69","17,111.69","117,021.23","964,955.31","1,128,056.27","56,912.01","1,566,853.70","2,193,724.22","2,504,446.14","365,264.31","677,189.46","684,440.27","797,352.82","4,880.71","89,015.65","163,830.58","179,472.35","120,513.91","170,389.59","249,670.08",,,
