科目,2007-03-31
货币资金,"858,163,890.98"
短期借款,"1,725,395,300.95"
交易性金融资产,
交易性金融负债,
应收票据,"1,822,042,402.79"
应付票据,"620,097,704.54"
应收账款,"2,996,843,440.08"
应付账款,"3,482,047,254.99"
预付款项,"538,918,977.43"
预收款项,"304,979,102.65"
其他应收款,"383,417,044.74"
应付职工薪酬,"195,517,831.85"
应收关联公司款,
应交税费,"231,109,660.52"
应收利息,
应付利息,"317,514.63"
应收股利,"3,040,000.00"
应付股利,"7,281,938.03"
存货,"2,139,176,300.19"
其他应付款,"628,956,931.80"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"80,561,181.57"
其他流动资产,"161,348.36"
其他流动负债,"17,049,317.79"
流动资产合计,"8,741,763,404.57"
流动负债合计,"7,293,313,739.32"
可供出售金融资产,
长期借款,"835,420,598.28"
持有至到期投资,
应付债券,
长期应收款,
长期应付款,"57,280,596.66"
长期股权投资,"290,741,649.09"
专项应付款,"11,080,000.00"
投资性房地产,"41,577,865.09"
预计负债,"81,282,098.81"
固定资产,"2,542,619,312.56"
递延所得税负债,
在建工程,"355,360,074.55"
其他非流动负债,
工程物资,"2,621,705.50"
非流动负债合计,"985,063,293.75"
固定资产清理,"42,716.00"
负债合计,"8,278,377,033.07"
生产性生物资产,
实收资本(或股本),"936,286,560.00"
油气资产,
资本公积,"113,567,848.57"
无形资产,"206,429,442.42"
盈余公积,"436,827,671.35"
开发支出,
减:库存股,
商誉,"70,603,093.90"
未分配利润,"545,645,900.01"
长期待摊费用,"138,885,209.27"
少数股东权益,"2,150,600,313.61"
递延所得税资产,"66,627,875.97"
外币报表折算价差,"-1,721,333.50"
其他非流动资产,"2,311,644.19"
非正常经营项目收益调整,
非流动资产合计,"3,717,820,588.54"
所有者权益(或股东权益)合计,"4,181,206,960.04"
资产总计,"12,459,583,993.11"
负债和所有者(或股东权益)合计,"12,459,583,993.11"
