科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"113,200,597.31","251,441,789.96","604,868,406.83","185,955,560.23","400,051,258.37","602,515,020.97","837,275,725.00","173,835,729.78","322,222,293.57","538,805,958.40","747,459,859.31","189,323,894.77","420,765,517.83","718,056,228.92","1,054,930,760.64","280,766,842.28","612,749,855.33","1,046,369,621.09","1,414,049,834.22","298,144,180.24","636,771,678.43","928,923,523.61","1,243,648,350.93","244,803,665.97","495,556,112.26","762,938,988.38","1,052,283,899.22","240,435,333.09","524,204,282.28","861,654,938.64","1,211,134,813.75","231,859,778.90","478,025,008.31","721,791,153.60","921,258,441.20","296,236,334.44","658,007,826.44","1,067,975,262.55","1,430,767,270.21","231,352,370.56","513,281,490.59","758,837,135.99","1,117,687,989.24","316,020,466.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,455,241.17","1,311,133.52","2,050,712.39","1,660,000.00","2,428,534.41","3,253,300.08","4,675,669.08","1,699,172.24","3,309,745.61","4,619,638.31","6,101,252.18","1,791,733.59","3,907,888.14","9,110,064.67","10,932,495.01","6,032,735.35","7,901,755.78","10,476,722.42","13,710,502.37","1,588,559.14","8,692,689.41","11,798,129.17","14,592,196.79","1,205,099.84","7,201,405.52","10,536,626.78","16,187,170.14","3,462,282.02","3,497,386.96","7,658,188.13","14,219,354.76","3,295,506.04","5,674,454.91","10,871,099.10","11,206,103.40","4,913,976.04","6,306,622.83","11,209,963.24","14,833,551.89","4,221,521.53","8,296,154.49","11,580,692.52","13,529,181.44","1,180,708.93"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"12,735,190.17","12,419,665.14","14,405,088.83","1,622,886.00","3,576,955.36","10,448,361.97","4,953,221.63","877,222.97","1,191,172.92","2,426,670.08","3,850,246.34","2,458,290.62","3,079,033.05","5,890,297.87","21,498,054.92","1,861,668.65","1,903,660.74","2,320,928.80","4,928,952.28","4,839,314.21","6,562,788.99","10,390,720.51","31,794,381.78","1,923,475.62","16,304,582.50","17,336,304.00","41,729,615.45","6,097,268.63","37,704,731.74","52,252,422.23","69,267,007.64","318,574,972.06","324,449,318.11","433,403,784.08","436,838,421.04","42,802,614.99","22,749,851.35","25,213,843.36","26,082,849.31","3,355,154.49","4,183,338.83","5,442,005.03","6,982,786.98","1,656,981.97"
投资活动现金流出小计,"18,802,238.59","66,193,274.66","125,977,424.24","56,495,007.19","91,892,323.43","125,002,066.22","172,481,538.08","18,521,005.06","36,083,028.35","63,139,876.33","103,226,692.77","22,671,576.33","75,674,834.88","118,363,008.40","187,734,956.09","24,821,541.59","49,753,561.76","71,627,867.97","114,857,418.27","35,567,004.67","60,839,678.95","96,979,569.63","172,619,021.95","41,432,286.51","99,531,000.11","172,078,339.30","192,394,533.93","370,040,851.44","391,085,629.10","521,204,724.77","281,691,857.00","205,028,480.44","238,673,083.07","276,342,252.83","374,534,800.67","77,945,045.83","120,742,603.65","183,880,014.74","295,136,824.48","75,291,553.25","127,199,421.56","243,589,203.34","338,653,248.76","60,108,591.50"
经营活动现金流入小计,"127,391,028.65","265,172,588.62","621,324,208.05","189,238,446.23","406,056,748.14","616,216,683.02","846,904,615.71","176,412,124.99","326,723,212.10","545,852,266.79","757,411,357.83","193,573,918.98","427,752,439.02","733,056,591.46","1,087,361,310.57","288,661,246.28","622,555,271.85","1,059,167,272.31","1,432,689,288.87","304,572,053.59","652,027,156.83","951,112,373.29","1,290,034,929.50","247,932,241.43","519,062,100.28","790,811,919.16","1,110,200,684.81","249,994,883.74","565,406,400.98","921,565,549.00","1,294,621,176.15","553,730,257.00","808,148,781.33","1,166,066,036.78","1,369,302,965.64","343,952,925.47","687,064,300.62","1,104,399,069.15","1,471,683,671.41","238,929,046.58","525,760,983.91","775,859,833.54","1,138,199,957.66","318,858,157.87"
投资活动产生的现金流量净额,"-8,471,691.35","-46,173,274.66","-105,784,686.24","-56,495,007.19","-91,892,323.43","-125,002,066.22","-166,845,138.08","-18,521,005.06","-36,083,028.35","-63,045,076.33","-103,131,892.77","-22,671,576.33","-75,620,734.88","-118,363,008.40","-186,777,956.09","-24,821,541.59","-25,738,653.18","-42,612,959.39","-70,786,568.68","-34,727,004.67","-59,999,678.95","-96,139,569.63","-171,779,021.95","-41,432,286.51","-86,699,651.11","-159,246,990.30","-181,716,167.93","-370,040,851.44","-390,853,629.10","-520,972,724.77","-281,505,857.00","-205,028,480.44","-188,081,344.14","-121,485,856.37","-219,678,404.21","-77,938,411.21","-120,705,569.03","-183,801,991.77","-295,057,858.48","-73,491,553.25","-125,399,421.56","-241,789,203.34","-336,853,248.76","-60,087,528.25"
购买商品、接受劳务支付的现金,"111,541,100.08","202,474,936.27","456,907,233.83","148,272,231.56","322,813,378.47","476,672,596.35","683,363,276.91","127,214,927.73","254,100,230.46","421,035,536.38","607,590,229.10","161,886,750.21","364,703,344.44","585,124,265.04","819,781,564.97","233,893,964.02","466,294,233.30","717,575,369.73","1,021,380,202.12","273,956,469.72","556,698,436.48","844,648,677.56","1,074,327,759.70","246,208,968.97","485,594,337.81","712,849,957.54","949,132,722.60","201,699,300.59","409,023,238.07","659,047,349.19","927,280,896.16","211,411,681.00","434,102,267.79","671,645,879.45","835,902,127.12","230,035,518.08","427,775,325.31","675,732,232.52","938,719,276.47","226,949,279.33","413,993,714.80","635,891,211.34","895,730,701.32","253,402,266.20"
吸收投资收到的现金,,,,,"27,000,000.00","27,000,000.00","273,970,000.00",,,,,,,,,,,,"812,299,998.80",,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"9,423,977.62","21,418,339.44","56,520,307.54","15,293,580.76","34,075,433.67","53,356,024.31","73,836,515.97","19,889,015.83","42,319,284.83","66,178,803.15","91,616,904.72","25,323,184.25","52,431,022.19","80,320,804.22","109,096,884.63","29,746,243.67","64,332,362.50","100,363,674.82","143,915,937.89","40,011,943.68","86,906,846.77","132,589,457.43","176,787,812.49","43,113,087.17","88,256,766.61","132,823,917.53","176,763,805.40","44,509,421.12","90,361,871.54","138,131,938.26","185,644,586.58","46,367,463.28","93,118,281.67","140,538,025.10","188,781,845.55","47,191,037.92","98,354,839.05","150,344,908.80","201,100,650.48","54,088,108.57","137,122,656.65","197,657,054.00","259,921,063.50","64,525,191.05"
取得借款收到的现金,"93,000,000.00","139,000,000.00","303,010,000.00","28,932,836.71","79,400,000.00","172,520,000.00","317,920,000.00","51,000,000.00","115,000,000.00","256,000,000.00","370,000,000.00","139,000,000.00","296,000,000.00","372,000,000.00","521,000,000.00","122,075,248.33","293,597,240.19","389,379,474.35","625,666,485.30","57,918,658.81","331,741,372.84","469,689,662.12","712,364,182.60","50,092,826.88","469,587,089.28","591,064,513.41","749,560,403.62","555,185,452.32","811,703,718.10","986,703,718.10","1,363,703,718.10","60,000,000.00","343,000,000.00","500,000,000.00","839,000,000.00","368,000,000.00","577,000,000.00","752,000,000.00","844,000,000.00","185,000,000.00","289,000,000.00","508,000,000.00","598,000,000.00","173,500,000.00"
支付的各项税费,"5,736.81","67,460.71","407,822.04","516,468.21","2,357,300.68","3,044,313.50","3,800,067.77","544,748.20","1,652,878.24","1,984,970.03","2,141,167.61","521,573.70","927,676.19","2,243,825.22","3,386,601.94","642,835.17","1,528,708.21","2,457,921.77","3,420,204.82","673,874.32","1,893,961.79","2,704,172.80","3,454,484.33","712,234.57","1,398,383.25","2,434,890.10","3,354,106.28","1,021,914.46","1,495,349.77","1,699,083.79","2,184,108.78","1,234,475.47","2,910,119.88","3,505,888.11","4,540,188.09","1,293,036.66","2,485,013.12","3,279,613.09","4,247,301.35","837,914.55","2,593,320.37","4,428,807.25","6,338,200.82","2,088,042.28"
收到其他与筹资活动有关的现金,,,"3,662,444.09",,"246,970,000.00","246,970,000.00",,,"9,900.00","1,299,900.00","9,900.00",,,,,,,,,,,,,,,,,,,,,,,,"50,300,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,"300,000,000.00","432,000,000.00","452,000,000.00",
支付其他与经营活动有关的现金,"17,062,545.95","12,964,029.38","31,749,420.81","3,498,738.47","16,608,104.37","33,456,027.95","36,774,674.00","9,033,376.13","17,391,529.95","26,355,766.63","32,021,872.81","6,859,984.28","16,418,796.99","70,222,111.49","39,390,533.95","11,076,440.10","18,309,963.45","30,999,132.02","35,999,763.47","10,258,014.23","18,746,238.69","28,790,895.24","42,964,576.49","10,741,078.07","20,633,676.21","31,292,026.68","44,361,193.68","17,022,830.83","32,817,790.87","40,132,750.00","352,838,214.68","113,665,245.39","131,214,424.56","147,244,230.47","161,709,543.93","10,524,056.75","22,934,033.43","30,342,569.82","43,964,933.00","9,863,051.18","23,094,919.94","36,243,467.19","52,826,162.20","13,165,348.83"
筹资活动现金流入小计,"93,000,000.00","139,000,000.00","306,672,444.09","28,932,836.71","353,370,000.00","446,490,000.00","591,890,000.00","51,000,000.00","115,009,900.00","257,299,900.00","370,009,900.00","139,000,000.00","296,000,000.00","372,000,000.00","521,000,000.00","122,075,248.33","293,597,240.19","389,379,474.35","1,437,966,484.10","57,918,658.81","331,741,372.84","469,689,662.12","712,364,182.60","50,092,826.88","469,587,089.28","591,064,513.41","749,560,403.62","555,185,452.32","811,703,718.10","986,703,718.10","1,363,703,718.10","60,000,000.00","343,000,000.00","500,000,000.00","889,300,000.00","368,000,000.00","587,000,000.00","762,000,000.00","854,000,000.00","185,000,000.00","589,000,000.00","940,000,000.00","1,050,000,000.00","173,500,000.00"
经营活动现金流出小计,"138,033,360.46","236,924,765.80","545,584,784.22","167,581,019.00","375,854,217.19","566,528,962.11","797,774,534.65","156,682,067.89","315,463,923.48","515,555,076.19","733,370,174.24","194,591,492.44","434,480,839.81","737,911,005.97","971,655,585.49","275,359,482.96","550,465,267.46","851,396,098.34","1,204,716,108.30","324,900,301.95","664,245,483.73","1,008,733,203.03","1,297,534,633.01","300,775,368.78","595,883,163.88","879,400,791.85","1,173,611,827.96","264,253,467.00","533,698,250.25","839,011,121.24","1,467,947,806.20","372,678,865.14","661,345,093.90","962,934,023.13","1,190,933,704.69","289,043,649.41","551,549,210.91","859,699,324.23","1,188,032,161.30","291,738,353.63","576,804,611.76","874,220,539.78","1,214,816,127.84","333,180,848.36"
