科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"232,471,958.87","303,633,882.85","326,532,997.63","173,714,738.35","252,190,466.44","354,430,734.49","87,429,669.14","190,509,496.95","297,740,263.73","392,157,048.18","80,687,537.44","160,194,604.32","250,263,012.64","339,284,156.36","73,141,967.25","145,584,582.48","237,592,718.18","348,390,290.58","73,317,111.95","160,519,516.72","246,281,035.26","334,904,276.43","82,969,202.62","180,161,181.31","273,635,227.14","2,339,304,540.69","623,007,469.72","1,289,934,402.26","1,977,116,326.91","2,720,481,802.02","658,544,078.37","1,299,274,369.13","2,094,687,302.66","3,134,019,143.58","628,469,578.18","1,105,557,526.69","1,734,777,996.34","2,283,757,176.83","670,780,906.61"
二、营业利润,"20,481,551.35","33,377,509.26","45,075,533.74","23,268,270.82","34,148,768.97","46,063,938.73","11,657,935.99","27,238,037.79","42,133,364.67","49,065,586.76","9,081,007.22","21,396,079.44","28,868,272.14","30,041,686.03","3,452,666.38","3,594,622.34","-487,278.01","5,555,433.62","-7,529,267.26","-13,491,661.25","-30,303,547.81","-46,436,950.54","-3,190,885.45","-2,035,246.80","-5,917,528.13","645,820,110.12","101,833,995.92","214,604,478.71","406,266,988.98","660,316,588.61","225,253,396.21","408,970,145.74","1,092,016,798.48","1,715,476,977.34","293,364,035.76","447,150,773.58","607,355,529.64","292,014,392.63","106,415,189.68"
减:营业成本,"193,946,508.81","243,678,355.00","253,083,235.50","133,964,985.11","193,838,360.15","272,464,474.59","67,179,893.18","147,367,976.54","231,420,623.00","305,655,053.32","62,868,567.11","123,815,536.60","193,226,443.63","262,515,691.04","56,287,547.48","113,021,655.37","185,784,667.78","269,881,243.64","60,586,477.41","130,334,084.79","203,802,014.55","284,081,504.41","67,937,103.69","145,699,672.03","223,213,487.49","908,000,299.39","246,071,447.78","515,752,274.17","750,098,000.11","992,511,751.44","222,224,071.93","461,453,005.08","722,017,818.04","918,277,446.56","136,155,171.48","278,677,106.59","480,889,657.17","679,077,439.67","281,017,391.91"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"95,785.62","209,321.40","314,486.95","311,889.95","480,940.90","1,070,149.37","506,497.82","1,205,379.95","2,085,728.06","2,574,417.46","487,789.78","955,564.13","1,481,885.22","2,028,298.40","459,938.64","900,735.96","1,357,737.44","2,392,095.05","610,669.06","1,091,267.86","1,467,741.74","1,822,231.33","441,713.56","988,450.68","1,511,716.04","76,994,306.14","29,259,222.07","51,761,059.06","61,850,886.70","80,784,182.93","11,492,729.31","13,281,471.61","22,625,108.45","30,824,976.89","4,935,095.35","7,975,639.91","12,069,789.92","16,024,044.42","3,499,729.96"
营业外收入,"10,524.78","106,191.21","917,734.22","2,326,700.98","2,326,700.98","3,987,173.00","2,000,216.24","2,252,110.71","3,653,674.24","4,867,164.62","222,926.93","55,506,946.54","55,516,562.68","56,818,141.29","405,154.44","1,368,500.26","1,385,778.82","2,943,114.17","914,427.95","1,116,427.04","1,763,369.40","3,002,755.49","11,529,177.94","11,566,485.35","13,716,358.60","12,535,426.76","50,618.06","25,737,963.45","25,822,363.45","27,754,367.29","80,027.44","26,204,520.91","28,745,592.14","34,126,191.66","208,677.82","704,340.14","1,218,990.97","24,451,222.33","10,531,364.53"
销售费用,"1,452,600.17","1,927,206.27","1,672,383.34","1,241,005.54","1,715,880.90","2,272,488.96","693,991.56","1,451,373.19","2,143,108.16","3,317,767.62","2,002,081.27","4,711,036.06","7,986,777.62","13,064,165.60","3,852,450.85","10,224,407.04","18,549,763.66","26,474,802.21","5,631,048.95","14,491,067.83","23,132,398.62","30,040,085.63","3,318,967.16","7,187,757.03","11,093,782.70","515,012,522.11","189,184,981.37","401,465,575.43","606,317,165.43","798,565,520.29","170,159,272.24","372,822,917.70","549,420,255.67","757,422,079.31","111,402,691.26","205,722,033.05","363,776,712.34","518,916,383.71","124,983,430.66"
减:营业外支出,"525,245.00","397,016.31","9,412.80","111,887.50","111,887.50","113,449.05",,"34,186.07","448,726.02","465,684.17",48.15,"10,914.30","27,276.50","395,969.62","17,299.60","42,021.99","43,247.19","272,658.43","2,522,199.23","2,754,364.73","2,856,621.20","4,505,919.45","115,731.43","228,740.85","312,320.31","296,511.16","20,315.61","32,059.82","228,164.45","1,858,021.66","2,925.64","8,586.02","21,150.44","7,276.09","27,813.74","27,816.84","1,780,369.84","42,651,876.01","1,545,991.40"
管理费用,"10,782,467.29","15,531,216.39","20,801,413.88","11,990,884.76","17,807,339.42","26,321,088.36","7,356,756.19","13,793,321.26","20,628,543.48","28,779,762.39","7,013,994.27","9,932,145.19","19,296,785.20","31,408,165.11","9,646,144.08","18,792,747.37","31,782,923.55","42,979,858.74","12,887,788.37","25,040,781.39","40,002,117.76","51,849,337.95","10,804,852.82","22,130,279.36","33,740,019.19","254,996,102.49","74,148,905.89","142,108,102.86","210,745,547.60","283,824,824.70","59,987,760.70","120,332,621.98","194,763,058.76","302,219,401.55","105,048,991.11","212,683,166.91","88,132,563.51","153,823,648.69","46,324,397.51"
其中:非流动资产处置净损失,"24,145.00","52,318.11","8,914.58",,,"13,449.04",,,"447,799.87","454,213.33",,"10,866.15","27,265.35","253,211.06",,"24,689.39","24,689.39","245,020.52","9,640.11","188,024.27","243,039.11","576,108.72","8,214.89","32,455.51","73,303.52","296,511.16",,"11,738.24","207,842.87","264,923.42",,"1,311.96","13,876.38",,,,,,
