科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"183,088,190.59","105,871,137.56","44,188,769.89","61,245,336.12","58,785,090.90","109,616,724.96","981,490,582.25","276,050,994.45","255,159,868.11"
短期借款,,,"70,000,000.00","125,000,000.00","125,000,000.00","66,000,000.00",,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"32,600,000.00",,,,,,,,
应付票据,,"6,000,000.00",,,,,,,
应收账款,"94,201,924.55","138,101,655.28","113,921,391.76","109,368,027.20","120,131,204.71","93,046,715.07","81,826,695.14","90,043,770.15","95,697,639.82"
应付账款,"88,166,281.54","136,578,101.95","115,209,617.93","97,863,063.41","116,684,401.09","122,030,379.86","105,453,072.73","101,637,250.21","150,344,105.05"
预付款项,"18,613,019.65","20,931,935.66","9,925,159.43","26,382,754.94","9,935,916.70","8,604,080.22","17,716,176.47","50,217,698.79","14,767,239.00"
预收款项,"96,828,305.37","68,120,966.54","56,534,448.14","24,673,985.60","52,891,887.43","34,617,521.88","28,137,759.14","27,252,958.81","26,807,352.11"
其他应收款,"36,455,788.27","18,594,708.29","14,132,341.91","16,475,282.82","21,942,155.10","15,078,080.19","18,003,636.11","18,319,287.66","21,254,681.36"
应付职工薪酬,"30,190,507.63","36,017,527.80","36,335,506.81","30,459,839.74","36,583,414.53","45,377,221.30","37,730,851.33","38,442,791.19","44,407,845.44"
应收关联公司款,,,,,,,,,
应交税费,"113,842,436.60","99,827,271.37","73,914,768.01","62,104,487.05","74,521,621.38","91,790,730.44","43,853,238.79","47,075,868.37","71,757,543.84"
应收利息,,,,,,,,,
应付利息,,,"75,469.45","144,999.99",,"66,808.75",,,
应收股利,,,,,,,,,
应付股利,"404,000.00",,,,,,,,
存货,"285,106,577.07","358,915,495.46","403,601,748.81","401,496,940.04","411,233,286.24","380,828,767.34","377,537,957.87","383,752,304.32","478,913,083.47"
其他应付款,"12,407,137.04","22,989,394.70","29,506,976.01","23,305,303.58","21,049,763.40","18,830,490.38","21,669,585.00","22,717,911.09","72,112,182.62"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,"5,778,503.69","17,399,537.28","23,789,152.01","20,264,313.81","17,151,564.73","21,563,935.35","17,704,819.02","14,275,449.81","10,257,320.17"
一年内到期的非流动负债,,,,,,,,,
其他流动资产,"104,230,809.38","29,157,310.29","144,480,512.97","108,686,171.21","227,314,897.77","276,689,765.98","489,261,062.53","1,079,742,826.79","1,178,201,228.02"
其他流动负债,"4,305,900.00","13,489,910.69","16,325,300.00","13,714,016.00","14,330,555.74","15,053,452.00","16,790,815.00","20,315,519.00","22,238,007.00"
