科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"398,557,779.65","593,469,692.19","668,144,418.62","562,234,285.27","380,232,569.59","932,278,588.58","317,767,437.43","446,041,236.32","234,303,309.54","723,906,409.15","1,520,356,722.88","1,346,926,904.21","1,111,917,726.51","1,717,347,285.69","1,007,331,537.63","980,843,947.47","947,750,228.45","1,073,741,637.38","648,776,501.43","1,142,216,912.43","525,867,035.64","1,240,603,312.86","940,449,324.90"
短期借款,"245,000,000.00","422,140,000.00","595,410,000.00","676,370,000.00","761,670,000.00","559,890,000.00","431,420,000.00","512,240,000.00","587,494,381.96","681,120,000.00","340,000,000.00","50,000,000.00","110,000,000.00","263,000,000.00","316,670,000.00","316,670,000.00","676,670,000.00","623,670,000.00","1,083,670,000.00","1,243,670,000.00","1,273,670,000.00","1,323,670,000.00","1,550,170,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,621,238.17","3,999,713.18","1,038,835.49",,"22,308,397.82","4,682,061.39","60,502,819.38","77,749,309.92","45,317,065.36","37,110,135.94","110,308,723.31","116,176,780.72","88,510,475.49","62,269,380.15","117,483,787.72","161,054,615.73","138,650,002.90","179,969,709.35","227,177,971.02","239,192,318.05","116,181,887.57","128,852,839.82","150,021,684.72"
应付票据,"112,237,374.38","131,527,191.78","136,424,901.41","94,694,156.45","100,548,857.17","141,027,081.33","60,586,387.92","44,964,027.78","57,284,218.30","99,864,386.17","98,675,305.80","92,805,585.62","117,647,537.80","294,791,046.72","229,449,290.07","117,356,023.07","160,230,571.07","291,364,173.77","217,124,647.36","256,185,209.79",,"563,520,820.14",
应收账款,"735,907,719.19","946,703,394.57","1,339,394,141.95","1,719,255,228.61","1,999,503,604.94","1,800,801,607.02","2,213,386,113.57","2,302,612,639.32","2,660,510,839.69","2,337,889,763.23","2,902,924,836.52","2,787,735,615.77","3,152,461,053.72","2,903,153,430.89","3,709,927,604.06","3,712,998,383.14","4,226,421,710.22","3,793,363,854.11","4,521,541,609.95","4,688,165,240.79","5,433,720,464.32","5,026,535,705.44","6,167,118,492.12"
应付账款,"880,852,837.29","1,029,055,781.19","1,405,226,976.58","1,649,253,431.22","1,747,840,451.04","1,675,294,647.20","1,793,183,084.25","1,911,391,692.89","2,040,932,288.84","1,973,990,012.10","2,169,729,900.37","2,328,384,915.19","2,197,031,895.59","2,303,814,532.54","2,516,674,993.38","2,768,600,588.50","2,787,231,571.65","2,714,502,937.09","2,794,680,191.44","2,691,272,738.65",,"2,625,156,034.52",
预付款项,"42,263,179.44","33,444,929.82","53,062,025.09","68,298,918.89","75,124,425.09","72,112,171.85","60,078,298.35","73,579,295.54","73,383,677.88","88,411,177.95","82,438,053.93","84,465,648.64","112,577,122.88","129,444,193.86","91,955,678.22","140,772,977.91","153,161,053.05","169,901,775.73","159,403,661.30","157,370,033.29","201,111,669.71","213,451,676.94","216,384,795.74"
预收款项,"7,040,017.65","8,096,498.70","4,132,162.61","4,027,572.34","3,311,458.78","5,036,601.62","3,899,469.55","3,949,248.42","4,534,067.99","17,945,082.48","5,291,836.63","7,897,309.59","6,581,169.20","17,859,291.92","6,846,658.85","6,898,446.56","9,110,045.99","26,383,283.27","12,385,487.73","15,669,785.77","12,228,940.81","18,814,365.94","18,879,526.53"
