科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"11,471,520.80","11,742,512.90","17,335,998.70","26,626,948.71","23,300,594.36","45,798,738.92","208,272,304.48","79,274,107.79","43,713,224.70","73,496,501.93"
短期借款,"18,800,000.00","23,100,000.00","14,000,000.00","14,000,000.00","4,000,000.00",,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"4,320,876.36","1,837,707.00","12,926,261.30","9,067,702.32","7,359,518.11","13,205,918.24","1,813,139.00","15,027,280.27","13,675,962.04","11,605,204.26"
应付票据,"4,500,000.00","9,337,243.50","15,980,313.59","9,156,609.85","18,422,979.17","19,131,956.98","11,598,217.16","16,050,943.63","24,018,237.06","21,207,342.03"
应收账款,"33,370,876.09","43,815,905.19","42,832,134.75","49,419,494.88","50,736,756.95","48,944,337.70","66,345,476.67","50,449,956.46","56,179,351.81","50,415,256.79"
应付账款,"45,886,886.60","31,823,364.09","34,606,931.35","36,587,263.77","32,197,460.95","31,482,394.87","22,241,246.74","31,257,115.14","28,305,692.96","49,537,656.17"
预付款项,"5,326,089.99","6,323,263.18","6,003,097.10","5,931,029.62","6,575,180.25","7,280,728.99","4,784,880.31","2,074,511.54","2,008,826.01","1,780,707.73"
预收款项,"1,642,082.79","2,437,955.97","1,844,546.40","2,557,011.23","1,805,424.98","3,652,161.67","10,856,756.58","4,103,296.16","2,486,273.19","4,202,778.72"
其他应收款,"1,662,495.69","140,985.91","136,526.64","310,991.81","200,117.84","234,375.66","548,348.77","323,422.99","309,604.57","855,856.06"
应付职工薪酬,"1,348,858.99","1,305,352.14","1,185,077.11","1,250,328.36","1,229,399.74","1,126,676.80","1,185,367.42","1,493,597.42","1,463,713.03","2,263,374.25"
应收关联公司款,,,,,,,,,,
应交税费,"3,122,160.92","4,348,450.04","6,637,904.48","4,882,080.90","5,926,509.99","9,659,049.79","8,544,205.05","4,759,922.25","7,353,330.88","9,916,386.25"
