科目,2006年1-3月
销售商品、提供劳务收到的现金,"11,082,402,164.71"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"38,182,231.49"
投资活动现金流出小计,"520,906,978.70"
经营活动现金流入小计,"11,120,584,396.20"
投资活动产生的现金流量净额,"-13,305,735.31"
购买商品、接受劳务支付的现金,"10,979,333,244.21"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"78,225,015.04"
取得借款收到的现金,"100,000,000.00"
支付的各项税费,"221,380,725.49"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"59,487,047.05"
筹资活动现金流入小计,"100,000,000.00"
经营活动现金流出小计,"11,338,426,031.79"
偿还债务支付的现金,"700,000,000.00"
经营活动产生的现金流量净额,"-217,841,635.59"
分配股利、利润或偿还利息支付的现金,"11,464,087.50"
收回投资收到的现金,"500,000,000.00"
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,"3,502,520.82"
筹资活动现金流出小计,"711,464,087.50"
处置固定资产、无形资产和其他长期资产收回的现金净额,500.00
筹资活动产生的现金流量净额,"-611,464,087.50"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,"4,098,222.57"
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"507,601,243.39"
五、现金及现金等价物净增加额,"-842,611,458.40"
购建固定资产、无形资产和其他长期资产支付的现金,"465,706,978.70"
期初现金及现金等价物余额,"1,411,804,046.82"
投资支付的现金,"55,200,000.00"
期末现金及现金等价物余额,"569,192,588.42"
