科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"208,690,312.20","256,766,478.71","143,332,969.34","217,920,947.33","304,718,455.67","74,103,094.80","181,583,882.88","287,604,660.31","411,022,605.31","94,943,014.40","224,146,786.28","384,715,450.54","572,435,775.63","152,043,632.69","339,044,435.51","548,703,326.31","754,269,419.23","231,387,952.94","482,002,183.11","746,425,255.83","990,720,971.73","250,691,050.27","502,405,993.97","794,003,664.79","1,130,304,344.35","284,604,316.41","670,050,571.23","1,047,910,606.95","1,685,137,677.84","465,268,851.35","1,100,315,102.24","1,594,704,722.60","2,446,430,743.22","454,001,110.14","990,046,527.91","1,516,656,628.53"
二、营业利润,"28,557,200.42","33,095,160.50","19,718,223.09","28,961,234.10","39,430,069.69","11,656,356.26","24,185,855.59","33,907,900.81","41,499,043.30","13,476,098.14","29,275,130.01","40,063,881.16","50,139,620.64","7,725,123.69","16,136,656.18","20,928,123.11","22,750,660.11","10,396,886.01","24,955,575.52","29,576,798.47","34,616,917.55","10,197,081.93","28,751,263.09","42,919,438.14","93,723,357.41","16,194,618.08","79,998,150.43","103,652,961.29","202,778,413.79","24,174,448.33","120,857,536.78","170,085,625.15","323,622,688.00","24,310,072.84","89,549,755.85","124,752,776.49"
减:营业成本,"125,851,393.27","153,685,925.90","82,665,583.19","127,134,229.50","178,405,009.79","44,463,613.83","110,465,197.78","179,862,527.47","257,791,641.74","57,498,968.84","133,618,415.71","238,547,487.09","357,513,865.86","98,669,074.29","221,309,352.40","366,071,132.47","500,281,734.47","162,804,603.50","335,646,930.56","532,607,604.58","698,697,836.03","190,422,839.90","357,423,997.27","571,542,338.25","781,960,579.67","204,734,952.95","447,357,913.20","699,408,656.39","1,102,482,280.20","344,213,121.33","765,442,423.70","1,079,755,364.03","1,592,324,910.84","315,022,271.14","658,288,255.48","1,025,383,201.98"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,257,587.70","1,591,216.93","844,421.14","1,222,256.22","1,656,254.56","272,285.66","908,138.87","1,287,359.14","1,845,448.62","396,423.18","1,211,116.12","2,060,554.14","3,176,511.22","762,392.05","1,507,128.37","2,551,045.61","3,542,812.20","1,492,042.55","2,675,785.83","3,988,085.83","5,083,543.00","1,119,763.52","2,405,551.16","3,928,061.78","5,672,862.68","1,739,764.63","4,369,959.44","5,739,716.20","8,607,634.12","2,008,791.98","3,942,381.90","5,622,536.14","15,018,571.58","2,640,535.69","6,362,707.35","9,117,994.03"
营业外收入,"5,510,869.22","5,315,556.39","2,676,267.58","4,112,036.87","8,665,973.35","4,523,727.89","8,293,624.15","10,909,618.19","20,262,983.91","5,704,747.45","8,289,809.75","10,400,029.11","20,117,676.07","4,674,759.31","10,835,747.54","13,695,823.55","23,458,181.14","5,370,186.02","7,242,377.17","9,177,543.59","18,032,461.98","3,825,723.21","6,753,851.92","7,809,145.73","19,193,307.87","4,895,246.37","9,493,512.42","13,019,443.57","25,921,296.99","4,840,520.15","8,121,539.60","10,453,617.45","21,975,660.52","1,931,741.89","13,607,956.39","7,560,882.22"
销售费用,"36,362,878.50","44,096,414.06","26,630,175.35","40,383,717.53","57,223,491.21","12,286,564.81","34,276,344.24","54,586,080.22","78,683,117.73","16,758,204.22","44,510,656.10","78,684,541.63","124,537,944.63","35,899,717.17","73,398,027.18","116,769,552.56","165,336,803.44","40,548,261.91","84,072,452.05","128,205,434.89","176,377,457.99","30,558,778.49","70,657,342.58","110,705,946.09","152,048,956.37","37,571,844.49","79,756,592.83","141,844,556.87","202,149,455.80","49,210,601.06","106,764,807.93","178,009,186.24","242,911,770.48","53,942,815.31","121,806,412.40","187,974,379.27"
减:营业外支出,"1,101,386.83","693,798.63","99,385.79","264,784.02","602,077.94","190,226.06","1,266,260.77","1,702,858.44","2,510,687.78","458,572.84","1,124,017.41","2,134,207.30","3,650,825.26","252,493.45","662,224.47","1,471,378.37","3,374,426.78","1,988,154.69","3,859,738.53","4,019,436.83","5,965,698.86","403,455.62","2,297,173.97","3,138,718.16","4,120,988.23","337,534.47","7,756,140.23","8,334,260.44","8,954,730.04","148,738.50","3,473,212.09","5,567,727.06","5,506,225.91","584,022.40","1,521,314.34","2,804,444.33"
管理费用,"10,734,861.51","17,573,044.93","9,323,940.79","14,187,049.90","19,438,116.53","4,895,540.70","11,468,482.00","17,990,460.34","26,566,957.57","6,624,452.46","14,676,117.64","24,825,033.14","34,696,067.40","10,050,420.72","21,952,148.26","34,657,998.32","51,596,508.04","13,025,381.98","28,832,124.59","44,052,392.22","63,672,334.46","15,406,205.76","32,966,526.36","48,928,216.35","72,981,581.34","20,102,603.66","45,404,912.48","73,276,470.51","117,773,508.19","33,166,764.65","68,723,521.36","103,493,203.82","145,058,121.51","34,601,101.49","70,789,509.64","110,115,538.57"
其中:非流动资产处置净损失,"527,365.23","433,387.75","55,630.77","197,406.89","459,509.69","180,226.06","506,260.35","834,883.47","1,042,693.17","343,654.18","1,057,875.75","1,770,666.97","3,560,637.55",,"343,811.04","619,676.38","2,424,097.68","1,800,595.38","3,402,230.86","3,544,898.53","5,467,161.52","94,048.48","1,957,905.09","2,570,413.72","3,335,754.78","311,698.21","7,226,991.07","7,498,607.67","7,854,355.05","66,015.24","2,434,873.47","3,359,799.86","3,808,533.20","476,517.78","1,339,413.39","1,947,653.00"
