科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"199,047,769.40","261,816,820.53","419,748,672.38",,"380,748,245.62","913,520,050.26","871,559,223.81","844,173,075.62","1,067,137,026.19","1,009,403,615.01","586,888,159.51"
短期借款,,,,,,,,,,,"44,635,522.77"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,,,,,,,,,,,
应付票据,,,,,,,,,,,
应收账款,"44,282,689.76","104,806,810.36","126,952,379.50",,"124,386,072.89","123,874,638.14","103,144,754.51","134,206,332.54","98,708,045.93","113,989,732.48","93,987,435.94"
应付账款,"94,847,680.18","140,741,618.08","177,672,147.17",,"184,530,574.47","240,000,236.18","244,959,897.17","207,662,317.17","219,629,920.25","262,098,301.93","271,810,277.78"
预付款项,"4,365,183.33","4,308,742.36","4,971,494.52",,"5,385,096.99","3,555,026.25","2,543,624.11","4,077,770.24","9,969,740.48","3,446,625.70","9,264,711.97"
预收款项,"1,362,036.79","9,058,284.78","12,865,996.26",,"10,885,554.91","12,137,015.65","22,568,330.33","15,276,287.21","12,313,046.78","12,256,810.26","13,444,825.96"
其他应收款,"12,216,496.57","10,971,330.70","8,949,705.09",,"14,050,143.45","15,056,625.83","25,424,993.68","23,828,053.35","20,216,314.34","22,579,995.58","79,175,894.03"
应付职工薪酬,"3,181,497.67","19,492,175.83","34,594,506.74",,"6,309,479.12","5,374,718.29","35,346,046.56","7,148,349.40","7,487,211.51","7,890,248.64","61,525,322.33"
应收关联公司款,,,,,,,,,,,
应交税费,"6,995,431.90","5,891,091.69","16,091,967.97",,"1,392,462.37","5,928,621.56","5,765,069.71","12,460,191.78","17,866,056.30","31,164,471.39","25,086,237.59"
应收利息,,,,,,,,,,,
应付利息,,,,,,,,,,,"615,921.16"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,"15,057,160.87",,
存货,"143,308,435.19","183,761,571.55","219,764,259.83",,"287,207,862.83","353,377,407.75","406,762,949.06","399,634,915.31","412,211,741.58","502,233,318.76","627,475,772.23"
其他应付款,"1,334,685.56","5,229,049.60","4,661,825.34",,"843,702.18","8,236,292.77","7,497,902.71","5,486,041.23","127,738,718.59","129,192,907.59","136,507,579.86"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,"4,240,819.31","6,467,198.78","5,741,789.71","5,093,361.66","1,681,967.76"
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"19,613,505.86","8,096,499.25","17,940,948.70",,"15,629,557.64","18,518,756.13","21,455,543.54","18,840,232.15","19,506,250.84","34,178,597.77","32,128,742.17"
其他流动负债,,,,,,,,,,,
流动资产合计,"422,834,080.11","573,761,774.75","798,327,460.02",,"827,406,979.42","1,427,902,504.36","1,435,131,908.02","1,431,227,577.99","1,633,490,909.07","1,690,925,246.96","1,430,602,683.61"
流动负债合计,"107,721,332.10","180,412,219.98","245,886,443.48",,"203,961,773.05","271,676,884.45","316,137,246.48","248,033,186.79","400,092,114.30","442,602,739.81","553,625,687.45"
可供出售金融资产,,"14,582,379.60","24,082,379.60",,"30,478,572.60","43,478,572.60","86,220,903.85","87,602,590.10","121,258,635.80","266,120,202.18","800,302,672.80"
长期借款,,,,,,,,,,,"183,542,091.15"
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,"9,534,813.57","7,753,791.12","23,799,826.05","21,829,076.52","18,864,328.58","5,506,587.41","3,868,652.88"
专项应付款,,,,,,,,,,,
投资性房地产,,,,,,,,,,,
预计负债,,,,,,,,,,,
固定资产,"37,080,283.60","34,676,284.43","46,980,813.66",,"52,864,001.68","56,944,749.30","75,527,624.25","78,608,388.23","83,073,660.50","91,928,668.50","101,537,011.95"
递延所得税负债,"1,568,809.68","371,031.50",,,"215,443.18","197,294.07","274,947.44","325,739.48","187,198.28","9,897,665.21","7,788,860.97"
在建工程,,,"323,700.00",,"1,704,967.19","8,465,136.60","18,675,399.40","21,376,561.22","35,851,091.77","37,860,207.73","62,970,315.47"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"35,428,335.28","36,003,421.20","83,279,180.27",,"81,384,007.68","65,485,262.35","74,389,153.77","80,409,691.82","77,241,136.83","87,140,642.83","263,509,509.66"
固定资产清理,,,,,,,,,,,
负债合计,"143,149,667.38","216,415,641.18","329,165,623.75","287,524,800.00","285,345,780.73","337,162,146.80","390,526,400.25","328,442,878.61","477,333,251.13","529,743,382.64","817,135,197.11"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00",,"75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","202,693,994.00","202,693,994.00","202,679,734.00"
油气资产,,,,,,,,,,,
资本公积,"170,566,077.10","170,566,077.10","170,566,077.10",,"170,566,077.10","662,471,226.18","665,511,454.69","665,522,281.55","692,328,637.53","704,512,312.53","715,916,650.04"
无形资产,"160,000.00","40,000.00",,,,"5,215,464.98","5,189,344.13","5,163,223.28","5,256,770.60","5,222,845.31","5,473,254.52"
盈余公积,"5,828,657.50","13,875,474.74","28,489,059.42",,"28,489,059.42","28,489,059.42","45,919,530.74","45,919,530.74","45,919,530.74","45,919,530.74","75,430,339.19"
开发支出,,,,,,,,"1,325,438.88","3,091,411.03","8,102,019.15","23,004,765.00"
减:库存股,,,,,,,,,"121,377,899.98","121,377,899.98","120,735,415.68"
商誉,,,"1,450,032.70",,"3,830,032.70","3,830,032.70","3,830,032.70","3,830,032.70","3,830,032.70","3,830,032.70","3,830,032.70"
未分配利润,"84,895,318.06","164,963,782.98","293,640,174.29",,"383,545,996.91","438,249,580.59","452,637,290.03","522,126,256.80","579,081,683.76","739,093,709.26","767,542,504.09"
长期待摊费用,"4,422,228.30","2,208,453.75","9,879,716.16",,"9,458,103.94","8,098,352.40","2,744,120.60","5,601,656.46","4,217,592.16","4,940,010.52","12,493,830.96"
少数股东权益,,"133,097.31","-645,328.88",,"3,897,569.92","3,753,648.16","588,241.66","748,295.49","1,394,366.76","674,451.19","749,941.40"
递延所得税资产,"10,129,584.41","11,146,901.56","18,755,109.61",,"18,110,863.31","16,100,852.40","15,531,172.53","15,573,854.63","13,800,425.46","17,544,021.84","20,067,530.74"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,,,,,"3,000,000.00","3,000,000.00",,"2,000,000.00","110,222,706.62"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"51,792,096.31","62,654,019.34","101,471,751.73",,"125,981,354.99","149,886,952.10","234,518,423.51","243,910,822.02","289,243,948.60","443,054,595.34","1,143,770,773.64"
所有者权益(或股东权益)合计,"331,476,509.04","420,000,152.91","570,633,588.00","607,648,800.00","668,042,553.68","1,240,627,309.66","1,279,123,931.28","1,346,695,521.40","1,445,401,606.54","1,604,236,459.66","1,757,238,260.14"
资产总计,"474,626,176.42","636,415,794.09","899,799,211.75","895,173,600.00","953,388,334.41","1,577,789,456.46","1,669,650,331.53","1,675,138,400.01","1,922,734,857.67","2,133,979,842.30","2,574,373,457.25"
负债和所有者(或股东权益)合计,"474,626,176.42","636,415,794.09","899,799,211.75",,"953,388,334.41","1,577,789,456.46","1,669,650,331.53","1,675,138,400.01","1,922,734,857.67","2,133,979,842.30","2,574,373,457.25"
