科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
货币资金,"337,676,218.32","311,213,191.56","266,415,610.07","284,228,936.55","304,521,952.83","267,528,547.98","233,699,237.80","473,566,921.58","657,440,393.61","480,004,846.79","390,143,192.80","511,065,400.65","687,713,685.11","451,081,461.55","405,569,207.55","425,345,807.83","589,070,632.79","657,162,057.18","308,770,867.16","365,775,936.10","569,239,495.42","726,098,103.17","527,681,395.05","504,908,589.17","552,352,903.47"
短期借款,"815,720,000.00","837,720,000.00","864,720,000.00","828,620,000.00","698,620,000.00","816,320,000.00","833,820,000.00","785,758,000.00","600,758,000.00","654,000,000.00","648,000,000.00","578,000,000.00","635,000,000.00","635,000,000.00","645,000,000.00","765,000,000.00","807,720,000.00","778,720,000.00","1,043,720,000.00","947,670,000.00","1,200,690,000.00","953,690,000.00","997,940,000.00","1,362,848,422.54","1,437,468,422.54"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"15,650,708.01","32,645,684.41","16,635,388.99","37,101,398.73","53,605,506.78","36,937,742.02","20,000,122.75","18,544,109.42","20,882,487.54","33,801,735.81","17,868,472.86","60,651,612.83","70,806,567.30","77,989,219.64","67,064,189.58","120,378,589.61","85,988,261.22","99,387,388.43","46,189,824.21","145,887,957.55","48,994,853.93","64,709,191.96","121,739,857.70","141,152,308.51","139,593,730.09"
应付票据,"531,160,000.00","519,553,694.09","447,888,699.23","407,687,057.00","466,060,310.34","343,180,463.65","310,515,973.03","660,565,422.08","875,540,091.30","588,288,375.64","492,285,940.87","570,607,285.41","704,145,659.84","523,921,253.44","496,651,835.70","432,152,065.82","898,392,476.11","960,408,156.59","434,734,180.53","376,950,319.51","465,523,980.84","892,477,081.32","813,993,700.27","474,472,231.35","697,991,235.40"
应收账款,"445,048,065.20","444,792,745.26","462,624,437.48","383,316,662.97","478,418,871.05","464,973,966.60","490,304,870.49","504,731,431.43","574,107,192.42","617,808,258.17","706,443,858.35","560,917,782.82","782,195,521.15","756,050,420.25","858,612,946.26","582,887,041.24","792,666,959.33","773,809,035.27","830,695,201.03","626,524,404.83","784,041,257.35","963,895,829.98","987,003,915.21","799,376,755.98","1,121,805,165.38"
应付账款,"188,078,925.06","231,745,566.66","212,726,505.21","319,662,502.47","350,216,974.72","314,766,030.86","292,313,787.98","353,989,623.11","302,207,591.83","362,390,394.71","422,290,444.29","414,312,394.48","449,754,125.59","484,839,011.41","497,655,018.35","438,840,109.33","431,333,997.48","464,586,696.91","445,270,083.34","475,113,004.11","479,661,194.62","521,141,298.40","601,982,854.29","571,519,747.54","607,994,215.02"
预付款项,"128,250,573.35","127,068,290.05","106,571,839.64","57,091,987.93","45,407,195.77","47,906,378.17","53,138,224.65","39,007,845.96","65,972,523.65","52,535,808.72","88,812,315.89","68,552,631.74","76,822,053.84","64,277,921.04","76,307,988.36","83,786,310.37","112,248,741.30","108,534,476.31","129,921,554.42","110,089,334.66","127,710,292.08","128,083,225.09","131,655,099.54","127,246,171.00","148,935,717.97"
预收款项,,,"2,089,279.25","13,403,800.23","2,781,806.65","3,699,620.15","2,549,122.02","5,672,394.23","2,364,679.14","2,947,613.61","2,825,226.49","16,627,494.33","5,406,397.65","4,019,055.19","4,703,967.47","6,639,246.20","5,352,417.98","6,746,867.78","9,824,707.09","9,608,352.55","4,615,098.90","7,992,701.97","4,383,099.82","21,906,548.71","19,930,194.57"
其他应收款,"55,340,959.82","58,831,141.97","48,489,725.08","56,130,325.53","63,666,662.48","64,060,338.57","83,768,671.71","57,731,146.97","70,766,772.92","71,273,192.47","66,766,204.89","42,068,540.80","69,903,599.01","72,105,471.45","53,171,259.91","42,217,683.37","68,998,863.70","53,658,727.08","56,376,040.46","22,496,865.68","41,794,851.51","53,452,380.35","42,562,628.07","21,842,549.46","33,621,909.87"
应付职工薪酬,"2,007,194.64","2,892,296.88","6,435,402.73","5,269,208.66","834,482.94","5,741,335.48","9,870,479.64","5,428,364.27","2,408,307.52","4,226,408.38","7,940,971.68","9,472,839.46","1,299,375.78","2,504,603.86","4,510,245.00","10,374,675.77","1,542,548.24","2,908,054.83","2,395,078.92","3,249,681.19","4,042,831.93","5,064,402.01","3,340,704.14","4,493,936.51","3,321,530.50"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
