科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"261,483,695.11","126,806,391.05","212,644,737.66","321,077,047.73","71,104,605.40","169,995,924.25","282,191,112.76","409,586,576.19","92,522,163.28","228,549,153.88","396,081,958.70","568,734,577.22","145,582,300.78","315,261,140.27","514,569,150.93","682,711,033.74","193,550,861.15","362,510,258.95","540,226,622.09","707,746,144.17","130,943,386.94","329,554,622.01","591,789,761.71","814,631,098.67","201,612,469.37","405,877,361.99","573,957,920.27","844,880,008.50","176,785,047.85","376,140,808.30","575,072,409.08","789,293,896.83","127,936,873.98","259,247,304.53","388,288,204.75","609,611,922.62","160,968,879.39","315,328,902.05","446,697,068.56"
二、营业利润,"46,734,062.86","24,554,173.19","38,290,315.45","53,093,452.90","8,597,743.02","28,317,297.24","48,705,190.11","62,526,042.08","9,713,307.14","19,531,609.84","45,335,721.77","52,923,329.12","11,403,190.10","25,080,112.18","58,152,505.94","62,118,434.59","14,548,679.83","25,773,388.89","24,816,996.49","3,219,355.62","-8,059,045.36","-17,496,872.87","-31,683,073.76","-57,771,002.39","2,006,780.30","307,155.90","-4,697,528.73","-6,946,387.51","-107,142.16","1,336,847.85","-15,391,976.81","-84,014,995.50","-2,525,741.71","-2,472,079.35","-1,051,060.35","6,376,549.58","1,629,619.09","527,876.36","-2,328,829.44"
减:营业成本,"160,673,435.92","71,784,907.47","124,941,509.72","195,772,424.72","45,411,064.36","104,518,350.87","176,631,087.22","262,339,336.96","60,776,366.74","159,074,496.37","274,000,507.79","402,649,154.32","106,826,015.80","233,827,837.02","375,725,154.87","499,505,755.60","146,106,985.10","274,313,398.57","417,407,457.45","562,463,422.40","108,269,564.33","279,153,403.67","510,907,817.29","706,364,371.83","168,543,169.06","333,602,950.44","472,361,297.57","692,012,293.92","145,770,330.75","304,862,211.99","476,020,889.27","669,239,561.11","106,311,957.18","207,542,592.39","302,751,054.63","482,632,511.68","126,584,495.06","253,403,270.70","358,720,042.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,160,973.79","1,015,860.84","1,427,065.78","1,967,672.17","887,508.15","1,066,508.29","1,605,149.34","2,035,982.32","111,692.73","525,525.34","1,125,450.67","1,933,884.18","924,763.52","1,737,574.76","2,861,246.48","3,871,537.30","1,450,986.16","1,871,118.36","2,640,124.22","4,619,249.26","379,860.50","1,031,940.13","1,844,030.61","3,776,343.04","27,321.01","141,815.32","463,075.98","2,683,255.49","313,848.74","939,083.75","2,376,491.10","5,251,821.66","868,780.33","1,461,786.85","1,798,903.12","8,301,163.19","2,116,893.17","5,581,531.58","8,012,704.07"
营业外收入,"6,355,830.71","3,708,480.63","4,146,534.62","7,526,465.12","3,247,558.72","4,192,862.19","4,241,299.79","9,477,312.66","563,928.93","888,998.94","1,437,918.01","7,458,543.53","737,349.24","1,557,820.09","2,294,976.64","7,116,948.06","1,876,391.23","3,319,213.89","7,634,680.07","11,697,848.77","21,725,427.83","22,861,485.43","24,403,975.92","26,324,634.82","2,858,709.71","5,017,225.34","8,453,836.50","18,203,220.55","2,527,851.81","3,464,539.86","4,591,597.31","7,985,598.77","3,442,352.27","6,463,877.65","10,475,277.42","16,476,742.94","2,008,229.22","3,276,777.13","4,270,535.61"
销售费用,"16,938,867.32","10,349,336.88","16,246,663.73","23,737,748.04","6,637,231.02","13,447,095.75","20,195,180.13","33,684,473.38","7,550,931.23","20,455,367.84","30,246,854.20","45,522,644.96","9,018,225.86","18,468,476.33","27,390,868.09","39,599,982.25","7,339,110.18","18,378,827.66","28,933,634.44","41,170,222.29","8,659,381.73","21,375,297.08","37,277,501.38","55,927,738.55","7,981,788.41","23,940,122.08","34,980,585.31","52,845,284.05","9,208,857.03","21,411,727.09","33,583,386.04","60,206,609.89","7,605,300.97","15,634,882.72","26,185,704.95","36,012,184.24","11,262,211.99","20,637,934.71","29,433,040.42"
减:营业外支出,"253,905.35","861,265.09","869,253.09","956,569.82",,"54,018.46","63,718.46","431,154.42","39,782.73","100,384.37","193,992.52","231,629.56",218.47,"288,610.67","374,279.05","669,178.35","5,000.14","189,448.89","404,822.73","498,054.25","30,000.00","191,948.49","243,448.50","256,718.07","53,000.00","263,228.25","372,440.84","582,959.04","3,300.00","80,053.99","357,728.99","5,818,322.25","268,149.44","441,035.32","1,268,878.96","6,039,367.09","740,917.58","1,232,140.97","1,633,437.80"
管理费用,"24,254,113.62","16,194,874.88","26,216,816.38","37,194,359.89","8,457,293.17","19,628,016.89","30,658,506.57","44,264,582.46","12,812,346.00","24,904,540.98","39,846,363.38","56,723,558.00","17,096,311.27","33,703,072.16","52,916,399.94","73,550,722.39","19,547,071.08","39,731,473.13","60,939,341.01","88,512,227.05","22,894,732.42","44,919,126.64","65,841,391.84","89,579,825.57","22,772,858.31","43,613,370.20","64,800,576.04","90,651,710.10","21,183,646.07","43,170,498.50","71,585,759.93","95,566,654.29","15,976,632.80","34,814,143.19","55,181,217.12","71,622,280.41","18,214,475.28","35,969,074.33","57,293,914.03"
其中:非流动资产处置净损失,"60,140.33","99,525.43","99,525.43","103,816.76",,,,"352,335.96",,,,"69,756.50",,,,"57,629.67",,,,0.13,,,,"9,260.90",,,,"3,953.16",,123.23,"133,008.12","163,118.12","2,485.30","48,518.63","112,980.27","236,930.33","5,858.55","9,389.51","15,856.41"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"5,641,043.87","3,975,657.54","6,522,366.60","8,293,248.19","1,113,765.68","2,165,948.96","3,115,382.33","4,021,115.80","1,350,798.20","1,775,686.40","2,101,932.45","2,769,960.88","379,375.08","987,934.12","2,234,965.85","3,493,154.06","1,799,110.52","2,076,096.89","578,802.44","-498,570.33","-784,105.00","-696,499.83","-118,635.97","1,727,385.27","-286,186.09","-835,430.93","-524,419.80","-753,205.69","-621,863.30","-912,286.60","-4,964,721.02","-6,488,555.86","61,911.57","-1,421,083.10","-1,302,355.41","-3,144,448.31","1,683,910.36","3,992,533.16","6,919,122.05"
三、利润总额,"52,835,988.22","27,401,388.73","41,567,596.98","59,663,348.20","11,845,301.74","32,456,140.97","52,882,771.44","71,572,200.32","10,237,453.34","20,320,224.41","46,579,647.26","60,150,243.09","12,140,320.87","26,349,321.60","60,073,203.53","68,566,204.30","16,420,070.92","28,903,153.89","32,046,853.83","14,419,150.14","13,636,382.47","5,172,664.07","-7,522,546.34","-31,703,085.64","4,812,490.01","5,061,152.99","3,383,866.93","10,673,874.00","2,417,409.65","4,721,333.72","-11,158,108.49","-81,847,718.98","648,461.12","3,550,762.98","8,155,338.11","16,813,925.43","2,896,930.73","2,572,512.52","308,268.37"
资产减值损失,"3,635,416.29","-1,068,419.75","-1,000,000.00","1,022,413.82",,"852,706.25","1,418,715.13","853,141.26","206,721.24","2,281,927.11","3,425,128.44","6,212,045.76","-65,580.85","1,388,867.54","3,589,269.38","7,091,184.43","2,758,918.28","365,955.45","4,910,266.04","8,260,237.88","-417,001.68","1,268,227.19","8,039,504.49","15,345,210.97","1,905,673.32","6,446,313.93","8,002,099.45","15,909,173.69","1,037,370.72","5,332,725.72","11,862,580.57","49,606,107.92","-361,967.16","3,687,061.83","4,724,740.69","7,893,207.65","-522,725.56","1,855,899.48","-2,431,526.43"
减:所得税,"8,958,077.01","4,050,189.55","5,640,579.80","9,383,543.73","1,799,628.00","4,660,376.99","6,544,886.51","11,068,710.76","1,904,565.23","3,467,698.74","7,446,865.72","9,443,289.52","2,052,424.52","4,742,269.94","13,174,349.06","11,004,022.54","3,150,807.64","4,921,647.18","5,048,465.94","441,115.30","4,187,084.07","2,421,458.15","170,618.97","-2,465,979.12","294,414.24","-73,714.83","-662,878.26","66,572.53","6,736.55","-37,464.15","-2,776,391.29","-13,981,815.31","-80,432.19","-62,113.39","470,524.13","2,265,687.54","-286,264.54","-232,719.38","-738,076.70"
加:公允价值变动净收益,,,,,,,,,,,,,,"-67,266.16",,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-445,781.44",,,"4,272.00",,,"138,098.07","138,098.07",,,,,,,"8,301,259.62","6,519,736.88",,,,,,,"318,774.17","318,774.17","1,338,934.95","1,338,934.95","1,427,765.55","1,522,115.55",,,,"73,306.68",,,,"81,525.82",,,
四、净利润,"43,877,911.21","23,351,199.18","35,927,017.18","50,279,804.47","10,045,673.74","27,795,763.98","46,337,884.93","60,503,489.56","8,332,888.11","16,852,525.67","39,132,781.54","50,706,953.57","10,087,896.35","21,607,051.66","46,898,854.47","57,562,181.76","13,269,263.28","23,981,506.71","26,998,387.89","13,978,034.84","9,449,298.40","2,751,205.92","-7,693,165.31","-29,237,106.52","4,518,075.77","5,134,867.82","4,046,745.19","10,607,301.47","2,410,673.10","4,758,797.87","-8,381,717.20","-67,865,903.67","728,893.31","3,612,876.37","7,684,813.98","14,548,237.89","3,183,195.27","2,805,231.90","1,046,345.07"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"43,644,651.98","23,351,199.18","35,927,017.18","50,279,804.47","10,045,673.74","27,795,763.98","46,337,884.93","60,503,489.56","8,332,888.11","16,852,525.67","39,132,781.54","50,706,953.57","10,087,896.35","21,607,051.66","46,898,854.47","57,562,181.76","13,273,766.55","24,095,429.21","27,177,379.89","14,133,833.77","9,449,298.40","2,751,205.92","-7,693,165.31","-29,237,106.52","4,518,075.77","5,134,867.82","4,046,745.19","10,607,301.47","2,410,673.10","4,758,797.87","-8,381,717.20","-67,865,903.67","728,893.31","3,612,876.37","7,684,813.98","14,548,237.89","3,183,195.27","2,805,231.90","1,046,345.07"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"233,259.23",,,,,,,,,,,,,,,,"-4,503.27","-113,922.50","-178,992.00","-155,798.93",,,,,,,,,,,,,,,,,,,
