科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"293,809,173.93","368,853,491.58","320,192,527.52","233,468,700.16","410,119,376.43","510,811,052.15","141,117,608.59","364,143,425.05","396,775,619.45","783,169,920.22","159,989,189.92","438,582,965.31","655,329,405.98","737,818,463.07","202,308,339.97","476,081,053.33","751,533,758.15","682,423,023.76","224,546,137.37","411,463,687.51","647,965,528.35","973,802,687.25","223,317,106.54","610,482,131.47","831,161,118.70","1,337,273,505.86","576,780,344.30","1,074,179,979.24","1,662,998,083.00","2,098,555,873.31","597,936,278.34","1,176,034,492.30","1,912,142,036.41","2,534,535,166.71"
取得子公司及其他营业单位支付的现金净额,"25,000,000.00","5,000,000.00","28,514,550.08",,,,,,"30,000,000.00","16,391,058.34",,,,,,,,,,"-1,097,183.54","-1,097,183.54","8,208,849.05",,,,,,"8,365.00","8,365.00",,,,,
收到的税费返还,"25,642,744.04","36,191,858.33","26,949,949.98","10,969,844.57","27,210,861.09","40,703,637.76","16,094,278.75","30,942,115.43","46,297,850.74","61,872,739.88","18,075,449.29","42,767,991.30","70,635,825.21","90,255,716.96","22,029,706.87","40,584,883.74","68,067,658.39","88,614,928.45","24,398,887.37","51,605,370.52","81,955,748.12","98,013,905.82","26,992,488.46","51,053,572.79","62,757,524.17","68,133,848.52","9,579,495.66","15,274,191.18","30,253,384.32","47,290,802.51","13,953,903.13","38,663,982.26","67,750,239.76","83,815,478.87"
支付其他与投资活动有关的现金,,,,"4,110,000.00","10,110,000.00","136,066,000.00",,,,"75,202,000.00",,"4,680,000.00","4,680,000.00","13,694,898.60","13,506,000.00","10,401,000.00","10,596,000.00","2,849,177.94",,"6,000,000.00","10,647,714.67","491,838,697.13","6,486,219.41",,,"500,000,000.00",,,,"202,000,000.00","3,629,886.91",,,"250,000,000.00"
收到其他与经营活动有关的现金,"56,068,823.11","15,371,503.52","50,079,230.64","27,787,213.73","52,415,181.27","39,359,064.17","34,159,726.78","3,800,396.22","4,306,904.46","13,644,334.90","15,013,418.39","7,195,923.43","33,638,859.84","30,610,639.52","19,545,811.74","7,593,550.24","11,980,717.12","67,766,379.66","22,387,961.44","73,509,004.98","122,448,249.96","80,758,567.74","24,467,700.99","116,421,320.59","148,780,744.27","128,606,758.07","26,538,564.37","80,659,444.30","203,910,012.77","134,310,589.65","25,688,808.30","119,615,870.63","446,572,989.37","439,536,784.59"
投资活动现金流出小计,"85,742,440.40","37,866,514.70","76,971,573.75","22,007,884.03","51,619,591.41","267,077,975.73","106,237,060.09","59,053,176.54","216,395,066.59","366,601,177.09","83,114,091.44","167,276,886.93","232,813,063.36","418,690,344.65","30,570,030.79","45,283,016.82","69,479,495.56","308,739,347.05","9,961,093.42","85,495,721.15","288,691,894.69","916,543,304.07","31,416,443.35","85,657,052.52","127,083,588.88","733,326,305.73","9,002,622.47","498,626,479.55","524,148,957.94","807,450,163.26","23,756,558.80","45,937,546.62","82,033,022.30","527,069,043.60"
经营活动现金流入小计,"375,520,741.08","420,416,853.43","397,221,708.14","272,225,758.46","489,745,418.79","590,873,754.08","191,371,614.12","398,885,936.70","447,380,374.65","858,686,995.00","193,078,057.60","488,546,880.04","759,604,091.03","858,684,819.55","243,883,858.58","524,259,487.31","831,582,133.66","838,804,331.87","271,332,986.18","536,578,063.01","852,369,526.43","1,152,575,160.81","274,777,295.99","777,957,024.85","1,042,699,387.14","1,534,014,112.45","612,898,404.33","1,170,113,614.72","1,897,161,480.09","2,280,157,265.47","637,578,989.77","1,334,314,345.19","2,426,465,265.54","3,067,573,661.69"
投资活动产生的现金流量净额,"-78,719,705.93","-36,818,515.21","-75,433,740.47","-21,845,384.03","-51,298,437.54","-261,067,367.81","29,828,939.91","70,105,765.12","-93,570,060.37","-230,161,890.17","-33,922,091.44","-89,424,886.93","-154,961,063.36","-333,100,881.39","-25,784,430.79","-40,316,256.83","-64,325,735.57","-215,030,209.54","-9,961,093.42","-74,178,656.93","-247,741,222.57","-880,666,961.67","-31,222,268.59","-41,543,233.70","-78,841,304.06","-109,935,865.35","-9,002,622.47","-290,400,966.97","-315,615,302.86","-238,061,342.92","-3,566,558.80","180,650,320.50","175,533,278.21","21,946,169.66"
购买商品、接受劳务支付的现金,"312,899,331.17","293,262,875.21","279,907,081.50","188,828,035.26","307,341,796.37","386,368,552.07","161,597,834.27","440,195,413.80","462,505,288.72","755,496,016.57","151,142,306.05","328,350,024.65","538,886,096.90","534,314,733.92","287,019,972.16","392,945,112.95","584,302,321.63","517,919,613.67","252,579,414.25","237,539,623.21","352,574,610.16","466,622,600.68","251,557,477.82","494,377,555.55","647,650,511.93","1,118,691,807.22","450,603,666.43","898,121,740.99","1,455,906,674.18","1,591,074,616.59","483,907,405.04","952,034,696.60","1,662,703,219.82","2,400,330,477.25"
吸收投资收到的现金,,,"46,200,000.00",,,"612,100,000.00",,,,,,,,40.76,,,,,,,,"612,286,475.65",,,,,,,,,,"2,664,499,984.49","2,664,499,984.49","2,681,292,851.77"
