科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付其他与投资活动有关的现金,,"2,634,340.00",,"7,536,281,320.93","1,744,380,362.77","974,425,759.33","2,505,219,593.40","4,774,587,669.92",,,"302,917,644.40","771,855,952.21","961,978,074.62","2,540,535,418.13","5,891,401,173.70","8,144,100,030.16",,,"3,130,758,354.53","10,432,407,533.85","8,000,000.00","14,761,955,558.75","32,391,821,377.00","58,054,850,195.66","19,116,667.00","29,560,842.99","1,525,435,053.14","175,306,865.68",,,,"45,840,843.34","10,316,888,142.66"
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"889,560,021.03","1,509,953,812.26","1,724,576,224.35","8,341,996,240.97","1,938,215,977.57","1,335,542,589.28","2,995,688,213.93","5,467,588,787.13","218,222,026.65","359,828,799.28","841,788,448.22","1,386,098,085.78","1,052,872,419.71","2,870,211,351.43","6,290,185,458.04","8,916,055,626.96","165,325,989.53","684,610,507.43","4,204,006,990.28","11,687,899,342.30","1,632,098,545.98","16,746,685,047.17","35,428,610,416.50","60,365,153,733.14","823,553,387.78","2,294,289,725.73","4,169,017,183.15","3,193,883,123.60","305,740,122.27","1,633,655,289.80","2,172,323,084.44","2,830,779,603.46","10,794,197,766.73"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-648,971,605.70","-1,101,733,301.63","-1,195,896,986.71","-7,609,557,059.10","-1,747,453,995.17","-1,011,702,970.79","-2,499,654,250.46","-4,954,159,608.56","27,117,316.18","455,513,580.05","-165,792,833.62","-568,361,782.28","-929,541,523.38","-2,487,228,385.99","-5,837,580,955.02","-8,022,541,122.34","2,117,332,682.19","3,199,312,520.12","-1,818,734,992.49","-8,723,379,135.05","781,185,987.93","-14,453,087,788.24","-32,162,697,966.51","-57,620,351,427.07","9,623,504,391.58","6,774,104,399.52","-1,564,033,536.34","4,093,345,144.46","1,247,203,719.02","7,383,489,392.86","2,936,504,729.21","5,009,854,583.93","-10,072,570,003.25"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,"12,655,705.59","12,655,705.59","12,655,705.59","13,228,608.31",,"10,037,302.21","12,000,079,402.34","12,007,652,642.87","334,329,785.71","426,153,604.86","464,475,073.20","3,771,025.58","48,417.00","5,629,328.77","17,548,548.05","126,068,799.15",,"4,000,000.00",,"49,025,000.00","43,787,794.47","24,874,065,088.05","24,945,458,960.74","25,555,548,216.86","106,312,205.60","245,881,168.75","320,643,918.72","339,879,127.09",,,"455,900,000.00","455,900,000.00",
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
