科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"602,285,978.54","670,070,903.82","838,241,594.59","388,364,844.43","612,128,254.47","897,116,077.92","181,649,653.36","424,215,876.30","703,801,687.17","1,021,894,171.85","249,499,381.15","551,609,456.26","927,735,096.79","1,290,552,950.05","302,216,528.44","639,749,937.84","1,087,367,439.63","1,687,437,125.87","348,360,789.66","786,697,067.44","1,417,848,619.61","2,217,115,498.38","483,780,922.49","1,184,654,181.85","2,047,422,251.15","3,187,357,907.81","888,060,514.71"
二、营业利润,"81,529,448.66","80,027,084.47","104,575,396.78","40,363,202.55","72,433,254.31","113,536,604.24","20,629,597.92","52,935,442.08","96,560,507.53","147,105,692.18","26,275,590.73","59,949,065.89","102,532,649.92","107,422,249.23","27,520,981.76","67,890,654.22","139,340,178.83","233,759,254.22","30,532,888.14","72,345,029.46","177,487,283.26","253,713,654.61","44,802,157.66","95,503,716.66","212,117,560.19","319,074,771.67","64,853,147.52"
减:营业成本,"336,752,010.05","409,122,002.01","543,716,134.50","254,721,097.83","400,780,484.31","575,938,893.08","117,635,564.35","275,318,177.91","456,626,460.25","643,504,827.48","160,304,495.75","345,172,201.26","585,416,084.13","806,204,977.57","189,696,116.50","400,558,549.11","676,084,805.64","1,019,023,680.13","222,434,493.56","497,986,819.15","891,275,341.17","1,397,290,474.90","311,450,567.71","800,966,419.51","1,366,480,038.80","2,081,375,033.18","608,476,203.04"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,823,993.24","5,729,774.06","6,195,018.08","3,280,409.39","4,483,111.82","7,577,958.49","1,469,267.65","3,487,507.45","5,465,763.03","7,558,192.30","1,308,155.69","2,893,291.70","3,774,870.91","5,682,620.77","2,387,432.91","7,125,883.83","10,444,632.48","17,428,563.94","3,201,431.09","6,419,608.88","10,321,138.02","19,826,341.82","3,582,509.40","11,628,930.86","18,618,438.89","32,402,320.64","5,135,099.38"
营业外收入,"3,204,737.47","10,237,301.21","4,702,817.02","544,073.28","3,441,465.18","7,347,134.87","850,136.02","1,417,128.94","1,916,115.70","3,379,914.24","914,598.60","1,560,342.12","1,868,997.75","5,526,744.19","1,234,512.64","1,339,162.63","2,169,895.45","11,766,224.39","2,799,342.45","3,314,610.01","5,242,016.49","17,755,151.40","9,431,846.55","17,392,477.09","19,087,785.76","2,458,751.73","854,208.99"
销售费用,"95,180,770.10","106,994,351.13","101,023,831.23","50,673,007.91","75,215,648.97","114,538,221.91","22,834,935.38","60,226,604.03","93,005,265.00","142,537,208.19","40,837,013.49","94,680,480.11","151,730,256.29","235,911,731.20","53,585,699.84","103,018,240.63","154,172,319.50","245,384,608.97","53,045,943.76","112,998,678.13","182,148,713.55","318,700,525.32","76,869,764.74","159,560,546.42","250,021,275.90","463,020,709.25","142,155,657.44"
减:营业外支出,"3,906,539.04","1,491,319.14","2,418,461.82","458,230.50","1,106,814.17","1,097,779.36","204,517.56","4,094,175.56","4,724,413.76","5,161,592.34","260,950.50","1,497,095.38","2,136,103.89","3,336,532.54","1,333,806.77","2,335,805.24","3,916,855.16","3,964,965.09","550,669.60","986,005.63","1,863,067.02","3,099,705.85","503,632.97","897,358.11","1,196,481.98","1,523,366.18","174,411.85"
管理费用,"52,703,235.66","57,800,178.50","69,004,915.13","31,267,815.94","49,528,797.95","68,419,010.44","18,590,575.20","37,368,151.50","56,598,516.71","86,324,843.81","21,446,660.85","48,406,241.39","76,111,304.22","117,582,435.36","29,533,213.11","58,088,860.77","93,571,236.24","134,795,280.13","34,493,982.12","73,109,884.55","113,894,733.35","160,925,739.25","42,402,465.72","93,680,008.80","150,980,307.34","226,194,378.34","59,325,950.99"
其中:非流动资产处置净损失,,"503,420.04","1,707,086.04",,,"188,374.41",,,,"48,321.58",,"579,541.96","806,986.05","618,172.34","542,084.52","542,084.52","686,462.16","925,017.31","57,340.86","69,820.28","99,028.83","718,322.55","270,907.44","270,907.44","270,907.44",,
