科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"20,931,841.99","35,193,860.09","45,059,123.64","18,449,017.95","7,150,829.07","619,468,708.18","674,349,900.06","638,009,681.20","641,146,300.97","656,933,864.25","594,821,242.76","687,952,991.07","682,528,364.35","592,190,563.56","588,790,911.66","609,319,360.91","550,687,928.25","409,013,562.37","515,295,824.04","1,214,319,249.71","655,669,544.35","625,042,199.64","1,059,120,356.58","645,242,951.43","653,437,953.36","976,218,368.67","1,086,118,994.70","924,969,388.80","1,960,470,669.24","1,075,966,224.66"
短期借款,"500,000.00",,"37,087,120.00","44,006,880.00","51,482,111.00",,,,,,"61,738,685.73","95,878,263.57","60,020,294.81","81,709,006.23","112,159,990.00","56,211,191.21","58,099,083.94","621,599,969.14","670,806,906.22","610,728,124.61","401,364,863.21","308,212,930.33","317,511,391.79","211,298,984.38","217,840,389.18","209,909,692.35","150,845,624.64","86,518,720.00","91,775,283.00","60,960,260.00"
交易性金融资产,,,,,,,,,,,,,,,,"1,402,780.00",,"911,300.00","911,300.00","911,300.00","911,300.00","398,500.00","456,548.00","226,852.00",,,,"1,692,800.00","431,200.00",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"50,000.00","50,000.00",,,,"8,180.67",,"10,452.96","56,837.98","61,304.25","90,039.20","82,471.27","69,163.49","2,147,175.22","2,610,226.76","4,003,732.80","2,257,672.85","3,049,873.28","2,309,292.36","3,911,253.79","4,545,997.53","1,097,366.02","41,809,771.74","34,293,904.53"
应付票据,,,,,,,,,,,"185,662.71","122,875.13","102,827.33","56,287.54","361,552.18","253,455.47","325,918.99","5,223,912.94","5,124,784.70","5,237,725.86","6,842,250.26","3,274,968.33","8,919,661.69","6,642,443.70","10,035,598.30","12,851,545.86","9,263,484.57","6,111,533.21","28,017,738.36","14,093,581.84"
应收账款,"73,184,950.55","87,650,422.66","109,433,731.53","151,535,725.87","185,839,466.57","184,842,932.29","132,228,727.84","193,553,658.69","225,983,953.59","249,319,119.26","228,393,891.40","153,283,065.29","173,955,012.54","235,851,303.54","222,298,054.88","186,461,536.03","221,035,475.95","418,625,077.96","348,215,751.78","353,878,987.83","586,512,895.55","559,111,310.27","373,885,611.87","410,602,116.55","571,654,928.43","530,824,161.87","486,394,544.88","478,266,267.55","991,021,467.96","1,191,940,676.53"
应付账款,"25,114,518.19","32,128,768.22","56,020,316.82","93,044,982.45","91,157,853.81","69,861,945.07","47,429,779.93","56,050,368.37","103,317,463.67","99,741,569.22","64,728,622.44","39,353,527.89","89,251,017.29","98,354,241.09","61,122,601.58","70,670,806.58","117,901,942.72","253,243,437.89","189,159,634.75","198,383,364.02","376,444,491.42","280,114,826.59","172,508,756.07","168,051,725.32","263,874,258.57","262,695,863.99","220,507,131.99","270,665,470.66","912,598,159.67","876,371,241.31"
预付款项,"2,552,123.61","2,073,988.05","6,395,690.70","6,982,485.34","2,194,588.80","4,002,207.40","4,022,663.40","889,859.08","1,202,450.53","9,785,631.16","33,783,166.93","31,501,671.50","2,998,569.09","16,644,624.03","23,178,562.18","32,279,653.83","18,840,695.13","5,514,778.60","20,916,505.70","21,397,623.84","12,716,590.17","4,799,119.93","9,216,616.31","17,570,592.04","18,950,988.80","7,239,705.32","24,294,563.34","28,988,994.37","43,911,981.63","18,402,898.94"
预收款项,"476,149.97","57,288.12","50,278.56","49,133.44",397.70,"47,976.22","63,092.53","15,252.81","15,252.81","78,177.43","653,446.66","83,526.83","83,526.83","358,046.10","81,020.59","13,331.05",,"5,117.93",,"589,679.23","1,375,619.92","4,112.85","39,193.64",,227.05,"4,347.76",,"49,080.53","4,725,021.08","7,398,207.64"
其他应收款,"5,989,042.01","489,835.02","402,844.86","610,540.95","316,584.97","285,849.10","326,936.29","419,349.42","452,886.84","471,270.19","607,089.02","1,513,532.17","1,961,255.18","1,579,120.42","1,728,393.04","1,584,785.95","1,672,016.67","37,634,009.07","35,813,742.02","37,087,235.44","33,583,439.32","10,789,821.43","15,477,175.70","12,105,597.65","8,044,996.62","5,075,284.68","6,212,990.06","6,851,406.94","11,691,885.08","13,402,680.19"
应付职工薪酬,"1,075,407.00","1,851,238.20","2,931,509.46","3,840,640.60","4,048,512.92","4,590,684.36","4,351,503.36","4,839,430.36","7,009,336.50","9,453,949.19","6,914,569.84","7,058,922.66","7,449,867.34","12,343,000.65","8,637,683.17","7,250,053.33","8,177,813.38","34,623,528.92","22,327,008.84","24,626,701.31","44,362,280.93","42,323,611.90","25,848,934.50","31,967,509.89","51,092,346.66","60,483,650.00","44,405,175.31","39,940,858.68","73,763,511.32","76,879,104.51"
