科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"92,694,555.75","96,326,659.58","62,583,991.50","50,018,868.22","98,078,736.91","441,744,628.50","396,512,395.97","369,236,272.97","398,307,105.51","373,739,879.55","323,942,354.16","277,504,108.84","410,237,177.96","293,740,966.90","216,648,867.08","136,758,164.86","320,510,397.00","362,646,530.43","340,854,246.61","298,142,120.20","404,099,544.27","355,456,111.43","283,948,097.84","240,079,384.99","480,552,660.10","290,295,969.42","274,213,852.10","282,105,641.97","483,375,830.31","394,816,876.80","277,991,163.67","236,603,613.62","534,802,470.40","339,498,309.91","318,801,250.10","564,428,037.25","789,405,108.57","599,921,980.69","555,248,329.08","627,902,391.87","729,593,195.81","612,193,104.26"
短期借款,"65,000,000.00","70,000,000.00","76,313,723.00","81,313,723.00","61,313,723.00","1,000,000.00","1,000,000.00",,"50,000,000.00","90,000,000.00","110,000,000.00","110,000,000.00","60,000,000.00","70,000,000.00","50,000,000.00","40,000,000.00","40,000,000.00",,"40,000,000.00","40,000,000.00",,,"40,000,000.00","80,000,000.00","100,000,000.00","140,000,000.00","240,000,000.00","360,000,000.00","330,000,000.00","360,000,000.00","350,000,000.00","439,990,000.00","435,890,000.00","485,890,000.00","550,890,000.00","380,900,000.00","250,000,000.00","198,250,000.00","159,594,000.00","208,235,743.11","204,594,000.00","154,594,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"12,079,900.00","8,052,977.09","8,052,200.00","4,820,027.70","11,689,200.00","11,591,100.00","7,315,070.15","8,340,961.49","9,934,322.07","4,165,800.00","9,554,634.65","9,677,693.50","34,925,526.88","21,940,000.00","9,855,178.37","5,856,823.23","30,568,809.50","18,419,165.00","12,993,074.91","24,510,104.04","22,844,499.99","5,129,832.00","12,280,075.10","5,357,348.39","25,746,110.95","7,737,364.90","14,855,666.74","12,896,214.90","23,473,943.80","12,644,583.38","15,455,640.91","19,082,817.11","32,809,723.98","18,851,617.54","24,020,150.96","12,151,842.61","44,393,287.09","20,252,331.61","22,369,919.06","28,161,737.62","18,074,072.42","43,399,134.78"
应付票据,,"10,010,524.59","30,000,000.00","35,104,676.05","40,777,751.49","12,046,772.40","7,650,465.50","25,977,124.98","14,832,610.10","10,432,534.00","5,496,768.00","9,667,961.00","43,134,514.09","9,498,419.09","15,618,520.39","22,526,998.05","74,139,165.78","15,426,001.51","23,636,977.31","4,740,530.53","12,889,312.45","46,986,667.24","21,237,215.43","17,397,849.00","69,088,161.91","6,146,300.00","3,241,353.51","25,303,352.65","11,016,675.76","8,336,952.52","29,876,043.48","35,504,069.79","59,218,031.96","12,520,846.11","87,144,030.30","95,670,546.47","110,458,688.61","77,828,410.77","152,824,779.21",,"178,542,633.98",
应收账款,"126,604,657.69","147,850,988.25","162,371,848.56","161,428,253.32","144,216,121.40","158,236,155.42","202,203,152.65","233,664,820.76","244,700,918.40","227,597,430.25","266,949,257.71","282,452,407.19","292,263,506.35","315,706,696.71","350,813,102.82","500,495,452.64","508,673,363.55","509,076,481.67","500,507,234.65","576,824,474.56","568,118,530.89","533,553,706.59","537,106,150.73","652,763,494.65","683,586,399.94","667,042,396.54","759,673,035.65","912,480,022.75","936,876,553.63","954,684,567.34","1,080,433,972.76","1,243,249,069.15","1,181,257,645.76","1,038,778,592.01","1,188,498,986.84","1,283,248,787.55","1,364,138,864.15","1,200,687,943.97","1,309,765,304.68","1,323,136,913.00","1,439,925,379.56","1,120,683,785.16"
应付账款,"58,433,970.27","69,366,101.97","49,260,542.68","64,846,478.81","44,023,965.09","49,910,894.56","46,976,780.16","61,484,749.24","43,577,059.25","50,361,727.17","63,935,195.76","91,263,955.13","65,833,023.06","84,107,239.39","75,353,703.78","123,622,429.69","177,906,916.94","152,682,165.96","147,676,361.43","163,087,559.95","214,406,445.79","193,332,780.35","219,272,593.97","262,017,339.88","299,270,574.93","211,367,050.17","223,960,035.07","290,317,703.74","261,510,756.72","273,852,175.88","417,143,500.04","263,032,625.34","356,873,377.32","334,755,987.25","348,386,869.20","387,151,188.74","489,981,532.64","486,945,355.57","515,947,922.15",,"552,799,544.13",
预付款项,"7,405,380.03","3,925,300.49","5,086,495.96","6,734,145.78","10,345,210.24","14,442,637.20","17,548,405.40","20,472,833.27","95,978,922.28","112,368,327.15","40,246,525.20","46,833,852.73","42,172,737.47","31,594,313.93","34,107,438.23","55,258,827.98","27,293,751.86","21,943,610.15","50,205,698.37","58,533,537.65","30,255,847.61","34,213,396.27","44,641,812.29","38,808,337.19","30,151,460.43","39,105,990.61","50,653,202.07","78,239,833.38","44,105,642.04","58,682,087.23","65,304,837.05","113,484,177.38","45,177,888.00","46,513,984.74","54,497,626.63","61,889,069.41","51,332,796.41","46,586,864.84","44,646,676.19","58,383,794.49","56,010,568.48","40,204,397.58"
预收款项,"10,404,816.81","4,673,079.47","6,151,514.20","8,141,835.20","5,750,948.20","7,744,886.20","7,002,691.20","9,787,865.50","6,049,575.05","9,067,395.15","16,475,245.40","16,593,618.23","17,851,680.57","16,994,060.70","13,278,044.13","17,598,373.96","13,054,811.93","18,118,108.39","19,449,660.99","20,031,610.02","13,429,477.32","15,384,794.17","14,076,927.70","19,579,841.72","13,400,698.51","14,166,502.24","23,127,360.59","25,102,311.46","20,155,024.65","23,608,829.48","17,709,512.47","25,901,453.34","12,514,384.22","12,967,213.64","18,478,492.51","31,627,459.03","36,643,412.25","38,456,117.41","22,155,012.50","26,565,634.77","32,674,089.93","21,347,950.74"
其他应收款,"7,811,598.49","14,624,361.55","16,625,540.30","18,176,242.87","15,051,515.89","19,518,607.46","18,050,677.90","22,058,622.35","16,228,990.18","20,492,767.85","27,246,966.41","22,142,379.88","16,773,591.80","24,547,036.21","33,141,188.44","35,650,658.13","20,574,513.37","28,908,171.59","28,554,655.22","29,879,158.82","24,783,179.14","34,715,468.70","42,744,414.91","43,680,438.17","31,126,791.21","45,544,146.62","66,967,161.07","67,762,724.95","58,484,029.72","70,236,259.35","101,838,100.83","110,163,890.14","79,488,259.04","94,074,268.00","99,918,840.09","95,588,080.24","74,552,952.86","78,155,222.67","96,885,054.07","113,636,647.15","69,843,169.27","83,693,313.70"
应付职工薪酬,"8,125,101.59","5,243,854.46","2,663,487.56","4,774,540.71","6,458,465.08","960,828.76","2,972,464.15","4,501,521.48","10,898,797.55","1,206,982.61","3,229,114.60","4,007,168.94","16,785,855.78","1,303,880.93","4,130,805.05","19,013,884.11","19,139,498.56","4,763,678.90","12,363,608.74","19,884,347.88","25,966,332.09","2,328,886.22","594,203.10","8,174,589.01","15,706,764.76","1,615,372.24","3,873,939.68","17,392,284.54","22,974,874.84","4,536,436.72","15,845,246.11","27,911,790.30","29,736,485.16","14,394,914.14","17,963,672.45","23,018,307.45","29,253,079.53","11,449,316.17","17,447,992.81","24,832,157.42","33,099,208.02","25,007,111.13"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"10,300,310.40","11,592,586.54","6,064,812.31","757,581.25","9,075,736.18","-2,394,539.26","4,232,299.64","1,656,519.78","13,450,150.46","-2,749,294.37","4,463,299.15","460,083.86","17,208,446.25","-1,898,698.47","3,469,241.86","19,207,950.05","21,760,763.10","7,951,376.90","412,830.38","14,573,193.09","16,497,303.45","2,984,854.57","4,782,971.29","7,211,729.70","13,593,281.71","7,687,932.76","25,814,424.96","20,102,964.03","60,452,445.74","10,698,346.90","24,302,767.90","34,707,954.46","18,689,781.48","7,813,164.59","5,532,901.37","17,820,915.71","34,503,744.01","6,035,704.87","5,501,058.30","17,223,446.27","48,268,072.38","7,326,175.50"
应收利息,,,,,,,"2,161,513.67","2,947,485.10","3,461,620.64","985,757.63","1,748,101.90","1,624,325.92","215,220.58","129,166.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,"301,663.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,031,250.00","907,500.00","928,125.00",,"687,500.00","570,416.51"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175,290.76","175,290.76","175,290.76",,"2,132,435.14","2,132,435.14"
应付股利,,,"288,000.00",,,,,,,,,,,,"702,000.00","702,000.00","702,000.00","702,000.00","2,025,250.00","1,502,750.00","1,122,750.00","1,122,750.00","2,943,520.00","2,354,520.00","2,108,274.30","2,108,274.30","4,648,222.80","3,842,107.80","3,460,755.00","3,460,755.00","4,983,603.00","3,850,859.70","3,381,605.70","2,726,303.70","3,342,773.70","3,313,373.70","3,238,373.70","3,238,373.70","4,284,613.70",,"3,337,033.70","1,770,500.00"
存货,"59,283,985.40","81,629,269.14","96,768,538.67","138,782,175.57","100,959,841.00","130,375,488.66","136,005,893.11","162,986,906.91","114,792,288.98","152,700,652.65","179,168,705.63","228,548,967.26","147,899,259.69","208,110,412.86","214,477,713.07","216,917,864.30","203,364,808.96","230,060,248.20","257,646,296.99","228,812,414.60","201,167,291.60","231,072,226.75","293,791,513.19","361,383,550.43","283,262,365.80","315,917,862.56","311,311,157.21","392,183,353.64","239,634,546.59","297,700,860.86","321,214,165.60","334,934,883.41","326,383,396.66","443,464,879.68","477,948,838.03","537,204,253.14","390,212,365.77","544,399,283.54","541,579,522.86","582,620,882.21","417,018,042.26","453,068,616.54"
其他应付款,"3,192,883.21","1,124,087.06","1,168,305.24","1,113,957.44","3,691,644.66","4,693,467.18","4,034,378.74","1,636,089.70","1,805,164.81","1,635,648.09","2,377,978.79","2,018,926.00","2,565,477.47","2,658,059.48","2,570,054.74","3,053,137.16","4,927,704.04","4,071,118.13","4,618,917.31","4,191,146.55","6,831,041.61","3,601,320.80","4,504,836.72","4,895,232.61","9,803,467.74","6,629,416.49","6,302,938.56","8,499,142.66","9,748,056.05","6,844,945.61","7,471,178.38","8,443,757.94","23,669,720.44","20,211,462.75","19,389,647.07","28,094,079.60","14,405,362.27","7,015,154.38","12,356,893.35","25,882,514.64","24,155,270.32","16,698,579.86"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"2,000,000.00","2,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,222,444.38","44,443,444.42","63,012,222.14","121,234,444.36","122,173,634.54","172,313,411.17","198,098,741.11","330,439,522.61","364,969,570.43","298,773,312.92"
其他流动资产,,,,,,"6,666.67",,,,,,,,,,,,,,,,,"4,937,682.74","6,227,674.03","655,383.85","2,428,461.74","3,204,049.98","5,004,630.67","2,212,058.12","217,728.16","951,335.83","1,109,659.71","4,300,023.99","19,617,144.04","1,641,477.15","1,644,900.84","1,512,768.92","15,387,747.85","9,781,881.51","3,848,865.33","83,150,547.23","5,112,114.94"
其他流动负债,,,,,"1,342,169.38","232,138.38","57,719.38","257,719.38",,"200,000.00","200,000.00","500,000.00","55,936,986.00","55,852,240.93","55,852,240.93","55,852,240.93","55,852,240.93","56,352,240.93","56,102,240.93","56,102,240.93","55,852,240.93","55,872,240.93","1,182,918.12","1,182,918.12",,,,,,,,,,,,,,,,,,
