科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"325,059,108.57","180,988,790.41","229,867,223.35","340,483,905.62","92,905,448.71","216,856,404.62","340,766,235.52","436,902,627.20","77,830,722.38","162,181,169.57","254,008,671.55","316,983,411.51","60,692,753.83","135,632,628.04","212,537,456.60","292,154,862.59","76,967,345.66","153,594,951.79","230,093,696.11","319,193,571.20","84,897,031.65","175,188,245.97","266,551,177.64","348,899,678.54","76,676,508.36","167,746,197.28","243,200,186.93","314,184,993.98","69,120,209.97","124,986,948.70","185,024,736.16","479,955,254.73","177,281,936.16","379,817,926.60","515,627,130.62","726,163,301.77","123,686,853.71","255,070,187.42","429,190,294.10"
取得子公司及其他营业单位支付的现金净额,"15,320,571.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"244,457.90","3,433,952.89",,"719,600.93","2,088,823.28","3,779,277.59","107,717.90","1,242,226.41","1,682,632.43","2,918,571.36","844,527.64","1,630,314.92","4,596,915.07","6,050,506.32","2,659,051.23","3,638,081.90","4,968,197.96","5,465,462.55","883,264.29","1,073,427.16","1,713,833.99","1,713,833.99","348,221.40","469,803.72","1,189,774.97","2,346,979.95","534,378.84","978,440.06","1,253,058.79","8,939,934.72","4,418,415.69","5,686,927.23","8,334,112.14","11,695,795.66","1,843,544.24","5,245,644.45","9,253,618.86"
支付其他与投资活动有关的现金,,,,,,,,,,,,"13,724,930.25",,,,,,,,,,,,,,,,,,,,,"8,000,000.00",,"8,000,000.00","8,000,000.00","30,321.03","26,489.35",
收到其他与经营活动有关的现金,"1,377,289.02","1,055,121.85","1,221,057.38","2,022,296.80","8,590,513.10","9,881,396.13","13,372,929.87","15,667,473.38","2,211,782.72","5,110,112.35","6,293,187.96","9,308,822.00","812,327.18","2,492,226.57","3,975,604.62","4,353,192.90","470,602.47","1,547,471.03","5,275,169.76","8,431,739.76","918,385.31","1,534,770.50","2,539,098.79","10,568,409.31","1,781,985.74","3,354,643.36","4,981,084.43","9,960,386.62","3,587,470.80","10,091,304.21","8,811,320.87","7,417,856.67","5,827,152.40","19,061,930.17","14,862,201.99","21,565,170.04","3,877,074.94","11,782,559.41","17,570,158.12"
投资活动现金流出小计,"111,280,359.17","25,784,594.23","35,842,346.84","56,141,582.28","39,676,934.22","64,775,570.64","85,962,518.36","102,186,782.79","7,262,631.71","17,394,807.68","27,236,945.21","66,989,151.20","53,901,141.26","75,337,741.52","78,423,048.89","87,665,855.28","5,332,188.70","5,900,352.41","9,091,651.40","9,781,898.56","2,578,376.76","3,343,366.95","4,579,729.92","6,358,112.49","996,873.00","861,825.74","1,240,827.78","182,380,359.41","56,844,722.66","178,082,324.61","288,666,479.61","5,874,859.68","219,148,140.04","215,854,408.19","254,508,728.94","367,992,776.00","5,415,096.66","24,702,176.38","32,228,132.73"
经营活动现金流入小计,"326,436,397.59","182,043,912.26","231,332,738.63","345,940,155.31","101,495,961.81","227,457,401.68","356,227,988.67","456,349,378.17","80,150,223.00","168,533,508.33","261,984,491.94","329,210,804.87","62,349,608.65","139,755,169.53","221,109,976.29","302,558,561.81","80,096,999.36","158,780,504.72","240,337,063.83","333,090,773.51","86,698,681.25","177,796,443.63","270,804,110.42","361,181,921.84","78,806,715.50","171,570,644.36","249,371,046.33","326,492,360.55","73,242,059.61","136,056,692.97","195,089,115.82","496,313,046.12","187,527,504.25","404,566,784.00","538,823,444.75","759,424,267.47","129,407,472.89","272,098,391.28","456,014,071.08"
投资活动产生的现金流量净额,"-59,305,604.17","-25,664,402.23","-35,722,154.84","-56,091,390.28","-39,676,934.22","-64,775,570.64","-85,872,368.36","-92,991,367.79","-7,262,631.71","-17,394,807.68","-27,120,132.01","-66,860,788.00","-53,899,471.26","-75,334,871.52","-78,420,178.89","-80,505,880.03","-5,332,188.70","-5,900,352.41","-9,091,651.40","-8,672,423.56","2,382,238.99","2,400,983.05","1,164,620.08","-597,262.49","-996,873.00","-726,505.74","-1,105,507.78","-52,671,209.97","-566,985.18","4,751,936.49","544,987.28","102,460,160.10","-165,821,837.46","9,247,125.62","-3,612,145.81","-6,411,144.87","24,828,417.98","5,486,974.18","-2,038,982.17"
购买商品、接受劳务支付的现金,"176,464,282.05","114,313,466.29","123,774,595.88","200,928,411.77","44,168,817.92","128,043,131.25","227,710,102.15","278,537,823.22","72,610,150.41","148,068,503.59","198,701,117.01","183,204,140.89","40,888,356.02","88,336,853.32","129,790,027.83","169,944,435.20","58,298,525.97","97,357,995.27","134,010,588.28","172,924,898.77","49,006,437.81","106,141,786.71","154,677,479.76","199,155,293.84","55,044,128.04","99,846,443.46","145,930,031.79","194,729,786.33","31,711,355.95","65,465,654.53","100,676,972.74","120,663,044.48","71,013,374.84","140,424,525.98","194,495,632.23","502,699,222.53","107,791,239.07","450,860,395.97","557,349,069.45"
吸收投资收到的现金,"373,680.00",,"305,550,000.00","305,550,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"339,816,406.31",,"6,758,083.44","6,556,561.10","6,558,155.84",,,
