科目,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动现金流入小计,"41,000.00","10,000,000.00","10,643,800.00","16,000,000.00","5,000,000.00","24,138,635.00","75,000,000.00","115,700,784.13","120,282,024.99","132,387,841.99","162,387,841.99","158,000,000.00","238,500,000.00","265,586,600.00","232,675,309.00","307,462,920.73","376,712,920.73","405,526,733.01","132,250,000.00","224,698,827.00","361,097,606.19","568,722,656.94","132,000,000.00","299,873,000.00","853,229,997.44","1,383,716,658.79","77,565,043.89","685,054,090.89","964,338,574.89","1,312,443,436.70","298,241,160.00","902,202,143.26","1,156,434,950.61","1,392,876,280.90","234,035,116.95"
经营活动现金流出小计,"29,982,075.85","58,815,658.49","44,969,247.55","124,994,547.63","75,114,387.82","164,565,870.68","117,739,086.96","196,521,651.33","98,022,050.44","151,697,216.69","217,573,148.30","168,581,022.60","243,614,063.98","308,441,339.95","108,346,672.98","205,905,892.52","313,896,961.23","386,681,245.29","154,987,524.55","212,402,961.51","294,669,669.48","460,706,363.12","161,580,173.02","294,688,385.12","465,215,348.09","773,132,615.69","400,400,339.94","623,518,416.48","1,088,428,590.36","1,632,686,631.16","496,144,020.18","826,311,405.16","1,325,901,829.52","1,727,549,989.99","437,438,182.88"
偿还债务支付的现金,,"8,000,000.00","5,000,000.00","10,000,000.00","11,000,000.00","16,000,000.00","28,500,000.00","37,500,000.00","91,000,000.00","99,000,000.00","109,000,000.00","132,000,000.00","152,000,000.00","214,500,000.00","75,000,000.00","138,000,000.00","176,000,000.00","203,000,000.00","126,287,611.73","171,287,611.73","260,037,611.73","309,292,399.87","100,200,000.00","206,898,827.00","339,474,115.90","403,013,827.00","203,400,000.00","410,690,000.00","477,890,000.00","594,606,000.00","105,518,350.67","526,814,082.10","647,528,558.27","892,818,356.60","324,793,926.03"
经营活动产生的现金流量净额,"-2,803,615.48","-4,039,304.76","1,525,868.95","-3,715,100.92","7,525,348.61","16,303,489.97","-39,110,848.42","21,095,317.59","-57,805,074.52","-17,447,974.00","14,691,971.99","-75,117,304.54","-115,351,528.48","-20,717,880.90","-67,173,367.55","-105,978,558.72","-129,397,612.39","-34,549,074.07","-44,770,530.82","-46,417,057.93","-24,346,653.74","-1,597,835.41","-18,840,524.19","-61,344,359.76","-94,890,993.40","-71,484,322.04","-126,213,374.97","-188,369,010.44","-381,626,301.99","-430,024,950.20","-144,465,342.01","-238,524,260.11","-349,967,548.33","-225,953,245.64","-4,846,524.81"
分配股利、利润或偿还利息支付的现金,"290,970.00","615,812.11","274,853.57","707,482.54","493,310.08","1,208,301.92","1,028,616.94","4,454,783.68","4,302,101.83","6,763,021.60","9,353,203.59","5,030,311.36","8,132,750.36","12,082,195.42","3,279,715.78","18,775,227.60","22,393,973.05","26,470,675.82","3,714,804.48","7,707,441.00","12,312,733.54","31,953,132.73","6,137,611.80","29,055,089.96","36,697,648.37","42,265,453.48","6,924,248.77","30,977,593.73","40,633,801.08","59,123,885.41","13,989,420.09","74,246,329.88","115,000,379.48","150,554,415.48","13,751,268.15"
收回投资收到的现金,,,"32,000.00",,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00",,,,,,,,"60,000,000.00",
支付其他与筹资活动有关的现金,,,,,,"1,631,419.88","787,600.00","1,809,850.00","290,025.00","290,025.00","476,691.89","304,875.00","304,875.00","3,604,875.00","3,916,799.99","4,229,099.99","4,229,099.99","4,229,099.99","8,985.39","801,560.90","804,905.92","6,437,143.42",,"1,503,931.00","24,761,161.18","31,144,712.88","756,000.00","2,793,390.22","8,193,390.22","24,979,624.93","3,466,788.84","16,934,658.77","17,988,662.69","45,647,768.45","4,275,059.48"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"3,215,854.38","3,238,998.31",,,,,,,,203.87,
筹资活动现金流出小计,"290,970.00","8,615,812.11","5,274,853.57","10,707,482.54","11,493,310.08","18,839,721.80","30,316,216.94","43,764,633.68","95,592,126.83","106,053,046.60","118,829,895.48","137,335,186.36","160,437,625.36","230,187,070.42","82,196,515.77","161,004,327.59","202,623,073.04","233,699,775.81","130,011,401.60","179,796,613.63","273,155,251.19","347,682,676.02","106,337,611.80","237,457,847.96","400,932,925.45","476,423,993.36","211,080,248.77","444,460,983.95","526,717,191.30","678,709,510.34","122,974,559.60","617,995,070.75","780,517,600.44","1,089,020,540.53","342,820,253.66"
处置固定资产、无形资产和其他长期资产收回的现金净额,"361,204.18",,,"167,000.00",,"35,200.00","36,000.00","52,030.00","45,241.37","43,849.23","44,449.23","20,000.00","268,800.00","295,295.73","2,539.36","31,339.36","39,615.36","47,815.36","7,000.00","116,277.33","53,200.00","186,887.30",,"48,970.87","190,070.87","203,070.87","32,674.76","326,530.02","382,805.26","1,535,532.11","14,715.00","28,715.00","47,815.00","105,802.98","305,560.00"
