科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"123,448,584.78","204,230,013.90","175,709,904.87","43,765,485.94","83,591,822.64","114,091,974.20","165,890,266.25","45,146,676.30","92,411,548.92","138,762,597.48","165,665,252.11","33,037,642.90","78,276,202.28","117,623,177.07","158,228,782.35","42,441,962.54","70,687,320.71","124,610,328.61","165,675,763.81","30,952,583.44","65,471,935.23","131,514,485.75","193,123,008.27","50,286,611.71","91,094,604.15","161,717,306.24","184,086,523.38","22,861,912.54","48,610,110.99","96,164,922.92","177,502,015.15","30,408,396.66","77,129,784.50","131,727,804.13","209,267,887.96","48,710,152.83","140,061,458.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"5,482,525.92",,,,"3,893,759.83",,,,,,,,,,,,,,,,,,,,,,,,,"185,790.80","327,446.40","641,170.26","838,910.97",,"1,762,883.27"
支付其他与投资活动有关的现金,,,,,,,,,,,,"3,486.00",,,,,,,,,,,,,,,,,,,"88,825,700.00","35,000,000.00","69,000,000.00","69,000,000.00","74,000,000.00",,
收到其他与经营活动有关的现金,"3,670,800.00","5,101,599.75","12,097,665.26","719,542.00","2,937,486.05","13,884,589.37","18,088,535.66","3,281,369.55","9,620,242.16","23,576,602.63","12,115,635.13","3,407,063.27","4,183,732.71","7,837,666.51","6,238,195.84","2,260,315.13","5,223,978.88","7,304,004.75","7,714,417.39","2,259,610.22","3,840,951.27","6,441,975.29","21,252,677.04","881,335.91","7,318,742.31","7,399,166.35","8,663,546.48","25,198.30","3,469,350.78","4,167,652.44","4,435,585.81","242,185.61","2,406,401.17","2,540,519.30","2,886,304.09","614,317.56","110,975.75"
投资活动现金流出小计,"19,847,885.75","17,882,109.27","13,065,381.21","776,278.75","1,137,912.13","5,056,332.65","27,398,386.34","15,200,285.02","72,773,997.46","123,450,149.01","177,765,220.43","15,717,415.89","47,777,959.25","80,101,010.04","101,010,498.91","18,970,685.74","21,780,475.78","24,676,581.75","32,016,080.31","1,344,214.02","1,959,594.74","2,569,417.08","3,034,331.65","39,090.52","374,352.93","1,244,201.16","1,130,878.06","177,350.00","1,454,134.59","2,128,657.59","91,213,145.39","35,268,360.00","69,483,606.50","70,192,942.20","87,574,676.31","639,900.00","1,509,410.50"
经营活动现金流入小计,"127,119,384.78","209,331,613.65","193,290,096.05","44,485,027.94","86,529,308.69","127,976,563.57","187,872,561.74","48,428,045.85","102,031,791.08","162,339,200.11","177,780,887.24","36,444,706.17","82,459,934.99","125,460,843.58","164,466,978.19","44,702,277.67","75,911,299.59","131,914,333.36","173,390,181.20","33,212,193.66","69,312,886.50","137,956,461.04","214,375,685.31","51,167,947.62","98,413,346.46","169,116,472.59","192,750,069.86","22,887,110.84","52,079,461.77","100,332,575.36","181,937,600.96","30,836,373.07","79,863,632.07","134,909,493.69","212,993,103.02","49,324,470.39","141,935,317.44"
投资活动产生的现金流量净额,"-17,685,766.43","-17,863,515.71","-13,064,381.21","-776,278.75","-1,136,912.13","-5,055,332.65","-27,397,386.34","-15,200,285.02","-72,757,997.46","-123,434,149.01","-169,549,220.43","-14,669,915.89","-36,858,459.25","-51,899,510.04","-72,808,998.91","-18,970,685.74","-18,734,475.78","-20,688,381.75","-24,481,334.03","-1,344,214.02","1,040,405.26","430,582.92","-3,034,331.65","-39,090.52","-374,352.93","-1,242,661.16","-879,338.06","19,466,162.69","45,115,515.16","44,440,992.16","-24,458,858.97","-13,890,204.50","18,337,798.86","24,722,079.60","55,552,509.97","-24,400.00","-893,910.50"
购买商品、接受劳务支付的现金,"109,823,777.23","151,996,893.88","122,853,401.02","27,926,915.84","53,073,431.09","88,383,695.51","119,172,070.16","38,941,469.58","73,508,448.40","126,766,956.29","155,925,794.02","24,643,638.68","46,975,575.56","72,448,627.24","94,767,710.97","27,187,317.36","55,188,519.78","82,240,912.59","104,046,609.88","18,038,685.66","42,382,272.68","70,753,015.82","98,180,668.74","18,814,681.29","41,283,509.94","64,082,052.29","55,209,324.15","11,056,614.21","43,846,473.34","77,432,089.81","112,699,260.48","43,708,107.76","102,728,499.78","140,608,445.18","182,970,860.09","30,846,867.09","75,308,962.05"
吸收投资收到的现金,"11,420,000.00","3,082,338.00",,,,"339,289,777.42","352,499,250.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,,,,,,,,,,,,"17,478,077.63","52,643,325.00","52,414,275.00",,,,,,
