科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,893,808,827.84","3,213,432,165.89","3,989,690,340.52","2,191,884,538.81","3,413,213,186.24","4,539,937,694.02","1,276,579,187.82","2,496,911,890.64","3,800,421,369.57","5,106,238,358.40","1,376,006,555.27","2,696,705,831.60","4,102,210,885.83","5,465,054,700.67","1,511,638,935.58","3,014,729,684.68","4,725,664,756.32","6,316,736,457.66","1,827,439,365.61","3,522,076,046.17","5,427,765,321.96","7,280,100,967.56","1,998,525,480.42","3,940,495,982.34","5,986,677,674.70"
取得子公司及其他营业单位支付的现金净额,"2,500,000.00",,,,,,,,,,,,,,"742,000,000.00",,,,,,,"450,000,000.00",,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"28,599.84",,,,,,"13,500,000.00",,,
收到其他与经营活动有关的现金,"76,423,538.23","11,934,162.15","21,050,622.37","15,869,512.50","14,045,012.67","50,023,697.42","4,617,007.18","10,507,354.55","26,712,559.92","66,642,485.59","7,150,493.73","6,440,672.22","9,143,059.61","20,742,552.66","4,476,047.40","9,241,132.08","10,543,486.58","27,041,446.95","9,733,923.35","18,999,658.07","26,151,459.62","74,836,693.32","18,176,534.12","16,427,680.10","22,352,667.98"
投资活动现金流出小计,"153,970,838.31","241,613,453.34","145,442,351.98","29,976,073.47","42,581,793.19","230,937,290.92","116,077,235.34","364,002,000.53","446,268,129.21","1,887,974,661.41","22,226,603.13","831,400,325.52","996,053,931.24","1,109,577,261.19","796,052,335.26","1,011,570,196.08","1,039,547,012.60","1,531,781,171.31","317,137,260.82","474,834,635.50","655,810,248.89","1,305,147,075.18","39,049,240.52","79,041,830.69","441,625,221.48"
经营活动现金流入小计,"2,970,232,366.07","3,225,366,328.04","4,010,740,962.89","2,207,754,051.31","3,427,258,198.91","4,589,961,391.44","1,281,196,195.00","2,507,419,245.19","3,827,133,929.49","5,172,880,843.99","1,383,157,049.00","2,703,146,503.82","4,111,353,945.44","5,485,797,253.33","1,516,114,982.98","3,023,970,816.76","4,736,208,242.90","6,343,777,904.61","1,837,173,288.96","3,541,075,704.24","5,453,916,781.58","7,354,937,660.88","2,016,702,014.54","3,956,923,662.44","6,009,030,342.68"
投资活动产生的现金流量净额,"-143,472,210.66","-240,803,341.98","-137,253,472.48","-29,954,642.47","-42,257,784.50","-119,786,720.36","-116,066,852.91","-263,044,510.05","-294,267,560.56","-966,548,610.19","-22,140,600.42","5,842,247.24","-158,318,122.18","695,026,529.12","-795,818,290.81","-999,216,771.42","-779,196,950.07","-652,253,250.47","-317,132,646.66","-373,238,770.54","-403,124,221.49","-869,901,686.08","6,319,250.08","-33,527,468.50","-295,626,099.35"
购买商品、接受劳务支付的现金,"2,199,304,186.27","2,514,942,167.96","2,968,643,477.52","1,680,026,732.37","2,599,461,373.14","3,419,200,216.23","938,245,809.43","1,806,242,538.67","2,775,606,060.35","3,732,889,679.44","1,009,632,250.88","1,966,136,191.85","2,964,460,983.78","3,965,251,104.30","1,102,132,832.15","2,294,156,331.11","3,562,496,840.93","4,698,865,250.02","1,379,221,312.11","2,621,639,674.61","4,065,551,163.21","5,362,552,761.60","1,487,266,811.91","2,921,311,919.31","4,445,122,453.58"
吸收投资收到的现金,"1,000,000.00","270,000,000.00",,,"889,066,000.00","898,480,000.00",,,,,,,,"900,000.00",,,,,,,,,,,
支付给职工以及为职工支付的现金,"197,504,484.46","216,580,255.42","302,346,474.48","196,104,077.54","300,445,006.66","428,498,482.46","125,863,818.70","251,229,998.35","381,135,624.23","517,488,320.44","130,446,372.86","254,485,804.61","385,252,329.55","512,510,181.16","136,946,513.91","278,375,641.47","434,415,454.41","597,131,647.79","190,019,674.46","358,581,312.28","529,944,927.27","719,517,111.70","194,895,643.04","374,000,968.44","550,402,939.44"
取得借款收到的现金,"20,000,000.00","40,000,000.00","10,000,000.00",,,,,,,,,,,,,"200,000,000.00","200,000,000.00","450,000,000.00",,,,"200,000,000.00","150,000,000.00","150,000,000.00","250,000,000.00"
