科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"111,068,993.15","217,956,137.07","146,955,459.46","213,989,383.97","289,952,744.94","64,387,207.78","137,820,776.00","221,755,002.90","323,866,638.00","102,120,708.63","218,469,765.95","370,797,369.21","545,575,587.77","138,823,054.66","330,947,255.40","525,974,800.02","816,700,029.55","209,005,041.09","444,885,182.46","726,723,011.82","1,113,335,928.52","350,248,434.16","738,158,846.23","1,261,405,256.83","1,906,162,342.04","462,710,080.98","1,144,141,453.63","2,043,418,224.68","2,713,456,588.02","835,520,532.89","1,958,607,632.29","3,044,164,614.90","4,411,806,278.61","993,547,196.94","2,336,381,028.59","3,765,958,332.00","5,229,090,513.21","1,307,802,247.04","2,868,372,611.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"124,775.16",,,,,,,,,,,,,,"6,585,359.45","9,585,359.45","9,585,359.45","-129,239.81","-129,239.81","-129,239.81","-129,239.81",,,,,,"1,053,911,791.18","1,053,911,791.18","1,155,549,098.84",,
收到的税费返还,"776,665.00","2,778,000.00","450,000.00",,"4,994,100.00",,,,"5,095,000.00",,,,"6,420,000.00",,,,"4,900,000.00",,,,"3,583,637.00",,,,"7,163,117.00",,,,"23,160,671.58",,,,"36,538,925.00",,,,"15,570,412.72",,"15,608,055.38"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"23,707,650.00",,,,,,,,"4,610,000.00",,,"20,000,000.00","31,823,056.01",,
收到其他与经营活动有关的现金,"612,740.21","2,404,269.73","1,394,733.25","3,296,646.04","6,778,817.88","1,489,660.67","7,004,848.17","10,730,494.86","14,466,839.72","5,898,652.59","14,147,573.45","12,070,096.58","19,479,672.60","3,663,999.71","14,734,403.54","17,874,543.24","27,904,841.57","489,834.33","2,736,211.59","22,308,354.12","46,690,568.01","8,204,426.95","42,574,293.45","47,418,118.43","47,455,787.49","1,880,253.89","15,986,299.23","70,110,442.45","61,822,436.82","38,955,252.68","80,942,760.06","90,392,912.29","69,891,667.69","2,879,109.59","95,917,054.31","168,568,263.01","195,789,065.80","42,008,120.15","69,480,938.15"
投资活动现金流出小计,"28,832,233.14","39,363,388.27","19,387,345.90","34,202,121.42","51,116,986.61","23,958,399.00","47,295,676.73","64,768,045.73","65,499,998.58","26,378,678.98","42,415,828.78","57,048,531.39","65,439,007.72","566,930,350.75","1,072,009,338.57","1,791,021,556.40","2,478,737,379.31","523,169,850.74","624,398,625.00","1,439,095,479.55","1,972,329,858.17","412,841,515.00","745,876,362.06","1,380,465,184.74","2,388,868,253.79","1,059,600,340.43","2,209,832,807.04","3,362,795,339.57","4,072,274,603.25","1,401,125,234.94","6,162,258,565.62","7,417,205,802.95","10,533,691,547.47","2,679,693,442.29","4,771,338,615.21","6,609,484,600.50","8,763,240,154.05","2,209,695,760.74","4,493,620,694.48"
经营活动现金流入小计,"112,458,398.36","223,138,406.80","148,800,192.71","217,286,030.01","301,725,662.82","65,876,868.45","144,825,624.17","232,485,497.76","343,428,477.72","108,019,361.22","232,617,339.40","382,867,465.79","571,475,260.37","142,487,054.37","345,681,658.94","543,849,343.26","849,504,871.12","209,494,875.42","447,621,394.05","749,031,365.94","1,163,610,133.53","358,452,861.11","780,733,139.68","1,308,823,375.26","1,960,781,246.53","464,590,334.87","1,160,127,752.86","2,113,528,667.13","2,798,439,696.42","874,475,785.57","2,039,550,392.35","3,134,557,527.19","4,518,236,871.30","996,426,306.53","2,432,298,082.90","3,934,526,595.01","5,440,449,991.73","1,349,810,367.19","2,953,461,604.90"
投资活动产生的现金流量净额,"-28,832,233.14","-39,173,404.15","-18,810,466.85","-33,625,242.37","-50,538,607.56","-23,958,399.00","-47,295,676.73","-64,768,045.73","-65,495,498.58","-26,378,678.98","-42,415,828.78","-57,047,431.39","-65,339,583.22","-80,505,528.79","-66,607,726.83","-100,704,850.14","-95,389,991.22","-38,190,379.51","-52,888,510.63","-223,033,030.24","-338,186,574.97","-61,613,016.14","-120,728,968.11","-279,501,009.62","-628,436,957.70","-366,985,865.92","-523,463,079.30","-676,313,597.29","-916,785,704.52","-204,133,939.63","-3,933,253,872.23","-3,913,056,161.42","-4,892,323,898.02","334,384,917.62","355,577,360.82","-36,787,345.73","-313,370,275.22","-61,213,619.71","-1,138,294,923.19"
购买商品、接受劳务支付的现金,"60,110,838.61","155,102,045.40","87,193,800.74","125,538,955.24","173,340,017.00","36,651,806.41","88,074,834.82","146,221,945.92","217,669,858.00","69,358,976.63","150,395,199.84","234,289,703.02","345,709,000.84","102,611,141.37","209,569,118.29","334,814,801.39","478,664,886.07","121,283,228.75","263,366,438.16","403,481,219.34","618,286,226.15","209,316,876.56","463,321,762.83","705,204,506.04","1,031,465,944.49","266,707,342.60","664,096,235.85","1,257,424,639.57","1,543,322,488.30","543,877,954.64","1,126,250,512.00","1,877,876,495.37","2,704,451,679.04","668,070,543.43","1,411,231,103.69","2,299,309,972.08","3,198,173,300.52","814,115,648.62","1,857,494,676.43"
吸收投资收到的现金,"40,000,000.00","40,000,002.00","14,200,000.00","14,200,000.00","535,640,000.00",,,,,,,,,,,,,,"1,272,563.50","20,290,775.00","44,521,532.50",,,"11,032,651.76","28,668,862.58","11,276,527.78","11,311,162.25","15,610,129.93","51,466,424.66","3,552,625,231.00","3,552,788,518.50","3,596,445,132.68","3,661,269,242.55","41,469.42","1,041,469.42","21,519,322.62","43,045,986.46","96,241,530.00","116,665,165.13"
