科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"274,889,691.44","301,575,286.54","277,360,875.91","123,376,671.51","188,848,890.21","269,681,016.10","57,847,180.08","130,368,187.70","193,201,840.73","269,587,022.62","57,870,748.98","110,962,439.05"
二、营业利润,"45,696,449.09","68,002,925.39","69,817,614.42","27,856,079.42","41,728,394.47","50,112,304.68","6,648,171.75","11,901,414.54","14,922,334.32","18,078,755.36","7,594,845.39","11,950,044.99"
减:营业成本,"202,366,874.36","200,778,006.35","169,407,917.29","78,135,592.72","119,964,651.65","171,915,340.46","40,450,537.80","89,358,148.22","131,223,023.69","181,463,356.98","35,747,733.38","69,075,690.46"
加:补贴收入,,,,,,,,,,,,
营业税金及附加,"2,705,723.43","3,175,365.43","3,332,188.71","1,508,358.31","2,140,860.02","4,942,931.63","1,175,863.60","2,658,191.19","3,854,974.66","5,172,906.16","1,068,702.54","2,231,102.19"
营业外收入,"2,666,413.94","3,098,534.12","2,216,005.01","898,722.10","2,216,247.10","4,620,747.10","2,376,875.00","4,060,203.05","15,388.05","36,469.05",261.68,"43,985.56"
销售费用,"10,891,849.00","15,499,018.11","12,883,473.38","7,185,377.05","13,728,731.15","25,753,237.57","5,096,596.35","16,185,750.85","31,095,616.62","46,566,605.67","8,822,499.74","17,183,189.51"
减:营业外支出,"190,214.83","23,000.00","70,768.57",,,,,,,,630.00,"7,942.25"
管理费用,"16,141,665.43","16,292,255.84","18,926,399.43","8,426,858.40","12,361,473.15","17,146,459.30","4,979,656.41","9,916,700.39","16,185,555.47","23,340,400.39","5,125,984.75","10,346,852.29"
其中:非流动资产处置净损失,"61,028.58",,,,,,,,,,,
堪探费用,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,
财务费用,"45,046.75","-1,496,980.96","32,293.16","-1,248,020.72","-2,363,748.96","-3,067,387.06","-503,645.83","-914,707.10","-989,259.51","-645,168.96","-116,016.82","-238,649.48"
三、利润总额,"48,172,648.20","71,078,459.51","71,962,850.86","28,754,801.52","43,944,641.57","54,733,051.78","9,025,046.75","15,961,617.59","14,937,722.37","18,115,224.41","7,594,477.07","11,986,088.30"
资产减值损失,"-21,201.32","127,884.45","3,236,181.78","1,512,426.33","1,288,528.73","2,878,129.52",,"1,802,689.61","2,671,225.27","2,048,152.97",,"1,785,046.96"
减:所得税,"7,260,559.21","10,654,109.42","11,285,685.94","4,125,979.88","6,379,103.77","7,480,711.86","1,373,263.62","2,044,273.81","2,044,273.81","1,003,059.24","1,176,168.43","1,305,707.39"
加:公允价值变动净收益,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,
投资收益,"2,936,715.30","803,188.07","275,192.26",,,,,"540,000.00","632,054.79","831,410.95",,"623,237.87"
四、净利润,"40,912,088.99","60,424,350.09","60,677,164.92","24,628,821.64","37,565,537.80","47,252,339.92","7,651,783.13","13,917,343.78","12,893,448.56","17,112,165.17","6,418,308.64","10,680,380.91"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,
归属于母公司所有者的净利润,"40,912,088.99","60,424,350.09","60,677,164.92","24,628,821.64","37,565,537.80","47,252,339.92","7,651,783.13","13,917,343.78","12,893,448.56","17,112,165.17","6,418,308.64","10,680,380.91"
影响营业利润的其他科目,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,
