科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,932,456,949.34","3,031,175,934.09","2,319,247,440.10","1,179,535,673.59","2,610,112,303.53","2,209,445,846.07","582,652,036.06","1,578,218,182.90","2,394,226,394.40","3,072,075,223.47","751,982,673.13","1,772,225,208.54","2,689,792,580.81","2,387,932,830.74","759,586,075.75","1,527,339,650.50","2,086,352,531.29","1,695,587,727.38","571,924,440.73","1,486,422,725.74","2,073,607,892.17","1,977,948,119.33","566,693,766.18","1,027,641,713.82","1,302,412,351.18","1,549,661,942.67","403,179,744.11","757,446,937.85","1,010,137,895.89","1,405,063,772.88","487,390,342.90","1,321,013,372.12","2,141,967,183.61","2,480,391,727.98"
取得子公司及其他营业单位支付的现金净额,"140,123,236.40","133,713,278.64","23,401,120.48",,,,,,,,,,,,,,,,,,,,,,,"5,144,195.00",,,,,,,,
收到的税费返还,"82,156,144.94","90,625,058.52","71,119,819.64","45,959,281.86","81,901,091.67","127,703,832.00","36,058,150.94","62,259,386.77","114,612,854.16","133,034,729.58","40,089,203.77","68,881,225.10","114,253,882.50","148,142,100.34","27,803,983.95","41,972,733.05","50,572,200.08","56,589,186.91","11,829,764.12","27,970,576.46","48,264,594.94","55,555,000.71","33,833,665.56","36,769,194.81","45,278,622.92","75,182,097.54","2,679,597.93","5,186,230.54","5,612,977.72","10,652,636.64","2,823,568.89","3,227,383.92","7,497,707.91","11,489,704.18"
支付其他与投资活动有关的现金,,,,,,,,,,,"176,857,012.79",,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"48,895,740.62","12,028,335.72","91,102,991.66","25,561,292.66","19,070,406.96","40,299,662.90","3,375,097.25","-600,868.73","17,499,491.72","109,372,826.54","3,562,012.32","20,404,672.28","30,608,687.30","69,144,856.05","4,668,834.95","19,445,557.32","24,336,305.71","32,390,215.11","26,438,972.39","119,681,144.05","160,331,725.78","147,829,129.97","107,840,458.87","80,760,703.29","104,706,706.82","87,833,928.84","13,155,005.71","55,582,542.68","48,198,059.79","163,415,724.85","11,202,763.15","157,673,288.29","159,130,268.74","181,657,754.35"
投资活动现金流出小计,"407,210,654.86","396,307,194.82","546,502,592.73","274,516,140.42","340,335,584.56","582,952,354.89","72,967,839.91","148,582,401.91","282,219,909.98","408,924,455.38","318,015,517.84","222,629,428.33","304,566,762.83","649,837,780.57","97,721,240.12","300,238,158.21","488,620,008.67","460,056,878.79","79,496,821.22","240,837,231.75","281,489,113.00","291,668,846.75","54,144,947.27","120,485,175.10","192,468,976.12","255,776,500.34","73,597,255.54","86,812,957.03","96,790,399.72","309,830,900.37","20,793,661.64","51,486,494.65","120,049,285.31","293,984,014.58"
经营活动现金流入小计,"2,063,508,834.90","3,133,829,328.33","2,481,470,251.40","1,251,056,248.11","2,711,083,802.16","2,377,449,340.97","622,085,284.25","1,639,876,700.94","2,526,338,740.28","3,314,482,779.59","795,633,889.22","1,861,511,105.92","2,834,655,150.61","2,605,219,787.13","792,058,894.65","1,588,757,940.87","2,161,261,037.08","1,784,567,129.40","610,193,177.24","1,634,074,446.25","2,282,204,212.89","2,181,332,250.01","708,367,890.61","1,145,171,611.92","1,461,914,357.35","1,715,592,002.68","422,397,653.06","824,319,370.05","1,072,439,449.54","1,587,318,021.13","504,635,190.85","1,485,391,935.87","2,312,123,987.94","2,730,238,766.93"
投资活动产生的现金流量净额,"-388,842,832.32","-395,543,505.14","-453,824,292.46","-272,516,140.42","-336,411,938.90","-577,857,655.19","-57,052,645.30","-119,909,989.00","-282,069,909.98","-397,300,002.33","-318,015,517.84","-222,479,428.33","-304,416,762.83","-648,802,003.19","-97,721,240.12","-299,867,199.67","-488,249,050.13","-459,476,118.69","-79,075,381.55","-240,402,375.92","-281,054,257.17","-291,014,458.63","-54,144,947.27","-120,485,175.10","-187,968,976.12","-250,929,159.02","-73,597,255.54","-86,812,957.03","-96,790,399.72","-299,619,588.94","43,806,254.93","18,513,505.35","-50,049,285.31","-220,383,957.74"
购买商品、接受劳务支付的现金,"1,792,079,047.96","2,390,978,574.52","2,092,599,259.17","1,138,385,968.17","2,453,933,802.69","1,616,065,575.62","536,047,570.44","1,476,412,819.64","2,383,808,044.43","2,962,042,147.34","764,013,062.28","1,480,323,367.32","2,491,924,941.70","1,839,625,964.15","844,811,226.94","1,627,841,962.19","2,314,836,351.52","1,539,933,337.41","512,560,163.54","1,128,330,158.35","1,608,950,188.08","1,293,076,611.84","577,654,521.80","716,472,006.32","1,038,381,424.01","1,210,602,062.04","258,010,310.73","676,534,467.87","963,847,058.36","1,148,147,984.69","403,219,334.94","1,202,910,393.17","2,159,863,454.52","2,326,017,658.96"
吸收投资收到的现金,"90,430,629.98",,,,,"1,260,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
