科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"23,827,513.50","55,718,209.40","108,511,874.00","43,886,004.68","104,734,732.19","142,201,140.05","41,857,126.54","70,289,166.60","80,446,865.66","125,831,278.93","39,529,204.37","71,943,660.48","146,315,405.99","370,792,601.21","89,928,685.21","192,351,967.32","311,108,996.44","493,050,111.06","142,862,243.29","279,949,199.75","387,750,339.80","639,378,881.70","129,366,417.63","218,305,517.16","317,768,954.12","545,615,463.63","119,182,855.29","235,954,535.93","606,658,994.41","1,064,317,039.96","499,071,562.91","1,327,608,835.76","1,988,546,871.41"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"178,788,284.34",,"61,200,630.00",,"150,091,501.42",,,,"160,532,005.28",,"100,797,073.91","114,983,076.24","114,653,744.90",,"40,511,504.20","42,511,534.20","28,701,371.20",,"132,451,225.76","141,658,732.14"
收到的税费返还,"1,124,003.55","1,677,741.00","3,200,414.35","2,133,025.64","5,070,910.47","5,266,063.40","2,352,577.97","2,352,577.97","2,352,577.97","3,157,844.31","890,041.18","1,344,122.40","4,083,646.11","4,051,483.02","77,000.00","6,920,783.40","7,939,532.91","12,296,324.44","863,691.17","1,264,474.00","3,904,234.63","4,383,016.51","1,170,617.14","1,842,089.94","1,996,084.04","9,716,894.17","1,747,590.28","9,231,317.66","11,117,587.72","17,667,380.16","181,302.63","2,592,398.60","3,329,093.48"
支付其他与投资活动有关的现金,,,"11,120,000.00",,,,,,,"1,069,093,230.64","150,000.00","3,748,178.82","5,198,178.82",,"214,722.50","1,814,722.50","1,814,722.50",,,"2,153,610.92","2,157,391.72","2,157,391.72","1,150.00","87,010.45","203,698.27",,"202,866.27","12,680,378.00","13,270,002.30","71,971,321.87","771,834.32","15,529,327.54","15,776,583.13"
收到其他与经营活动有关的现金,"2,759,081.00","1,539,230.03","9,232,470.37","1,315,378.84","6,284,260.20","6,241,384.74","5,592,673.16","15,842,045.25","23,393,381.20","35,443,584.77","11,344,463.29","20,092,132.37","41,045,755.73","38,830,880.27","7,356,478.50","24,735,072.75","43,224,324.05","42,003,520.58","9,081,162.51","36,620,703.98","20,169,778.05","51,401,985.92","1,252,664.01","21,908,769.50","48,526,302.73","72,042,389.42","16,257,332.75","30,161,476.82","73,771,306.48","81,893,386.59","79,553,951.16","142,305,808.50","394,966,444.62"
投资活动现金流出小计,"9,585,049.45","26,506,855.84","28,148,354.66","15,909,315.27","20,135,039.25","26,059,677.68","5,932,359.38","22,773,533.72","78,522,698.30","1,191,055,597.99","52,188,233.78","255,995,143.91","502,088,007.43","465,785,684.70","21,213,224.11","174,871,399.00","254,082,636.66","462,508,427.16","51,251,890.59","183,043,008.66","288,523,415.66","296,282,054.60","26,254,676.55","161,473,931.00","241,953,792.58","294,908,776.48","15,762,869.24","140,413,398.00","174,548,617.68","312,295,707.71","16,257,497.26","260,686,709.49","297,576,303.66"
经营活动现金流入小计,"27,710,598.05","58,935,180.43","120,944,758.72","47,334,409.16","116,089,902.86","153,708,588.19","49,802,377.67","88,483,789.82","106,192,824.83","164,432,708.01","51,763,708.84","93,379,915.25","191,444,807.83","413,674,964.50","97,362,163.71","224,007,823.47","362,272,853.40","547,349,956.08","152,807,096.97","317,834,377.73","411,824,352.48","695,163,884.13","131,789,698.78","242,056,376.60","368,291,340.89","627,374,747.22","137,187,778.32","275,347,330.41","691,547,888.61","1,163,877,806.71","578,806,816.70","1,472,507,042.86","2,386,842,409.51"
投资活动产生的现金流量净额,"-9,585,049.45","-25,422,362.32","-27,423,519.36","-15,909,315.27","-19,955,039.25","-25,879,677.68","-5,932,359.38","-22,773,533.72","-78,522,698.30","-1,191,054,797.99","13,060,806.79","-255,995,143.91","-501,893,238.20","-464,833,734.70","-21,203,774.11","-174,861,949.00","-251,073,186.66","-459,456,977.16","-51,228,690.59","-182,979,808.66","-264,141,143.50","-296,217,134.60","-26,254,676.55","-161,473,931.00","-241,953,792.58","-293,665,584.71","-8,439,949.24","-103,169,671.09","-133,795,352.03","-271,328,867.36","-6,257,497.26","-242,583,339.40","-276,782,994.94"
购买商品、接受劳务支付的现金,"6,728,014.48","9,346,556.45","13,101,872.34","12,847,478.67","20,466,329.55","30,412,473.96","9,929,889.25","13,894,152.12","19,729,104.79","28,070,034.68","8,319,219.13","19,130,052.27","52,264,383.57","111,434,741.04","70,637,373.27","110,814,840.57","154,251,965.55","208,944,447.49","49,049,836.93","109,439,783.93","173,397,606.68","237,859,665.29","67,872,382.71","148,656,645.61","211,083,993.42","334,714,754.08","90,865,051.85","156,085,695.51","493,504,238.48","766,510,195.82","486,603,097.22","1,360,702,580.68","2,142,955,030.01"
吸收投资收到的现金,,"69,213,932.71","101,077,807.00",,,"1,190,547,600.00",,,,,,"1,220,930.00","1,220,930.00","1,220,930.00","2,000,000.00","2,000,000.00","1,966,976.33","1,979,600.00",,,,,,,,"1,410,000.00","38,000,000.00","728,999,993.97","792,499,993.97","803,256,131.66","365,000.00","577,142.86","2,377,142.86"
