科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"50,763,518.89","113,506,326.02","196,232,728.86","279,151,106.62","817,881,155.39","56,211,534.93","126,962,581.20","72,143,872.44","19,492,708.19"
短期借款,,,,,,,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"910,865.33","4,460,634.91","1,500,214.20","1,465,035.85","2,201,705.72","466,325.10","136,214.40","938,441.10","216,022.96"
应付票据,,,,,,,,,
应收账款,"65,676,256.82","84,383,090.69","105,426,794.80","122,298,761.66","131,773,453.61","161,616,903.24","131,852,515.23","170,453,899.72","205,621,062.33"
应付账款,"21,432,478.08","23,808,698.88","19,911,978.36","34,614,385.72","39,858,518.90","28,313,030.16","41,191,763.75","58,246,266.64","61,939,603.48"
预付款项,"11,625,763.94","18,616,125.39","19,541,989.78","23,136,631.73","24,860,436.35","62,283,777.44","61,027,136.11","67,014,362.83","84,774,948.16"
预收款项,"5,825,899.67","7,647,244.34","4,845,706.24","7,500,749.00","4,929,886.65","6,343,842.75","16,040,147.68","11,898,027.11","17,487,369.47"
其他应收款,"2,840,428.66","5,177,886.79","6,582,272.96","8,351,998.58","13,168,700.58","7,989,953.39","9,946,697.32","9,545,515.67","15,782,461.44"
应付职工薪酬,"43,031.29","57,254.60","73,564.06","74,492.30","116,146.58","8,113,385.04","112,941.39","520,764.82","549,409.28"
应收关联公司款,,,,,,,,,
应交税费,"9,029,758.41","21,727,230.52","28,935,194.45","30,132,105.01","26,657,125.67","36,153,984.48","26,916,020.30","38,690,651.08","42,958,093.68"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,"273,000,000.00",,
存货,"81,944,338.77","63,158,428.75","83,621,706.65","92,313,526.69","106,153,117.96","92,529,658.58","117,673,549.36","132,059,063.13","154,356,739.40"
其他应付款,"20,251,297.13","31,045,600.23","34,728,652.76","38,845,986.25","43,845,687.81","43,774,355.48","75,381,895.50","232,446,596.36","238,522,296.87"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,"2,000,000.00","25,668,937.74","45,346,262.83",,,,"8,949,152.52",
其他流动资产,"1,560,133.42","1,454,441.40","1,730,037.28","2,696,091.65",985.41,"793,988,625.31","612,969,382.79","379,526,121.21","336,532,294.83"
其他流动负债,"2,471,510.40","7,793,229.24","16,474,300.50","18,448,844.99","20,948,828.03","25,645,991.99","24,289,231.73","24,762,065.73","26,222,809.32"
流动资产合计,"215,321,305.83","290,756,933.95","414,635,744.53","529,413,152.78","1,096,039,555.02","1,175,086,777.99","1,060,568,076.41","831,681,276.10","816,776,237.31"
流动负债合计,"59,053,974.98","94,079,257.81","130,638,334.11","174,962,826.10","136,356,193.64","148,344,589.90","456,932,000.35","375,513,524.26","387,679,582.10"
可供出售金融资产,,,,,,,,,
长期借款,,"31,356,450.56","70,036,348.88","51,697,684.92",,,,,"37,800,000.00"
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,"416,352.91","5,888,095.42","5,267,024.06","3,938,772.20","3,549,119.67","3,348,432.04","8,372,649.87"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"124,770,720.75","172,056,020.06","246,891,417.38","432,420,182.41","439,547,429.87","450,229,830.48","464,247,538.46","509,690,753.04","530,145,859.93"
递延所得税负债,,"1,193,388.98","4,880,442.76","7,848,723.45","9,943,257.47","12,255,943.94","14,888,277.70","27,489,737.70","29,879,361.34"
在建工程,"40,427,795.09","131,824,521.46","203,398,139.85","84,396,201.47","98,133,420.66","112,202,638.76","123,679,872.37","176,833,452.42","200,831,707.28"
其他非流动负债,,,,,,,,,
工程物资,,"20,556,897.48","39,141,418.19","19,529,404.85","23,763,787.46","26,873,357.03","24,893,920.02","25,775,759.30","26,439,087.58"
非流动负债合计,"10,941,631.63","57,004,529.36","96,373,035.68","78,783,573.01","27,788,827.31","28,171,124.94","29,163,357.24","40,123,416.60","78,667,262.43"
固定资产清理,,,,,,,,,
负债合计,"69,995,606.61","151,083,787.17","227,011,369.79","253,746,399.11","164,145,020.95","176,515,714.84","486,095,357.59","415,636,940.86","466,346,844.53"
生产性生物资产,,,,,,,,,
