科目,2003-06-30
货币资金,"62,983.43"
短期借款,"143,330,000.00"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"95,869,231.14"
应付账款,"51,983.20"
预付款项,"175,000.00"
预收款项,"35,551,702.31"
其他应收款,"7,055,677.76"
应付职工薪酬,"36,765.00"
应收关联公司款,
应交税费,"52,645,292.95"
应收利息,
应付利息,
应收股利,
应付股利,
存货,
其他应付款,"81,990,026.89"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,
流动资产合计,"7,308,804.99"
流动负债合计,"399,421,737.41"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,"78,100,294.86"
专项应付款,
投资性房地产,
预计负债,"85,403,334.52"
固定资产,"267,868,127.25"
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,
非流动负债合计,
固定资产清理,
负债合计,"399,421,737.41"
生产性生物资产,
实收资本(或股本),"288,961,676.00"
油气资产,
资本公积,"69,646,563.08"
无形资产,
盈余公积,"34,583,721.16"
开发支出,
减:库存股,
商誉,
未分配利润,"-439,336,470.55"
长期待摊费用,
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,
所有者权益(或股东权益)合计,"-46,144,510.31"
资产总计,"353,277,227.10"
负债和所有者(或股东权益)合计,"353,277,227.10"
