科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"64,328,280.29","178,613,002.10","61,058,495.23","120,425,447.37","34,117,517.21","87,591,598.23","95,257,016.49","135,634,189.82","25,213,957.08","64,134,667.43","113,616,535.36","152,176,808.99","50,654,967.48","77,188,092.23","106,230,861.00","203,840,416.53","22,791,929.13","29,333,159.54","54,181,259.02","120,493,936.30","40,598,169.55","69,811,198.69","97,483,078.87","183,079,577.11","29,054,322.81","81,995,574.70","174,172,756.24","439,194,151.90","47,820,876.95","117,904,583.53","235,056,851.72","603,069,422.79","109,426,178.65","259,509,094.29","432,261,103.79","827,753,721.46","177,899,578.34"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120,393,375.22",,,,"93,744,971.40","93,000,000.00","93,000,000.00","93,000,000.00","93,895,720.00",
收到的税费返还,,,,,,,,,,,,,,,,,,,"108,193.52",,,,,"271,045.57",,"1,186,685.45","4,114,640.64","5,646,437.43","4,037,539.74","5,813,565.35","8,515,880.90","12,525,880.17","14,093.63","2,421,616.07","5,908,576.63","11,298,392.74","4,792.53"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"950,000.00",,,,,,,,,,,,,,,,"14,818,805.59",,,"13,000,000.00","33,500,000.00","6,499,000.00"
收到其他与经营活动有关的现金,"10,310,255.01","6,316,082.73","4,040,104.22","5,438,073.32","496,881.43","2,594,145.79","3,887,160.74","9,348,703.52","995,678.52","9,019,670.62","10,178,873.74","16,779,091.05","2,115,680.61","12,691,606.00","24,536,830.51","25,671,819.54","3,324,262.46","5,092,075.62","7,352,310.19","11,316,451.65","1,157,365.72","2,540,770.52","6,105,091.45","3,607,338.90","1,822,364.54","5,988,384.41","44,968,467.60","49,825,791.64","6,662,818.28","12,898,578.62","25,596,813.78","43,092,220.17","10,405,692.49","39,483,513.74","58,480,315.47","117,425,855.03","39,589,823.28"
投资活动现金流出小计,"19,331,552.21","20,445,369.71","7,531,791.12","11,847,278.67","3,197,495.12","19,519,176.58","21,309,176.58","75,910,252.02","3,085,392.95","10,638,828.72","14,924,725.87","52,762,493.02","12,000,000.00","33,886,117.35","41,698,354.90","62,361,540.19","7,922,550.00","21,922,998.00","39,423,206.99","82,105,254.05","2,412,521.64","3,867,505.64","10,270,716.64","87,090,538.10","6,323,222.90","169,534,996.57","171,446,914.85","209,929,541.38","26,466,281.69","30,618,943.46","53,239,465.66","199,405,536.12","116,516,217.29","154,698,399.57","191,505,162.11","396,410,101.20","79,255,274.00"
经营活动现金流入小计,"74,638,535.30","184,929,084.83","65,098,599.45","125,863,520.69","34,614,398.64","90,185,744.02","99,144,177.23","144,982,893.34","26,209,635.60","73,154,338.05","123,795,409.10","168,955,900.04","52,770,648.09","89,879,698.23","130,767,691.51","229,512,236.07","26,116,191.59","34,425,235.16","61,641,762.73","131,810,387.95","41,755,535.27","72,351,969.21","103,588,170.32","186,957,961.58","30,876,687.35","89,170,644.56","223,255,864.48","494,666,380.97","58,521,234.97","136,616,727.50","269,169,546.40","658,687,523.13","119,845,964.77","301,414,224.10","496,649,995.89","956,477,969.23","217,494,194.15"
投资活动产生的现金流量净额,"-19,613,352.38","-20,390,369.71","-7,531,791.12","-11,847,278.67","-3,197,495.12","-19,519,176.58","-21,309,176.58","-75,910,252.02","-3,085,392.95","-10,638,828.72","-14,924,725.87","-52,553,761.11","-6,700,000.00","-33,886,117.35","-41,653,354.90","-61,687,324.28","-7,922,550.00","-21,922,998.00","-39,423,206.99","-82,105,254.05","-2,412,521.64","-3,867,505.64","-10,270,716.64","-87,059,469.61","2,076,777.10","-169,232,326.98","-166,100,932.65","-179,834,783.03","-26,086,281.69","-28,909,943.46","-51,530,465.66","-187,658,296.39","-115,908,217.29","-154,057,848.14","-166,299,433.62","-343,555,035.78","-72,639,745.13"
购买商品、接受劳务支付的现金,"29,594,904.41","127,045,036.26","72,703,331.35","94,217,208.63","63,043,950.02","108,556,153.59","122,282,823.19","123,223,204.51","32,025,973.83","77,086,651.52","131,210,203.19","146,891,712.95","41,840,703.38","61,392,286.51","105,479,692.68","145,273,683.08","22,368,638.65","36,985,061.38","66,707,775.47","76,310,663.35","36,088,945.90","63,881,889.92","94,166,154.09","108,640,218.64","16,584,490.92","57,808,806.71","121,686,525.36","223,055,246.31","88,520,970.37","143,033,470.00","236,055,276.34","355,965,513.37","122,149,598.41","244,411,672.43","380,639,901.16","486,569,606.57","159,435,871.73"
吸收投资收到的现金,"29,000,000.00",,,,"425,000,000.00","425,000,000.00","425,000,000.00","409,500,000.00",,,,"800,000.00",,,,,,,,,,,"4,900,000.00","5,294,435.00",,"165,000,000.00","165,000,000.00","165,000,000.00",,,,"193,999,986.09","50,000.00",,,"119,167.98","1,066,960,197.44"
