科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"328,138,362.52","701,639,224.75","1,942,805,380.28","701,754,356.18","1,614,051,367.56","2,734,495,961.94","4,323,444,775.48","963,326,920.47","2,181,122,166.10","3,364,435,349.93","4,636,424,794.75","846,299,087.34","2,407,587,167.19","3,998,717,868.47","5,346,505,242.06","1,224,631,597.84","2,596,159,695.69","4,006,626,750.13","5,199,331,120.79","1,256,355,671.40","2,479,065,462.63","3,677,657,774.53","4,941,836,029.16","1,165,556,678.89","2,487,358,094.92","3,762,579,364.75","5,328,121,623.61","1,162,870,526.89","2,634,286,922.33","4,174,603,890.39","5,943,513,348.38","1,416,951,061.40","3,166,625,456.50","5,015,787,441.91","7,060,089,115.10","1,642,780,841.91","3,310,004,420.33","5,034,289,662.06","7,314,804,589.33","1,485,448,286.03","3,268,813,950.45","5,065,883,183.18"
二、营业利润,"73,719,157.87","144,392,991.42","405,599,618.96","135,042,199.15","319,978,529.44","545,639,711.54","734,469,794.90","171,567,206.55","409,170,145.96","626,553,270.42","732,719,696.24","100,221,783.61","383,176,898.51","662,829,282.57","813,852,273.38","168,712,283.83","391,568,082.80","623,297,306.63","700,314,520.26","174,093,989.30","372,172,504.78","557,721,114.61","636,118,971.48","163,581,609.50","361,001,765.86","578,677,492.04","690,657,097.02","150,297,838.22","387,386,423.47","626,056,902.35","712,351,398.10","156,314,053.07","403,981,214.48","600,645,256.64","745,676,206.05","176,196,210.86","409,154,239.92","609,206,802.68","756,346,882.07","170,477,315.74","441,298,127.33","659,098,721.70"
减:营业成本,"210,822,487.98","443,017,497.97","1,235,544,296.72","457,592,573.97","1,023,390,799.78","1,691,095,566.23","2,674,227,267.21","594,809,286.71","1,311,971,737.17","2,039,137,472.89","2,844,982,800.00","560,025,855.29","1,513,989,553.89","2,516,794,574.53","3,402,944,132.38","801,738,909.25","1,667,249,617.64","2,589,836,378.29","3,358,923,758.24","840,133,226.70","1,626,994,711.91","2,395,190,775.01","3,209,849,474.70","787,580,375.60","1,655,145,048.33","2,461,632,548.92","3,495,965,363.62","787,048,352.84","1,755,559,819.53","2,790,202,683.09","4,003,145,392.28","987,438,850.92","2,154,103,694.21","3,411,770,783.05","4,808,845,747.72","1,125,309,842.89","2,228,368,230.21","3,391,675,578.05","4,922,954,425.09","1,030,828,261.85","2,215,185,411.72","3,404,461,141.18"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"92,119.10","313,250.71","1,033,905.85","577,044.14","1,112,142.28","1,951,181.07","2,627,887.89","565,146.41","1,832,760.97","3,796,093.60","5,294,021.27","1,383,151.24","3,452,778.88","5,560,553.58","8,974,644.04","5,547,132.12","24,950,579.55","33,183,026.82","39,110,012.38","7,179,150.47","13,878,163.41","21,732,450.72","30,734,206.15","6,433,107.03","15,633,570.03","23,169,010.32","33,609,379.69","6,733,916.81","14,099,682.97","23,258,170.02","31,830,320.14","10,526,313.69","20,653,816.81","32,608,840.35","45,672,755.68","11,921,552.17","20,018,465.31","31,864,279.68","54,388,863.65","11,058,972.09","25,865,261.82","39,840,991.35"
营业外收入,"2,063,102.36","2,423,831.92","11,805,693.49","219,560.92","3,270,013.97","3,705,972.29","7,363,335.58","1,491,734.55","27,341,712.47","31,468,287.24","59,243,950.71","3,770,814.53","5,669,632.73","7,752,222.53","29,016,521.10","1,409,252.41","4,870,445.76","11,852,321.45","26,196,368.87","2,983,944.63","6,440,602.36","13,219,738.17","30,340,665.77","3,710,888.64","11,898,097.71","14,858,833.43","21,303,003.82","5,098,914.62","36,793,936.55","39,220,657.31","59,558,141.19","1,359,977.46","3,412,112.85","50,079,021.17","62,361,172.52","2,203,251.32","53,569,670.57","73,936,144.45","112,070,989.88","5,540,650.07","6,409,259.30","11,542,995.83"
销售费用,"26,017,359.83","69,133,074.59","189,673,210.11","69,689,588.63","165,435,628.55","343,370,690.61","695,847,054.13","127,310,710.00","301,937,166.13","466,863,171.10","746,007,178.21","113,771,443.88","372,224,456.21","585,319,953.15","791,432,429.53","152,509,627.34","365,824,714.57","550,350,961.42","782,929,056.93","151,265,271.63","304,591,377.61","465,142,540.25","681,720,577.60","128,400,491.31","316,982,383.54","474,361,482.44","722,082,864.97","151,288,487.80","322,719,832.58","487,538,972.51","773,397,287.26","175,455,583.53","388,296,479.98","622,228,389.67","988,915,582.62","213,674,019.49","424,011,562.04","657,469,710.71","1,103,306,058.27","189,669,153.81","427,420,749.60","698,552,924.80"
减:营业外支出,"264,472.34","1,307,222.94","2,329,125.13","563,726.95","3,524,241.44","6,967,664.14","8,253,260.08","747,948.86","6,114,726.86","5,383,192.92","6,544,483.91","684,515.98","4,614,964.96","9,382,273.04","13,222,971.54","1,122,844.19","3,919,112.78","10,506,904.95","12,363,521.42","1,348,313.99","3,917,235.71","5,697,825.96","13,986,928.44","1,500,049.56","4,458,214.05","6,813,978.84","16,109,969.65","1,490,173.44","3,886,541.04","8,980,777.97","15,462,604.33","2,108,241.38","5,781,496.49","8,720,105.35","17,470,284.68","2,086,557.76","5,618,798.62","7,745,231.79","14,360,572.96","1,744,328.80","4,524,686.52","5,690,502.51"
管理费用,"16,903,079.18","39,369,740.51","107,431,254.12","39,750,224.04","102,522,212.84","162,086,989.16","240,520,537.77","70,163,375.52","184,470,099.34","262,241,857.12","326,751,472.09","74,607,600.35","161,035,657.62","257,429,492.86","367,015,763.36","97,478,529.37","164,702,260.27","240,564,563.61","357,366,575.50","91,405,848.24","176,522,551.39","260,935,873.47","406,273,845.55","84,716,598.07","160,202,877.93","257,295,534.18","413,571,347.83","72,974,067.90","162,816,527.26","272,631,206.55","464,607,887.67","94,119,168.94","221,357,314.04","370,441,467.47","514,830,833.90","109,221,086.76","226,940,253.53","351,233,073.04","498,750,428.44","88,944,349.69","215,955,075.58","339,334,927.27"
其中:非流动资产处置净损失,,,"151,921.56",,"170,245.92",,"209,948.27","138,875.78","4,267,777.23",,"1,230,011.81","10,977.22","206,026.03","207,562.34",,"48,627.00","62,691.94","115,041.06","166,186.56","-1,120.50","838,344.04","1,143,257.78","1,260,148.71","40,363.14","835,078.15","922,183.84","1,121,543.05",,"350,928.28","3,146,094.91","3,465,642.32","121,077.91","454,867.89","741,892.31","921,625.01","279,885.62","672,982.77","698,326.96","1,251,402.16","31,356.57","439,512.15","960,411.38"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
