科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"224,080,664.88","1,755,971,022.82","3,699,868,866.35","459,403,567.27","1,218,481,037.87","1,409,055,615.26","2,673,065,599.98","1,068,588,978.07","3,481,955,202.32","3,978,050,814.32","5,732,795,023.88","1,504,304,183.04","1,957,389,535.21","7,478,481,174.34","11,247,636,725.97","2,449,966,009.19","4,965,501,583.62","5,488,159,289.05","5,848,820,237.10","908,093,855.41","4,260,102,349.10","5,819,019,169.18","8,971,787,326.99","3,269,724,798.47","5,830,577,536.46","7,874,957,658.78","9,900,874,815.44","1,459,042,072.41","3,223,350,097.45","5,557,784,657.04","8,353,585,717.98","2,304,996,342.06","6,909,958,444.81","12,919,601,371.28","16,744,326,656.68","5,994,755,892.37","12,155,974,013.85","17,869,370,213.99","21,861,953,239.30","4,710,264,643.03","8,548,299,099.20","14,822,990,661.82","19,915,711,528.15","3,022,028,629.45","8,347,622,724.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,"80,279,492.51",,,,,,"4,636,302.20","4,636,302.20","4,636,302.20",,,,,,,,,,,,,,,,,,,,,,"111,981,710.07","-420,595,269.99","-768,346,092.08",,"149,918,545.78","149,918,545.78","371,584,076.93","112,500,000.00","-780,081,789.33"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,"218,595.00",,"1,829,178.82","4,073,134.47","4,073,134.47",,"2,274,622.97","2,274,622.97","3,702,762.11","45,516.00","55,061,951.64","56,351,416.79","58,413,357.66",,"3,530.77",,"2,064,940.87",,,"43,085,399.00","1,549,455.65",,
支付其他与投资活动有关的现金,,,,,,,"10,666,022.80",,,,,,,,"678,024,160.85","81,200,000.00","195,030,000.00","196,330,000.00","298,410,000.00","122,000,000.00",,,"903,000.00","54,152,983.00",,"71,652,983.00","750,610,381.79","103,750,000.00","214,525,000.00","277,685,000.00",,"670,400,000.00","984,462,048.46","1,654,185,000.00","3,217,006,298.46","1,322,129,048.32","1,601,749,793.25","3,906,587,050.10","5,472,478,329.89","777,830,200.00","1,033,274,126.31","3,583,040,584.37","5,147,942,634.11","1,785,126,804.30","5,304,473,756.98"
收到其他与经营活动有关的现金,"163,432,340.47","180,281,560.57","215,113,186.95","195,675,752.75","333,495,331.84","359,535,162.18","538,540,127.17","403,779,731.43","408,335,225.83","1,251,753,782.85","914,529,149.49","195,157,532.91","1,000,345,428.37","928,173,763.32","105,011,737.73","372,023,261.85","92,736,030.22","189,682,098.32","609,540,154.44","15,458,237.95","21,453,903.65","30,851,633.83","34,023,035.85","31,307,502.00","54,194,081.29","85,686,199.80","60,299,048.83","20,760,224.71","8,024,369.47","100,475,150.94","51,715,745.58","28,896,452.19","13,405,789.67","20,796,775.51","213,685,459.10","81,891,536.50","21,644,508.95","50,596,117.63","79,224,214.18","101,661,749.95","29,803,791.14","569,361,360.44","71,062,329.49","73,472,166.19","61,700,400.93"
投资活动现金流出小计,"162,244,967.58","173,615,141.04","220,600,447.00","10,802,380.06","3,504,095.64","74,636,828.47","120,169,442.10","2,405,853.29","4,975,781.87","6,686,932.67","32,888,633.49","1,049,314.33","29,514,230.80","29,525,374.91","1,074,797,173.08","86,263,238.98","1,175,074,156.00","2,135,770,030.49","813,263,415.60","124,053,396.65","33,837,503.88","35,007,464.15","75,309,218.95","56,334,478.80","32,617,506.59","109,909,848.79","808,753,783.53","107,333,321.52","231,551,740.18","297,083,907.45","325,479,481.20","673,010,992.31","1,188,274,302.38","2,236,909,455.81","3,981,592,444.89","1,771,838,943.08","2,436,903,214.87","4,940,410,750.57","9,427,158,239.71","11,458,019,820.44","21,851,464,222.76","41,585,696,208.14","50,290,765,396.19","4,361,034,545.82","9,473,950,660.07"
经营活动现金流入小计,"387,513,005.35","1,936,252,583.39","3,914,982,053.30","655,079,320.02","1,551,976,369.71","1,768,590,777.44","3,211,605,727.15","1,472,368,709.50","3,890,290,428.15","5,229,804,597.17","6,647,324,173.37","1,699,461,715.95","2,957,734,963.58","8,406,654,937.66","11,352,648,463.70","2,821,989,271.04","5,058,237,613.84","5,677,841,387.37","6,458,360,391.54","923,552,093.36","4,281,556,252.75","5,849,870,803.01","9,006,028,957.84","3,301,032,300.47","5,886,600,796.57","7,964,716,993.05","9,965,246,998.74","1,479,802,297.12","3,233,649,089.89","5,660,534,430.95","8,409,004,225.67","2,333,938,310.25","6,978,426,186.12","12,996,749,563.58","17,016,425,473.44","6,076,647,428.87","12,177,622,053.57","17,919,966,331.62","21,943,242,394.35","4,811,926,392.98","8,578,102,890.34","15,435,437,421.26","19,988,323,313.29","3,095,500,795.64","8,409,323,125.49"
投资活动产生的现金流量净额,"-161,250,967.58","-172,628,141.04","-219,324,996.47","-10,802,380.06","151,506,624.36","114,006,187.68","39,042,069.10","-2,304,823.29","-4,935,963.87","-6,534,939.67","-32,733,390.49","-1,008,890.93","-29,477,363.80","-29,488,507.91","-889,462,275.89","433,786,761.02","195,104,998.40","159,905,927.87","-401,949,548.55","-100,045,396.65","-11,409,294.51","-12,539,363.43","-45,653,857.93","-54,301,078.80","887,800,980.21","818,594,888.10","269,401,592.55","-34,888,909.36","-155,930,778.90","-206,905,152.11","958,570,085.21","-661,435,391.58","-1,076,328,592.41","-2,100,707,487.31","-3,796,030,146.36","-1,472,956,036.08","-2,436,557,046.24","-4,819,403,275.42","-8,067,699,113.02","-3,040,338,235.67","-2,942,446,177.79","-4,319,141,098.58","-3,978,058,598.06","-1,291,418,924.56","-4,615,410,533.71"
购买商品、接受劳务支付的现金,"452,719,679.53","1,714,638,507.38","4,291,597,164.83","1,387,095,477.79","2,851,099,662.86","3,111,458,094.38","4,291,104,048.13","653,845,565.83","1,740,165,858.94","4,267,098,913.20","5,414,821,426.36","615,314,358.14","4,269,291,086.09","6,948,563,368.67","9,549,903,456.31","3,981,253,013.99","5,739,985,572.26","6,434,829,133.21","8,854,015,697.15","620,487,204.33","1,346,281,496.65","2,521,211,675.91","3,041,423,583.60","1,338,416,455.69","2,705,901,436.66","4,214,886,966.11","7,812,134,010.80","2,505,077,454.96","4,437,091,309.64","6,897,327,108.46","8,080,554,895.69","2,223,868,665.08","3,529,718,023.20","5,067,407,298.25","6,623,327,016.12","1,515,252,964.66","2,507,234,335.56","3,863,990,878.22","5,150,251,223.25","1,155,724,692.87","2,231,146,285.77","3,831,785,041.04","11,905,350,170.06","11,159,834,891.06","17,562,931,679.82"
吸收投资收到的现金,"351,672,808.00","351,672,808.00","351,672,808.00","150,000,000.00","1,429,260,000.00","1,429,260,000.00","1,429,260,000.00",,,,"240,000,000.00",,,,"522,500,000.00","15,000,000.00","620,500,000.00","720,500,000.00","720,500,000.00",,,,,"72,000,000.00","72,000,000.00","342,000,000.00","342,000,000.00","64,900,000.00","64,900,000.00","64,900,000.00","64,900,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","2,721,213,731.18","2,725,124,897.02","2,725,124,897.02","2,762,644,897.02","15,000,000.00","15,000,000.00","68,000,000.00","68,000,000.00","64,630,329.76","149,892,424.95"
