科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"44,291,777.47","49,686,911.37","48,965,800.56","54,426,682.48","45,780,103.78","178,198,676.86","173,264,202.01","186,527,692.89","193,937,151.30","179,391,189.63","155,871,819.97","115,204,512.14","208,156,991.03","98,381,454.49","118,837,670.69","94,012,501.51","175,414,869.91","91,633,434.90","94,765,052.80","87,985,146.72","107,746,044.51","122,250,898.54"
短期借款,"10,000,000.00","13,000,000.00",,"8,000,000.00","8,000,000.00","8,000,000.00","1,000,000.00","500,000.00","67,900,000.00","68,550,000.00","9,700,000.00","11,800,000.00","8,200,000.00","200,000.00","20,200,000.00","20,200,000.00","30,200,000.00","40,000,000.00","30,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"39,483,650.00","25,887,000.00","35,731,894.00","8,128,000.00","26,380,920.23","20,288,885.76","23,191,843.35","15,926,687.35","35,055,200.27","29,113,668.04","23,523,058.99","16,611,806.67","32,150,228.11","21,456,989.61","38,768,911.12","37,080,386.20","58,988,771.37","49,559,516.78","50,017,484.78","50,868,689.86","55,610,191.47","59,176,626.57"
应付票据,,"637,329.54","1,000,000.00","897,971.89",,,,,"23,283,556.00","8,283,556.00","7,940,153.00","26,310,019.00","12,681,017.00","2,200,000.00","748,000.00","16,324,959.00","18,695,000.00","35,895,000.00","66,448,000.00",,"45,469,050.00",
应收账款,"44,439,908.21","59,795,136.82","64,128,601.86","87,671,598.15","79,363,097.13","88,273,421.46","92,389,149.66","99,306,667.99","271,237,878.58","284,790,929.86","306,544,066.37","328,591,437.61","316,869,202.82","317,123,954.80","358,257,315.59","376,942,064.06","499,877,239.79","518,230,009.72","529,779,538.41","574,749,449.59","631,391,344.65","581,120,328.96"
应付账款,"34,298,937.97","36,078,890.06","37,463,456.24","33,360,432.45","29,878,768.28","27,243,540.93","27,444,723.41","23,718,278.72","135,080,675.72","114,918,627.99","126,270,037.48","112,811,181.43","125,297,836.34","111,729,480.15","111,249,738.27","116,995,911.57","180,210,946.18","170,334,457.96","165,615,965.10",,"200,682,158.35",
预付款项,"15,114,560.16","10,602,073.01","5,858,359.08","8,641,849.01","8,127,860.35","6,387,864.21","4,149,516.41","7,353,341.22","11,516,299.75","41,379,699.90","28,368,158.95","32,519,312.75","17,034,970.63","25,191,658.32","19,192,276.72","30,176,284.51","26,205,323.93","37,853,966.97","52,189,646.65","53,344,331.28","41,052,477.65","56,150,699.26"
预收款项,"3,697,593.40","5,160,186.00","5,625,191.41","22,768,302.88","20,868,105.88","29,320,857.52","23,062,509.81","14,645,522.72","183,991,805.95","222,250,468.41","190,595,321.79","181,043,571.13","125,269,567.84","137,929,573.89","129,837,098.48","138,359,882.10","148,925,795.85","178,002,853.80","144,709,735.64","198,398,079.48","146,480,149.20","122,759,125.05"
