科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"192,317,222.62","265,082,631.24","309,906,458.35","311,978,554.75","804,443,035.04","758,791,835.89","731,838,502.82","839,017,361.72","467,978,929.68","369,614,707.78","271,328,487.66","247,751,041.04","304,117,555.47"
短期借款,,,,,,,,,,,"100,000,000.00","100,000,000.00","100,000,000.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,
应收账款,"52,408,028.99","40,240,755.09","56,861,084.41","58,137,931.03","74,802,959.15","73,438,511.63","73,094,010.48","75,224,213.33","75,529,641.87","80,188,190.61","109,714,767.74","101,941,786.52","121,623,266.45"
应付账款,"2,227,299.36","149,735.41","406,054.95","422,523.85","1,407,992.26","1,362,773.55","420,541.93","875,004.81","1,989,441.75","1,975,741.66","9,059,832.68","8,357,658.23","20,505,527.83"
预付款项,"152,500.00","100,550.47","1,089,955.85","1,372,717.21","395,495.30","2,062,863.18","720,589.84","1,261,449.53","1,505,869.17","3,378,491.07","19,663,963.51","52,137,177.66","79,792,515.40"
预收款项,"96,284.40","283,018.87","508,524.35","508,524.35",,"56,603.77","56,761.81","56,603.77","848,542.77","836,854.20","999,523.26","1,974,107.36","9,069,425.72"
其他应收款,"6,109,174.77","1,769,686.74","1,946,393.77","1,548,867.50","1,114,613.37","5,186,731.48","1,352,569.27","1,350,417.66","1,338,959.63","1,286,504.41","1,445,338.50","863,428.71","1,018,173.99"
应付职工薪酬,"12,326,439.99","14,535,599.53","13,916,889.87","7,211,610.90","8,537,030.72","11,447,616.16","14,893,085.87","11,984,726.42","8,625,005.53","8,821,998.26","8,486,829.75","6,580,911.92","3,652,349.98"
应收关联公司款,,,,,,,,,,,,,
应交税费,"1,926,368.08","7,067,994.81","9,086,371.21","2,734,947.31","6,242,142.96","5,683,138.57","6,116,696.41","1,375,491.08","2,523,517.16","1,916,653.29","1,724,935.68","2,146,360.04","3,666,795.45"
应收利息,"764,268.49","4,155,229.17","3,332,400.00","265,112.50",,,,,,,,,
应付利息,,,,"49,875.00","44,887.50","56,732.81","56,732.81","94,485.42","102,556.60","349,310.33","600,794.60","600,480.09","569,648.88"
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,
存货,"135,404.04",,"12,924.96","26,306.33","16,265.26","15,627.51","15,115.18","15,115.18","6,812,128.60","6,927.95",,,
其他应付款,"307,013.34","3,325,190.25","2,186,210.48","1,785,407.34","14,158,418.03","2,042,776.43","2,121,673.56","2,769,064.56","124,395,693.49","13,654,350.66","7,402,005.94","4,639,987.20","11,974,870.94"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","10,000,000.00","24,000,000.00","37,500,000.00","51,500,000.00","51,000,000.00","56,000,000.00"
其他流动资产,"14,483,748.64","3,491,371.18","2,636,003.32","3,392,916.30","3,336,704.16","56,937,219.52","107,842,157.23","9,278,462.59","14,800,000.58","150,394,806.62","241,925,600.03","175,272,250.12","77,617,681.19"
其他流动负债,"38,444.12","442,278.07","899,535.42","1,026,072.18","1,094,545.76","1,014,307.48","574,304.97","130,435.22","50,982.43","74,502.63","1,022,902.69","1,608,538.49","1,312,110.65"
