科目,2005年度
销售商品、提供劳务收到的现金,"23,101,525,000.00"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"98,039,000.00"
投资活动现金流出小计,"843,615,000.00"
经营活动现金流入小计,"23,199,564,000.00"
投资活动产生的现金流量净额,"-828,571,000.00"
购买商品、接受劳务支付的现金,"18,398,213,000.00"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"515,969,000.00"
取得借款收到的现金,
支付的各项税费,"1,696,110,000.00"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"446,893,000.00"
筹资活动现金流入小计,
经营活动现金流出小计,"21,057,185,000.00"
偿还债务支付的现金,"595,658,000.00"
经营活动产生的现金流量净额,"2,142,379,000.00"
分配股利、利润或偿还利息支付的现金,"351,000,000.00"
收回投资收到的现金,
支付其他与筹资活动有关的现金,"112,871,000.00"
取得投资收益收到的现金,"857,000.00"
筹资活动现金流出小计,"1,059,529,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"6,895,000.00"
筹资活动产生的现金流量净额,"-1,059,529,000.00"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,"3,871,000.00"
收到其他与投资活动有关的现金,"7,292,000.00"
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"15,044,000.00"
五、现金及现金等价物净增加额,"258,150,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"543,615,000.00"
期初现金及现金等价物余额,"9,565,000.00"
投资支付的现金,"300,000,000.00"
期末现金及现金等价物余额,"267,715,000.00"
