科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"45,831,938.33","45,977,523.12","83,851,050.64","31,751,448.17","63,067,192.09","76,954,058.76","273,183,987.67","172,637,775.80","92,397,637.67","147,504,519.06","83,761,692.69","71,791,560.26","89,022,292.00","221,760,577.53","135,527,094.93","174,764,049.66","152,050,643.56","198,128,490.56","138,459,848.65","181,751,862.12","525,167,064.85"
短期借款,,"26,802,229.66","10,000,000.00","52,495,262.57","88,547,690.89","75,149,614.46","14,113,230.32","11,081,356.74","1,771,920.00","1,731,677.00","107,744,934.30","132,926,032.46","127,267,664.30","20,163,252.54","44,956,480.80","52,497,450.00","49,214,554.50","90,198,634.98","81,500,320.37","225,514,719.04","201,826,947.55"
交易性金融资产,,,,,,,,,,,,,,,,,,"26,216,905.45","26,216,905.45",,
交易性金融负债,,"34,846.92",,,,,,,,,,,,,,,,,,,
应收票据,"6,471,759.00","19,349,068.58","25,438,889.86","40,782,055.44","23,502,401.47","31,306,055.28","19,641,582.57","34,377,077.32","26,553,752.91","40,465,672.94","43,481,082.98","62,410,729.44","54,795,072.46","113,690,610.36","123,956,784.47","116,463,774.52","203,131,381.19","241,425,680.70","168,151,195.93","227,957,942.46","376,768,876.45"
应付票据,,"6,611,700.00","32,381,333.30","11,496,990.00","10,318,290.00","22,800,000.00","33,550,000.00","30,800,000.00","27,100,000.00","46,950,000.00","45,200,000.00","46,200,000.00","52,107,044.00","77,339,575.90","60,308,490.34","64,778,411.71","109,252,280.87","119,356,214.72","109,482,500.00","114,605,212.00","184,075,207.15"
应收账款,"104,771,125.98","137,136,098.29","139,677,369.51","135,263,499.19","156,749,120.43","138,709,304.72","142,878,101.16","162,693,468.16","198,065,733.41","184,670,240.83","191,391,451.44","238,255,690.64","299,308,720.58","266,320,667.51","316,395,618.99","394,917,167.95","511,769,833.92","443,041,619.49","551,617,697.05","580,095,771.88","629,428,167.72"
应付账款,"41,508,353.30","44,094,544.72","75,853,846.43","73,283,586.77","80,018,862.75","88,145,857.35","66,285,718.85","72,595,447.47","88,593,345.39","82,260,229.04","94,875,456.86","132,763,122.42","148,296,356.08","157,158,301.30","213,068,037.18","209,035,872.46","239,508,234.50","286,792,230.12","333,308,013.56","385,029,423.41","458,000,293.66"
预付款项,"6,538,229.73","4,820,763.81","13,874,209.26","10,730,587.55","11,582,552.75","11,183,661.06","9,824,659.04","11,176,143.83","10,717,976.87","5,602,294.86","132,697,285.92","10,578,271.55","16,255,232.79","24,653,743.19","69,661,413.42","19,098,162.02","28,212,070.88","22,751,917.12","26,944,240.39","43,746,865.31","70,073,971.15"
预收款项,"1,423,391.98","1,070,918.91","4,912,188.57","2,950,725.61","2,547,607.79","9,235,457.89","6,174,000.00","7,202,588.11","8,150,392.13","8,314,352.16","10,435,423.48","10,271,868.14","8,302,077.08","10,488,887.82","11,397,177.74","9,088,165.76","36,301,205.27","18,875,576.62","19,082,216.48","16,085,440.46","16,951,762.22"
