科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,453,446,711.98","1,927,579,304.86","351,502,710.65","1,564,286,442.09","354,648,980.39","816,212,745.27","1,486,216,708.49","1,882,482,545.00","499,929,399.60","964,622,780.40","1,677,841,477.55","2,160,316,556.78","461,841,041.62","936,622,335.05","1,785,891,248.88","2,305,875,491.07","462,428,145.96","1,005,811,068.86","1,971,282,467.24","2,646,479,089.44","540,084,624.67","1,134,497,476.97","2,171,885,467.55","2,866,067,735.38","634,241,341.24","1,291,722,737.09","2,439,481,164.50","3,176,484,532.78","698,787,636.68","1,567,298,293.80","2,648,773,714.45","3,603,322,860.32","747,265,681.46","1,657,058,306.32","3,102,173,426.46","4,280,610,146.07","885,156,075.83","2,197,534,530.40","4,242,010,369.89","5,934,673,688.59","1,461,055,591.23"
二、营业利润,"109,633,186.86","228,413,053.40","65,960,078.48","286,646,352.90","73,243,026.14","178,770,174.30","303,297,508.82","354,629,993.31","93,958,112.02","192,997,456.04","309,494,972.38","363,665,237.36","65,021,948.71","149,537,218.98","308,176,867.47","357,572,177.52","70,264,409.92","164,290,464.65","366,897,863.96","489,433,126.68","111,259,473.64","269,980,467.17","512,315,419.26","628,506,249.97","104,528,293.30","250,936,110.83","526,224,276.81","606,932,422.96","144,203,967.86","314,716,729.54","607,830,228.41","844,505,737.11","139,660,654.58","330,779,657.36","563,984,533.03","709,437,195.25","124,340,736.07","393,903,435.40","721,079,519.23","883,667,203.49","189,617,632.23"
减:营业成本,"1,228,722,687.72","1,532,499,937.16","263,825,470.02","1,143,042,835.77","249,353,789.54","564,681,419.26","1,048,210,462.53","1,319,743,175.01","356,889,770.81","696,187,355.95","1,233,291,079.95","1,586,850,018.82","364,196,172.24","702,835,037.46","1,318,186,715.04","1,710,774,145.02","350,893,390.69","737,778,261.86","1,445,314,244.12","1,917,293,185.23","389,072,570.20","797,609,843.26","1,519,088,189.23","2,011,201,701.45","477,018,126.05","972,874,282.04","1,794,511,091.91","2,314,737,015.75","483,839,457.07","1,086,107,532.51","1,811,170,644.04","2,429,836,556.47","492,896,875.75","1,074,280,120.83","2,028,192,121.27","2,882,261,222.03","599,407,366.46","1,577,647,622.74","3,083,487,050.32","4,187,547,796.81","943,774,328.80"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"734,130.40","1,920,287.34","308,660.41","1,767,185.74","155,168.55","443,008.35","961,118.64","1,955,291.22","756,881.66","1,462,401.87","2,128,878.52","3,068,448.50","614,041.54","1,344,500.53","2,249,820.64","3,783,287.35","846,603.10","2,231,555.18","3,076,351.42","4,833,497.95","997,195.07","2,516,888.06","3,621,794.29","5,599,924.81","1,207,444.42","2,555,576.99","4,366,243.87","7,084,568.66","1,472,861.01","2,507,597.84","4,561,717.55","12,611,838.28","3,459,661.50","8,205,776.72","14,830,096.96","22,649,960.25","7,751,650.64","12,796,898.81","18,361,848.89","32,147,600.07","10,017,806.10"
营业外收入,"427,000.00","1,209,356.08","2,048,721.88","6,099,950.03","2,533,180.70","5,169,470.53","8,249,480.89","11,933,204.91","2,715,089.93","5,096,686.40","6,651,377.38","11,362,123.51","1,084,763.98","1,548,937.23","3,461,571.67","12,217,684.40","34,486,087.42","37,881,683.54","39,905,674.02","40,683,199.65","1,845,674.77","4,365,103.52","7,490,968.83","9,090,382.56","1,181,438.50","1,900,432.23","9,963,680.23","17,330,682.91","485,409.37","5,849,131.50","8,734,570.42","11,755,605.33","1,649,042.08","762,380.68","979,892.92","4,070,207.40","210,377.31","173,447.97","1,589,280.34","1,104,530.20","119,946.86"
销售费用,"47,195,100.43","63,072,062.97","9,134,674.75","50,278,054.43","13,763,431.08","29,068,079.01","50,272,875.22","76,143,648.50","18,851,867.42","43,588,547.56","70,562,504.23","110,870,166.13","28,664,028.69","59,244,414.65","97,460,406.08","143,048,131.04","24,693,268.82","56,068,623.28","92,985,265.02","159,195,510.28","33,390,044.19","67,789,959.71","99,565,401.42","139,023,276.99","33,067,782.82","69,297,059.02","103,723,858.96","145,218,980.18","31,802,231.77","71,779,241.67","116,134,892.09","180,408,524.95","50,561,396.46","106,682,612.25","183,176,296.38","241,568,826.14","66,056,052.76","160,127,200.93","263,392,396.14","420,521,471.66","142,841,197.56"
减:营业外支出,"1,978,570.36","2,794,800.69","507,682.37","2,520,724.96","95,968.84","2,075,134.62","3,308,905.91","4,296,324.78","612,929.20","1,214,738.32","2,286,041.03","3,348,995.11","559,471.62","1,862,133.30","3,073,782.49","4,624,232.75","623,213.71","1,519,844.22","2,842,223.73","3,444,977.51","750,769.41","2,207,684.42","3,896,870.64","5,246,164.01","1,171,792.41","2,927,146.82","5,030,520.69","5,686,446.05","1,183,956.32","2,129,982.12","3,300,501.76","9,683,463.93","260,263.10","2,286,701.15","3,208,606.17","2,788,527.69","1,507,130.50","2,574,097.85","2,726,796.10","4,186,098.65","23,682.00"
管理费用,"43,522,487.86","56,053,321.84","13,962,059.49","67,144,159.91","19,140,315.43","31,228,225.69","52,119,827.03","93,797,509.15","22,666,243.44","49,545,157.71","76,030,686.14","111,412,616.80","24,297,166.17","52,388,731.38","85,558,074.03","130,150,603.02","27,408,650.03","67,463,577.70","99,066,041.46","149,547,996.08","27,699,488.72","67,948,864.86","104,497,038.80","166,187,982.75","37,119,686.12","83,997,560.17","129,318,670.71","218,463,754.47","63,082,546.87","125,702,227.94","186,875,941.00","264,602,286.23","67,910,093.29","142,948,177.59","233,009,591.48","344,809,002.27","92,482,839.67","188,160,230.75","194,184,139.20","311,646,046.47","106,510,275.33"
其中:非流动资产处置净损失,"52,277.30","416,471.73",,"8,098.31",,"7,576.26","150,297.72","305,514.13",,,,,,"14,448.82","85,220.12","1,279,070.23",,"7,879.92","12,863.79","49,575.24","18,436.41","95,123.95","180,808.61","459,957.14","5,870.70","104,843.06","570,903.59","724,834.81","195,483.38","197,240.00","216,796.59","1,514,990.37","75,345.30","103,293.08","254,088.57",,,,,,
