科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"242,818,680.62","271,914,741.84","263,861,825.00","203,839,474.57","506,802,687.55","560,710,977.54","517,990,101.59","524,250,053.37","495,266,859.86","354,564,473.26","407,601,254.06","394,627,821.67","291,250,810.74","157,211,159.70","105,977,468.75"
短期借款,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,
应付票据,"693,000.00",,,,,,,,"8,675,800.00",,,,,,
应收账款,"62,120,610.76","78,908,009.94","102,872,390.35","137,510,130.67","112,777,112.09","119,687,079.70","131,529,772.76","116,769,176.09","145,925,933.10","130,151,138.16","139,204,346.15","126,294,254.94","150,896,195.11","139,509,325.86","167,842,242.94"
应付账款,"4,851,735.45","5,560,393.82","7,133,479.09","15,491,925.96","5,418,495.09","10,726,613.79","8,761,869.61","8,259,289.84","10,561,454.82","12,992,289.53","12,588,179.02","13,877,026.49",,"13,806,222.40",
预付款项,"494,431.88","36,666.67","16,666.63","4,926,882.41","4,330,771.05","4,166.59","2,916.58","2,770,485.75","3,825,842.74","15,781.64","133,307.88","835,173.18","2,115,849.71","454,166.51","452,916.50"
预收款项,"916,237.09","18,758,123.08","13,313,148.60","3,652,681.50","60,000.00","40,000.00","80,000.00",,,"1,312,076.86","1,312,076.86","766,630.00","766,630.00","701,213.93","701,213.93"
其他应收款,"1,082,589.70","1,388,443.83","3,898,626.68","6,998,031.22","2,692,650.53","4,414,582.31","4,572,082.31","6,822,094.62","5,315,021.05","3,945,105.26","5,720,237.10","7,434,120.47","8,720,776.52","3,339,163.39","5,666,152.46"
应付职工薪酬,"8,843,220.44","6,164,060.54","6,893,064.47","7,275,402.68","1,687,447.18","7,207,367.67","7,505,180.84","7,609,048.39","1,794,057.20","9,349,808.58","9,747,249.38","9,839,086.76","2,841,963.79","12,789,911.40","11,439,302.67"
应收关联公司款,,,,,,,,,,,,,,,
