科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"13,888,442.26","45,374,987.00","11,344,504.15","377,637,380.13","360,915,416.76","329,704,797.90","325,058,434.56","293,285,325.86","272,947,574.83","295,167,844.73","299,933,321.54","311,113,373.58","265,737,243.80","268,768,035.76","291,465,235.72","294,320,992.75","270,359,890.97","259,244,868.89","595,624,209.81","739,919,148.95","976,930,836.55","948,489,409.87","1,109,789,002.15","332,957,982.85","704,461,610.61","513,247,145.66","819,213,006.12","1,252,974,384.11","1,586,076,988.96","1,342,828,821.95"
短期借款,"22,000,000.00","60,000,000.00","140,831,995.00",,,,,,,,,,,,,,,,"5,658,000.00",,,"24,420,056.49","31,394,706.96","12,649,745.37","309,809,000.00","307,871,500.00","372,878,500.00","473,084,500.00","632,963,000.00","532,899,500.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,830,000.00","20,240,000.00","9,572,000.00","21,330,000.00","31,809,800.00","46,648,400.00","45,757,000.00","28,909,381.59","48,823,932.99","49,787,530.23","40,075,930.00","35,845,930.00","56,269,005.60","47,460,000.00","44,941,150.00","23,780,000.00","38,238,040.00","39,680,197.19","44,818,239.88","40,195,410.61","87,853,844.23","78,188,033.74","65,948,202.59","109,308,575.30","78,152,826.64","74,400,764.41","94,638,841.21","102,553,242.87","98,760,000.00","56,960,000.00"
应付票据,"21,321,000.00","6,367,250.00","2,700,000.00",,,"7,944,000.00","9,594,000.00",,"2,443,000.00","1,497,000.00","1,409,000.00","1,396,000.00",,,,,,,"4,366,400.00","4,366,400.00","40,000.00","4,040,000.00","4,000,000.00","9,000,000.00","15,846,398.14","15,637,051.66","17,414,395.42","33,297,999.45","39,835,729.73","15,161,472.18"
应收账款,"25,627,572.00","41,068,176.60","49,876,958.00","62,583,289.56","48,398,918.81","45,357,328.13","37,742,838.60","61,973,701.21","61,878,726.43","43,721,017.29","45,046,891.73","38,611,661.05","36,180,430.35","32,543,309.63","52,023,883.65","51,137,704.13","51,085,460.09","65,192,182.00","243,219,192.83","322,241,405.18","393,161,066.64","364,332,290.67","466,714,371.32","499,468,490.73","543,222,051.05","627,822,381.10","815,645,754.68","781,879,182.37","680,206,286.86","667,601,735.11"
应付账款,"25,872,064.51","53,501,800.53","59,284,160.30","64,552,178.65","59,779,080.06","57,092,233.75","56,117,526.10","48,892,014.47","54,267,446.17","56,367,001.56","35,558,215.73","49,432,241.25","40,712,864.67","35,310,919.36","52,093,694.59","41,119,690.12","56,898,102.36","59,600,373.91","368,811,142.91","468,701,257.56","581,633,065.27","548,030,349.27","602,937,608.04","542,988,667.73","606,772,325.57","613,705,270.55","700,713,118.00","844,703,315.61","730,370,730.03","635,391,495.24"
预付款项,"2,425,715.45","14,434,046.20","57,552,606.41","53,943,542.68","47,853,961.26","12,685,820.14","11,080,145.50","10,758,983.18","12,882,408.12","9,101,704.20","10,175,843.47","11,360,879.87","15,335,593.85","8,588,600.41","14,447,499.16","28,830,746.44","32,564,585.57","7,343,489.89","150,569,454.25","176,343,489.80","207,463,840.98","181,872,343.76","219,864,041.55","323,043,815.21","341,758,099.72","327,570,418.03","291,963,008.64","371,852,768.08","258,747,877.83","310,438,191.22"
预收款项,"7,998.80","25,080.00","81,088.00","490,692.00","166,938.20",,"4,050.00",,"117,648.00",,"117,648.00",,,"633,333.34","443,333.33","253,333.28","63,333.23","633,333.54","18,529,226.78","22,367,182.91","29,000,499.86","42,796,496.26","57,220,501.08","44,959,410.97","39,399,870.57","49,503,242.43","59,679,946.95","62,183,380.53","57,520,441.31","72,187,026.52"
其他应收款,"367,895.60","379,946.65","308,451.95","199,700.03","135,895.88","100,583.15","534,624.14","421,683.90","238,565.90","5,185,815.90","35,150.00","42,850.00","223,445.00","184,403.90","4,500.00","219,603.33","172,110.03","402,592.09","27,204,286.17","38,475,118.10","64,479,402.19","48,633,497.44","59,012,155.75","60,446,826.21","105,305,011.02","136,751,631.30","122,662,618.02","275,630,567.29","138,807,692.55","118,658,882.49"
应付职工薪酬,"1,601,823.90","2,171,378.17","3,289,327.20","3,249,537.70","4,086,457.62","4,133,826.82","4,395,689.31","4,235,890.23","4,256,906.18","4,198,289.35","5,193,757.36","5,428,126.50","6,096,905.94","6,081,834.31","5,597,667.24","5,375,598.04","3,555,476.04","4,109,489.15","42,474,067.05","33,722,130.03","35,474,612.64","50,517,673.36","71,384,501.14","51,138,554.32","53,501,369.46","65,356,312.97","81,943,285.80","57,502,315.98","68,145,972.64","82,076,575.16"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,195,143.34","4,293,685.81","-4,091,125.49","-260,168.19","4,667,124.16","-2,867,340.45","-4,403,839.61","-184,585.47","1,306,581.74","-943,327.26","2,941,850.54","819,322.70","2,582,928.25","1,199,320.15","1,828,057.12","2,839,470.67","1,707,029.35","2,680,963.72","45,134,455.84","32,465,059.19","54,647,510.84","40,567,749.26","76,567,973.58","73,760,054.43","70,961,989.73","58,366,701.45","53,798,244.69","85,103,234.88","57,674,140.02","49,932,548.66"
应收利息,,,,,,,"623,527.78",,"507,194.45","467,319.45","605,366.47","547,372.03","987,799.81","1,129,730.35","1,314,072.22","1,616,566.64","1,812,211.11","3,411,000.00","4,422,098.63","7,148,721.92","3,869,476.22","5,570,976.22","2,380,560.86","2,002,222.60",,"74,082.19",,,"392,693.94","840,100.82"
应付利息,,"103,050.00","236,997.45",,"51,585.00",,,,,,,,,,,,,,,,,,,,"326,250.00","326,250.00","411,567.28","530,909.75","637,223.98","413,987.13"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,"70,400,000.00",,,,,,,,,,,
存货,"30,915,427.99","36,112,902.18","52,035,248.54","63,680,191.70","56,119,275.05","52,732,829.99","57,894,261.08","56,153,942.85","53,397,945.51","54,321,380.74","49,015,799.54","63,195,575.92","50,331,159.56","56,276,750.78","47,316,965.04","50,239,809.43","54,377,928.68","63,469,973.07","58,739,157.43","61,879,178.84","80,432,075.59","69,710,993.71","67,554,971.78","81,504,079.71","56,290,538.27","75,889,916.90","71,481,925.54","106,615,660.37","103,202,703.49","118,041,582.85"
其他应付款,"5,930,497.95","17,837,570.00","15,109,214.69","5,124,720.11","15,940,440.62","8,185,099.51","9,493,690.58","8,298,537.77","8,430,664.16","1,781,344.09","1,361,007.06","1,041,069.94","1,199,129.04","1,311,657.46","2,431,466.34","1,487,873.63","2,424,682.04","4,425,334.94","13,334,839.69","9,036,226.45","147,018,000.50","150,920,511.40","62,988,705.81","326,127,496.61","320,817,200.12","265,315,696.72","293,166,635.18","265,090,129.32","733,934,613.45","113,404,361.07"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000.00","12,000,000.00"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,749,272.32"
其他流动资产,,,,,,,"608,006.43",,"633,146.67","675,730.78","953,140.02","948,628.52","4,511.50","491,556.39","243,150.41",,,,"93,742,081.72","4,511.49","31,448,307.06","190,637,409.46","129,616,771.46","290,254,840.34","203,440,249.11","368,575,780.88","234,948,261.89","236,284,236.35","436,197,620.28","220,394,976.80"
其他流动负债,,,,,,,,,,,,,,"1,202,500.00",,,,,,"70,935.09",,,,,,,"44,259,562.28","41,615,638.45","34,419,744.11","32,809,883.56"
流动资产合计,"76,055,053.30","157,610,058.63","180,689,769.05","579,374,104.10","545,233,267.76","487,229,759.31","479,298,838.09","451,503,018.59","451,309,494.90","458,428,343.32","445,841,442.77","461,666,270.97","425,069,189.47","415,442,387.22","451,756,456.20","450,145,422.72","448,610,226.45","438,744,303.13","1,218,338,720.72","1,386,206,984.89","1,845,638,849.46","1,887,434,954.87","2,120,880,077.46","1,698,986,832.95","2,032,630,386.42","2,124,332,120.47","2,450,553,416.10","3,127,790,041.44","3,314,391,863.91","2,847,764,291.24"
流动负债合计,"78,928,528.50","144,299,814.51","217,441,657.15","73,156,960.27","84,691,625.66","74,487,819.63","75,201,116.38","61,241,857.00","70,822,246.25","62,900,307.74","46,581,478.69","58,116,760.39","50,591,827.90","45,739,564.62","62,394,218.62","51,075,965.74","64,648,623.02","71,449,495.26","568,708,132.27","570,729,191.23","847,813,689.11","861,292,836.04","906,493,996.61","1,060,623,929.43","1,417,434,403.59","1,376,082,025.78","1,624,265,255.60","1,863,111,423.97","2,355,501,595.27","1,562,026,121.84"
可供出售金融资产,,,,,,,,,,,,,,,,,,,"90,358,524.57","135,932,458.24","135,237,328.65","245,830,763.36","286,208,504.29","531,185,737.33","630,043,431.64","689,048,557.09","785,068,643.78","831,861,376.32","933,101,349.56","920,412,122.06"
长期借款,"25,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,950,687.95"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,757,428.88","25,947,565.88","25,396,114.85","25,312,401.55"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,"16,941,169.16","24,949,900.54","50,659,033.85","178,082,762.78","170,151,788.19","608,672,823.41","619,665,891.80","629,489,915.36","786,567,839.80","721,563,993.27","426,959,295.67","474,976,681.47"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"104,709,625.07","116,377,871.17","170,947,182.67","174,075,906.63","230,125,544.18","230,669,271.67","317,679,429.46","285,656,932.75","289,897,618.79","286,760,893.21","328,977,836.87","320,291,699.14","311,210,586.43","309,399,619.46","321,343,594.33","311,490,190.13","301,504,827.71","295,371,556.92","340,013,859.51","336,943,065.42","327,425,871.81","317,345,724.11","311,230,117.30","297,625,428.73","289,675,093.84","279,519,402.00","271,491,379.50","261,421,749.07","270,647,407.87","264,057,255.51"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,"1,346,198.21",,,,,,,
在建工程,"8,459,775.35","3,954,076.79","18,870,462.04","41,204,678.81","35,949,948.20","88,689,514.82","17,008,946.67","65,842,055.45","71,384,363.26","62,131,511.47","19,670,305.93","24,878,588.70","25,102,778.79","18,448,676.62","2,832,962.43","3,468,553.78","3,906,365.02","3,117,571.96","2,173,974.75","394,514.14","873,092.66","1,272,110.31","1,205,452.93","9,480,513.45","17,166,815.60","26,342,668.95","31,078,391.88","41,321,674.05","97,598,810.58","125,873,094.55"
其他非流动负债,,,,,,,,,,,,,,,"1,170,000.01","1,137,500.02","1,105,000.03","1,316,997.83",,"3,538,661.35",,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"25,000,000.00",,,,,,,,,,,,,,"1,170,000.01","1,137,500.02","1,105,000.03","1,316,997.83","5,493,187.82","5,746,081.08","5,247,021.19","5,281,380.29","5,891,342.43","13,508,351.67","10,978,144.12","10,094,719.81","32,796,472.26","34,353,047.24","38,365,228.42","354,075,335.73"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"103,928,528.50","144,299,814.51","217,441,657.15","73,156,960.27","84,691,625.66","74,487,819.63","75,201,116.38","61,241,857.00","70,822,246.25","62,900,307.74","46,581,478.69","58,116,760.39","50,591,827.90","45,739,564.62","63,564,218.63","52,213,465.76","65,753,623.05","72,766,493.09","574,201,320.09","576,475,272.31","853,060,710.30","866,574,216.33","912,385,339.04","1,074,132,281.10","1,428,412,547.71","1,386,176,745.59","1,657,061,727.86","1,897,464,471.21","2,393,866,823.69","1,916,101,457.57"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"50,000,000.00","50,000,000.00","50,000,000.00","67,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","324,854,868.00","324,854,868.00","877,108,143.00","877,108,143.00","1,042,397,394.00","1,042,397,394.00","2,084,794,788.00","2,084,794,788.00","2,084,794,788.00","2,084,794,788.00","2,148,110,844.00","2,148,110,844.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"8,770,516.72","18,737,360.29","8,737,360.29","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","547,353,502.84","2,251,800,263.46","2,251,800,263.46","1,701,088,572.37","1,700,947,162.16","1,975,551,294.76","1,975,477,381.68","933,266,864.07","933,268,444.34","934,484,599.29","934,606,746.81","1,951,832,455.54","1,951,858,751.51"
无形资产,"9,114,010.94","9,103,601.13","25,960,601.64","25,797,428.41","25,634,787.94","25,472,147.47","25,309,507.00","25,168,366.53","25,007,861.09","24,844,615.73","24,696,861.12","24,552,825.14","24,868,393.28","36,690,370.61","24,502,658.79","24,337,706.17","24,151,887.39","48,412,732.57","94,934,188.67","96,772,345.40","95,189,840.19","79,181,361.77","51,305,810.10","48,779,756.67","49,678,567.32","45,429,554.62","43,864,656.11","50,305,955.67","52,399,608.22","49,634,629.86"
盈余公积,"3,585,908.01","7,438,574.83","12,442,088.83","12,442,088.83","12,442,088.83","12,442,088.83","16,637,972.70","16,637,972.70","16,637,972.70","16,637,972.70","18,017,514.07","18,017,514.07","18,017,514.07","18,017,514.07","18,545,789.78","18,545,789.78","18,545,789.78","18,545,789.78","33,147,832.07","33,147,832.07","33,147,832.07","33,147,832.07","35,052,527.43","35,052,527.43","35,052,527.43","35,052,527.43","93,488,947.26","93,488,947.26","93,488,947.26","93,488,947.26"
开发支出,,,"2,857,061.01","5,098,493.46","2,568,880.32","3,866,365.74","797,601.01","1,037,485.22","1,765,748.81","2,590,974.95","1,093,509.46","1,212,424.38","1,279,231.81","1,669,780.77","74,995.39","262,447.83","330,038.54","392,761.58","11,068,363.00","5,187,693.12","7,278,065.26","9,079,427.77","8,503,771.44","8,608,430.34","2,480,551.86","4,433,248.13","8,689,105.40","2,581,757.52","2,972,505.94","3,465,145.58"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,"1,580,240,699.75","1,580,240,699.75","1,580,240,699.75","1,580,240,699.75","1,579,976,961.87","1,579,976,961.87","1,579,976,961.87","1,579,976,961.87","1,579,976,961.87","1,579,976,961.87","2,839,770,547.80","2,839,770,547.80"
未分配利润,"32,184,384.35","66,900,813.67","111,119,479.72","126,093,593.38","61,432,613.53","68,009,076.29","67,215,617.07","70,437,865.47","71,052,785.32","74,221,344.13","74,686,587.72","75,421,033.68","37,860,019.19","36,803,846.97","37,639,474.94","38,176,797.80","13,436,131.21","14,101,764.96","34,450,879.29","125,162,490.63","218,233,772.54","355,890,939.76","506,077,201.90","717,320,420.95","887,841,580.73","1,154,020,169.83","1,413,567,635.94","1,846,600,786.00","2,055,638,675.51","2,416,427,483.22"
长期待摊费用,,,,,,,,,,,,,,,,,,,"56,187,289.67","59,618,858.12","54,981,947.97","49,700,555.68","89,933,475.74","125,285,887.07","129,654,791.53","133,551,517.93","101,966,657.36","85,836,295.36","77,817,155.14","94,574,324.53"
