科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"2,270,306,935.64","3,607,178,593.46","3,975,377,635.82","1,122,175,427.69","2,293,812,326.88","3,647,790,673.19","5,248,384,826.76","1,439,572,265.07","3,142,789,332.04","5,279,408,885.11","7,835,999,796.19","2,102,886,613.18","4,467,580,729.29","7,292,145,787.40","10,639,570,117.84","2,916,580,265.15","6,499,260,925.60","11,143,303,857.14","16,661,124,004.23","4,019,170,346.08","8,225,167,340.36","13,194,170,998.94","18,444,915,959.83","3,486,997,935.94","7,341,704,620.16","11,655,307,312.22","16,098,085,185.45","3,276,612,096.42","7,386,751,555.49","11,822,772,489.30","16,840,937,066.60","3,959,612,530.04","8,384,792,664.80","13,385,238,107.84"
二、营业利润,"103,118,105.15","167,692,707.89","317,334,608.25","92,832,151.40","158,666,728.09","232,440,323.93","356,950,930.91","145,310,370.02","262,805,854.48","376,759,330.47","604,719,443.35","220,132,847.87","371,581,624.47","507,366,201.95","806,684,869.83","236,500,103.23","371,210,939.30","512,406,745.53","929,092,173.88","188,798,125.19","310,467,602.71","483,473,128.63","912,118,423.89","94,765,806.71","201,650,377.25","403,285,201.38","774,786,369.36","168,488,339.66","450,087,806.44","694,580,386.55","1,029,572,878.45","248,547,733.12","646,710,536.96","1,034,610,419.12"
减:营业成本,"1,786,308,463.21","2,867,561,521.49","3,017,800,356.18","840,391,037.13","1,752,881,294.37","2,826,821,932.80","4,046,191,263.58","1,078,023,091.61","2,431,416,021.08","4,161,810,117.31","6,151,086,982.84","1,591,675,027.24","3,470,438,101.23","5,759,166,237.66","8,357,863,670.58","2,264,098,327.08","5,128,928,225.53","8,938,574,527.59","13,206,309,364.64","3,127,087,048.55","6,415,361,750.96","10,397,943,111.87","14,391,323,150.56","2,667,860,345.20","5,650,303,428.79","8,992,052,296.13","12,187,989,798.74","2,378,369,533.70","5,412,423,611.45","8,864,832,496.99","12,650,311,478.29","2,971,822,123.66","6,292,274,277.66","10,130,954,326.42"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,578,084.55","2,418,315.89","2,099,389.86","338,168.74","712,554.82","1,396,482.93","2,025,398.49","568,368.46","1,090,106.04","1,722,153.37","2,490,766.41","689,918.81","1,681,958.85","2,465,637.10","3,034,542.83","526,813.46","1,305,216.29","2,114,110.68","3,306,708.13","655,174.10","1,663,080.12","2,467,762.52","3,493,645.53","498,431.93","1,320,705.08","2,204,249.80","3,316,432.57","780,434.63","1,833,267.53","2,713,755.53","32,092,468.45","10,531,883.97","22,149,069.79","33,379,991.73"
营业外收入,"19,678,542.59","17,624,045.90","22,364,993.88","1,562,704.53","6,098,763.84","14,614,219.55","30,293,182.55","5,620,563.57","11,342,284.04","14,636,679.19","25,471,660.66","3,553,557.80","14,708,841.74","21,911,646.74","42,029,330.19","9,075,325.44","21,385,545.69","30,562,806.63","50,277,562.89","17,009,571.94","43,964,547.51","52,113,089.70","75,373,646.15","28,647,581.51","45,366,563.72","60,936,326.49","106,507,210.96","14,475,229.56","36,009,117.31","62,555,650.51","126,143,886.00","13,363,829.61","5,049,476.24","6,985,273.57"
销售费用,"254,873,734.53","324,603,970.46","376,955,551.19","109,508,922.34","237,982,386.01","371,681,480.07","529,836,951.79","132,084,300.52","293,785,338.77","471,877,648.90","683,627,390.75","177,258,583.72","395,445,121.52","645,426,993.73","927,690,421.31","246,879,685.02","618,876,897.18","1,057,803,456.49","1,576,981,148.51","425,377,229.73","915,789,039.01","1,401,120,353.66","1,913,851,815.74","428,952,511.12","864,474,777.93","1,342,903,931.12","1,819,161,467.20","414,558,212.49","858,160,306.90","1,292,112,491.67","1,734,504,187.50","407,760,747.58","821,013,603.16","1,249,932,637.89"
减:营业外支出,"8,754,632.64","11,154,916.26","5,867,441.50","3,859,887.51","4,660,869.24","7,379,048.32","10,040,290.19","246,801.40","1,205,265.20","2,880,367.06","7,051,076.52","650,404.91","1,110,865.53","3,627,007.27","7,175,372.19","1,081,267.87","3,286,944.01","5,330,688.91","8,104,644.64","1,623,434.86","4,253,205.01","7,521,406.38","15,860,332.05","1,209,422.76","3,929,355.20","7,165,655.37","16,377,131.90","6,733,769.68","12,744,399.65","21,973,523.85","37,978,737.71","6,191,609.24","9,788,977.03","16,710,678.71"
管理费用,"116,830,314.95","202,668,553.50","230,801,305.68","70,714,054.26","129,325,558.91","201,888,419.87","311,491,074.87","82,975,360.29","163,221,795.15","280,205,593.95","404,305,597.64","112,202,279.32","236,466,995.71","384,186,172.04","567,994,798.51","155,650,411.12","353,477,964.02","587,313,220.87","912,151,636.37","237,295,045.62","517,107,145.13","807,181,984.80","1,116,954,388.41","247,820,423.08","539,992,673.49","861,963,877.15","1,259,825,864.98","291,487,153.23","619,674,066.90","906,363,390.69","1,269,840,958.60","295,601,906.70","599,074,260.30","895,663,478.66"
其中:非流动资产处置净损失,"251,795.14","1,180,156.74","824,334.23","1,324.22","15,114.43","1,242,285.84","2,444,468.20","34,420.99","86,660.41","1,513,035.15","2,080,792.08","4,474.40","13,384.71","740,222.73","2,472,094.57","447,674.36","492,014.54","589,169.97","2,048,022.57","322,686.18","2,430,346.49","3,668,353.14","6,522,279.92","362,396.82","946,816.68","1,479,987.71","4,004,295.98","1,953,330.95","4,375,725.59","7,213,320.86","16,273,111.43","233,172.74","1,921,535.32","2,976,895.20"
