科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30
货币资金,"40,070,289.87","123,305,807.28","196,486,981.95","218,765,917.14","304,386,239.93"
短期借款,"10,000,000.00","100,000,000.00","110,000,000.00","110,000,000.00","110,000,000.00"
交易性金融资产,"5,447,011.78",,,,
交易性金融负债,,,,,
应收票据,,"40,740,443.34","86,830,967.35","96,293,430.18","74,442,840.87"
应付票据,,,,,
应收账款,"164,707,753.61","217,438,212.85","265,530,655.76","346,296,979.52","396,932,925.55"
应付账款,"30,544,567.49","20,570,867.11","42,362,231.68","48,537,176.51","37,656,967.80"
预付款项,"15,995,283.44","19,646,807.45","13,184,458.94","15,972,931.34","20,561,563.52"
预收款项,"19,263,058.17","12,934,547.14","12,520,110.79","11,671,978.92","10,468,290.87"
其他应收款,"2,515,377.66","2,262,896.51","1,101,771.26","2,408,299.09","3,474,034.86"
应付职工薪酬,"10,015,727.25","19,331,621.09","26,474,932.53","27,981,404.37","26,758,830.31"
应收关联公司款,,,,,
应交税费,"24,947,917.34","41,136,059.72","41,039,024.22","56,560,268.15","63,181,644.60"
应收利息,,,,,
应付利息,"36,512.50","211,416.67","218,882.19","201,388.89","178,888.89"
应收股利,,,,,
应付股利,,,,,"42,000,000.00"
存货,"51,656,592.63","41,247,716.24","69,959,375.35","78,929,904.86","69,599,289.80"
其他应付款,"61,328,198.38","40,491,974.97","102,137,578.87","178,632,936.88","246,645,408.48"
其中:消耗性生物资产,,,,,
应付关联公司款,,,,,
一年内到期的非流动资产,,,,,
一年内到期的非流动负债,"80,000.00","80,000.00","15,220,000.00","15,220,000.00","220,000.00"
其他流动资产,,,,,
其他流动负债,,,,,
流动资产合计,"280,392,308.99","444,641,883.67","633,094,210.61","758,667,462.13","869,396,894.53"
流动负债合计,"156,215,981.13","234,756,486.70","349,972,760.28","448,805,153.72","537,110,030.95"
可供出售金融资产,,"4,226,085.27","4,681,725.54","3,353,459.45","7,036,920.96"
长期借款,"15,000,000.00","15,000,000.00",,,
持有至到期投资,,,,,
应付债券,,,,,
长期应收款,,,,,
长期应付款,,,,,
长期股权投资,,,,,
专项应付款,,,,,
投资性房地产,,,,,
预计负债,,,,,
固定资产,"158,981,565.90","197,969,685.49","202,732,050.31","248,070,336.60","249,873,949.83"
递延所得税负债,,,,,
在建工程,"540,000.00","1,116,496.00","43,543,827.13","29,246,120.13","36,636,230.76"
其他非流动负债,"4,608,930.63","8,653,930.63","9,323,930.63","7,963,930.63","8,858,930.63"
工程物资,,,,,
非流动负债合计,"19,608,930.63","23,653,930.63","9,323,930.63","7,963,930.63","8,858,930.63"
固定资产清理,,,,,
负债合计,"175,824,911.76","258,410,417.33","359,296,690.91","456,769,084.35","545,968,961.58"
生产性生物资产,,,,,
实收资本(或股本),"41,350,000.00","210,000,000.00","210,000,000.00","210,000,000.00","210,000,000.00"
油气资产,,,,,
资本公积,"1,799,827.04","95,915,219.50","96,302,513.73","95,173,487.55","98,304,429.83"
无形资产,"12,629,704.02","12,341,025.06","22,092,529.30","21,665,322.76","21,552,681.04"
盈余公积,"23,638,296.30","10,677,627.86","34,687,092.48","34,687,092.48","34,687,092.48"
开发支出,,,,,
减:库存股,,,,,
商誉,,,,,
未分配利润,"206,435,072.69","90,130,655.99","282,977,499.18","382,341,335.57","444,549,924.67"
长期待摊费用,,,,,
少数股东权益,"6,091,243.99",,,,"1,235,559.01"
递延所得税资产,"2,595,772.87","4,838,745.19","6,006,212.41","7,161,725.68","7,122,971.01"
外币报表折算价差,,,"-109,800.00","-236,420.40","-241,161.94"
其他非流动资产,,,"71,003,441.00","110,570,152.80","142,885,157.50"
非正常经营项目收益调整,,,,,
非流动资产合计,"174,747,042.79","220,492,037.01","350,059,785.69","420,067,117.42","465,107,911.10"
所有者权益(或股东权益)合计,"279,314,440.02","406,723,503.35","623,857,305.39","721,965,495.20","788,535,844.05"
资产总计,"455,139,351.78","665,133,920.68","983,153,996.30","1,178,734,579.55","1,334,504,805.63"
负债和所有者(或股东权益)合计,"455,139,351.78","665,133,920.68","983,153,996.30","1,178,734,579.55","1,334,504,805.63"
