科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"136,649,846.97","293,577,955.40","691,327,958.62","162,832,127.96","391,627,660.61","598,903,912.56","829,321,575.02","156,029,359.42","260,298,746.28","339,449,059.35","424,900,754.39","92,572,660.71","201,608,754.32","363,960,956.94","420,020,757.11","132,906,227.88","177,559,579.12","304,402,668.13","406,737,193.86","115,409,236.45","214,294,636.59","341,573,903.86","430,947,251.39","107,816,060.89","223,309,986.58","365,082,359.11","454,563,544.74","125,816,476.41","211,211,539.53","334,965,551.66","433,922,824.70","138,058,475.59","508,960,299.26","1,041,850,144.89","2,176,280,196.27","1,044,141,490.27","2,153,957,835.29","3,413,395,049.23","4,973,363,320.45","1,369,686,235.79","2,586,042,934.33","3,933,281,437.10"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,396,756.46",,,,,,"345,036,107.19","1,253,273,317.50","1,145,415,036.69",,,,"41,293,273.62",,"-4,560,780.00","-4,560,780.00"
收到的税费返还,"9,894,956.29","20,487,854.54","48,238,733.89","15,351,669.59","21,887,186.47","37,845,016.64","57,249,234.26","18,768,267.67","26,716,618.01","37,700,036.12","44,101,461.91","10,983,157.07","19,302,695.54","30,921,872.21","38,603,869.71","9,932,456.88","18,563,084.36","29,166,739.11","40,226,926.52","10,826,303.77","18,694,889.98","31,100,524.20","39,580,786.19","12,792,053.79","20,618,616.47","36,016,335.36","42,381,483.25","13,470,491.07","20,379,548.66","31,352,175.81","37,236,438.84","13,056,707.86","24,775,832.71","36,806,661.48","51,331,119.17","15,922,053.02","32,250,249.24","52,200,997.82","116,206,380.76","22,675,155.69","38,059,804.25","64,598,481.34"
支付其他与投资活动有关的现金,,,,,,,,,,"148,074.55",,,,,,,,,,"1,500,000.00",,,,"5,420,919.08","73,526,744.44","19,163,922.71",,,,"5,622,034.19",,,,"5,900,938.65",,,,"10,000,000.00","40,000,000.00",,"8,000,000.00","8,000,000.00"
收到其他与经营活动有关的现金,"31,943,948.05","74,904.25","1,839,304.89","2,054,783.12","928,829.62","34,389,331.31","3,251,282.86","44,308,760.67","5,780,006.95","42,268,101.02","49,587,594.15","15,362,951.90","6,615,866.48","6,797,375.59","5,863,919.31","941,363.98","2,188,400.42","1,750,620.89","3,256,782.09","207,760.75","3,110,612.56","2,892,286.97","4,001,243.49","327,081.46","12,331,724.44","77,706,639.38","121,623,649.96","17,132,661.91","16,339,724.36","20,171,039.40","123,741,826.72","2,556,693.71","40,071,107.44","160,440,638.03","161,641,839.11","20,040,803.25","32,830,831.30","119,518,542.62","210,972,094.94","39,933,257.15","71,154,213.22","84,428,166.02"
投资活动现金流出小计,"2,205,430.19","4,236,146.37","31,664,578.47","4,806,545.16","1,702,222.71","2,796,528.76","44,978,109.41","1,669,709.63","701,874.38","2,277,215.38","1,148,363.05","129,969.72","41,274,599.00","41,407,617.12","42,328,603.87","3,382,074.95","10,607,536.21","20,841,985.25","40,502,519.57","63,911,237.46","67,465,997.39","134,785,541.56","150,308,816.59","13,586,664.20","122,088,857.05","61,909,032.43","53,954,499.76","12,361,946.60","13,302,362.65","24,947,217.90","13,449,452.11","2,603,593.65","374,350,357.76","1,314,553,285.20","1,203,976,080.43","108,440,132.68","166,610,125.97","332,132,326.77","390,745,305.14","95,836,072.88","219,721,169.37","302,043,440.65"
经营活动现金流入小计,"178,488,751.31","314,140,714.19","741,405,997.40","180,238,580.67","414,443,676.70","671,138,260.51","889,822,092.14","219,106,387.76","292,795,371.24","419,417,196.49","518,589,810.45","118,918,769.68","227,527,316.34","401,680,204.74","464,488,546.13","143,780,048.74","198,311,063.90","335,320,028.13","450,220,902.47","126,443,300.97","236,100,139.13","375,566,715.03","474,529,281.07","120,935,196.14","256,260,327.49","478,805,333.85","618,568,677.95","156,419,629.39","247,930,812.55","386,488,766.87","594,901,090.26","153,671,877.16","573,807,239.41","1,239,097,444.40","2,389,253,154.55","1,080,104,346.54","2,219,038,915.83","3,585,114,589.67","5,300,541,796.15","1,432,294,648.63","2,695,256,951.80","4,082,308,084.46"
投资活动产生的现金流量净额,"-1,686,430.19","-3,666,456.20","-31,094,888.30","-4,806,545.16","-1,702,222.71","-2,796,528.76","-29,224,965.38","-1,669,709.63","-701,874.38","7,693,124.62","10,651,824.71","-129,969.72","-41,274,599.00","-41,407,617.12","-42,328,603.87","-3,307,074.95","-10,532,536.21","-14,906,985.25","-34,567,519.57","-63,911,237.46","-43,994,610.05","-111,310,154.22","-109,742,229.25","35,813,385.80","-72,688,807.05","-12,482,649.92","-4,500,649.76","12,638,053.40","11,723,637.35","8,962,782.10","174,590,833.09","-2,603,593.65","-374,299,904.10","-1,314,494,831.54","-1,184,626,401.60","-108,425,347.48","-166,376,875.97","-310,376,999.82","-366,313,665.16","-43,676,072.88","-167,468,738.37","-224,789,188.26"
购买商品、接受劳务支付的现金,"130,328,119.25","270,691,083.13","643,968,643.42","159,189,374.28","364,833,039.41","607,854,986.77","755,183,174.96","134,073,738.27","187,620,881.28","276,134,742.95","367,540,063.02","56,880,559.29","164,374,253.35","288,996,727.47","324,036,490.60","109,569,912.46","156,185,893.01","271,567,667.04","350,260,572.06","91,388,243.76","169,769,813.55","264,274,393.92","362,064,778.42","96,281,215.93","204,287,424.58","313,825,530.94","394,131,756.77","110,015,042.27","188,447,095.66","286,592,977.27","405,882,049.17","110,481,616.28","283,834,099.51","540,304,500.42","1,574,313,373.50","768,008,781.15","1,594,704,404.01","2,144,898,026.22","3,483,983,328.58","982,400,539.78","1,901,109,331.87","2,786,162,196.00"
吸收投资收到的现金,,,"6,313,319.57",,"305,220,000.00","305,220,000.00","305,220,000.00",,"682,448.79","682,448.79","682,600.00",,,,,,,,,,,,,,,,,,,,,,"739,499,996.70","715,021,378.02","739,499,996.70",,,,"323,235,044.40",,,
