科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"3,322,699,927.34","4,250,342,110.60","6,287,067,020.18","1,566,691,012.64","3,008,775,316.37","5,231,702,438.24","7,760,580,383.59","1,319,223,383.19","2,511,218,949.74","4,611,227,881.21","7,063,467,665.22","1,401,793,341.22","2,724,975,345.73","4,927,103,688.57","7,293,717,627.37","1,457,401,329.14","2,931,757,585.28","5,361,581,698.90","8,147,133,752.42","1,655,676,838.09","3,369,394,143.49","6,169,327,595.22","9,454,449,248.76","1,923,013,735.79","3,879,261,602.91","7,123,803,051.37","10,667,165,671.51","2,066,591,404.35","4,433,085,446.83","8,042,247,487.37","12,026,300,030.62","2,512,397,317.10"
二、营业利润,"587,206,239.29","914,818,331.47","1,373,931,245.85","348,103,908.76","597,955,783.44","1,083,353,305.64","1,617,954,568.73","214,136,083.01","338,387,318.66","578,036,934.22","989,332,647.80","200,511,632.60","367,147,387.51","720,648,150.33","1,236,013,769.95","226,314,702.30","447,158,860.74","881,260,954.47","1,474,123,741.01","278,589,300.11","563,327,585.78","1,084,000,208.56","1,795,773,898.91","330,650,715.51","657,846,020.92","1,341,995,617.09","1,866,375,850.82","329,114,174.53","714,510,932.56","1,398,972,844.94","1,511,294,310.16","409,171,946.74"
减:营业成本,"2,341,834,213.44","2,803,647,716.78","4,036,992,829.41","1,001,543,363.89","1,906,021,835.39","3,325,310,615.51","4,859,588,171.01","825,949,081.71","1,564,794,027.44","2,995,280,217.50","4,678,545,731.51","892,827,907.98","1,770,614,804.20","3,160,817,441.34","4,715,435,054.60","932,511,830.82","1,863,325,662.28","3,401,340,223.71","5,209,141,583.64","1,066,714,658.00","2,113,423,523.50","3,884,013,472.25","5,893,665,115.25","1,214,005,721.60","2,396,568,314.00","4,388,078,264.14","6,574,899,219.56","1,196,824,980.64","2,651,485,787.35","4,926,262,296.44","7,755,669,561.03","1,530,219,619.67"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"17,692,017.80","26,780,694.21","38,499,899.74","10,075,484.18","21,733,534.94","33,162,618.79","50,937,470.01","9,479,941.53","18,020,626.98","31,557,183.65","50,524,675.98","13,823,263.18","23,283,000.32","44,780,317.21","64,248,306.81","14,288,543.66","26,236,895.47","45,238,876.20","64,010,454.30","10,824,191.08","25,833,898.57","45,774,503.74","65,191,907.77","14,991,335.52","26,200,980.13","52,192,637.61","88,392,324.13","16,244,003.48","24,522,423.23","52,764,674.15","83,053,726.87","17,108,699.03"
营业外收入,"344,579.92","1,877,535.69","1,161,397.78","460,382.84","1,047,037.28","1,096,040.11","3,053,088.89","8,815,498.11","9,238,005.81","71,437,289.12","74,905,449.88","680,121.56","53,047,148.14","60,246,076.26","66,412,091.64","2,284,089.01","4,996,113.83","7,445,147.80","38,633,290.61","1,458,030.58","2,645,264.97","10,007,223.97","25,314,562.54","925,635.13","2,160,074.66","10,012,851.35","21,935,205.90","8,008,903.04","3,281,927.43","3,752,673.55","11,486,117.59","283,533.34"
销售费用,"237,563,818.88","339,796,919.01","582,833,065.98","153,969,313.86","366,417,404.72","587,368,314.34","900,821,046.35","204,121,014.64","475,959,602.99","721,439,900.71","1,062,137,982.53","223,616,387.11","449,834,806.64","663,971,358.74","921,148,483.07","208,120,977.01","415,585,328.44","655,284,946.51","918,568,978.97","230,921,032.10","486,525,903.67","772,323,182.65","1,120,124,183.72","271,005,135.02","591,653,576.50","978,804,509.42","1,455,393,388.37","376,322,231.20","786,048,190.83","1,209,417,769.45","1,763,437,614.59","438,718,046.38"
减:营业外支出,"11,102,587.14","2,061,496.96","6,579,939.29","178,937.95","257,197.63","391,601.47","3,849,738.54","267,183.36","498,732.14","1,317,208.09","7,630,586.29","5,950,850.75","10,621,907.95","11,485,737.66","31,452,758.97","1,517,286.40","5,499,863.50","6,376,009.11","9,364,705.21","5,624,905.42","8,413,489.47","9,961,711.81","12,432,051.96","795,110.79","3,407,584.23","4,360,801.36","12,541,154.28","5,253,527.56","6,015,004.44","8,027,478.26","8,987,520.39","1,222,943.50"
管理费用,"91,215,036.88","134,203,637.75","169,322,787.48","43,567,065.47","100,973,351.72","146,449,080.67","221,336,645.60","48,533,280.05","107,187,140.47","161,656,044.33","226,605,065.77","53,958,617.59","119,119,172.80","185,180,123.52","261,274,811.55","67,116,985.81","141,068,312.68","218,343,121.66","312,402,935.88","68,128,352.69","159,626,914.09","243,255,575.56","386,808,784.50","82,459,423.18","179,132,847.27","324,853,888.71","551,642,897.60","136,030,100.57","244,053,325.10","377,436,796.59","638,830,913.36","122,175,247.07"
其中:非流动资产处置净损失,"2,513.32","25,461.77","157,324.89","19,776.04","44,288.06","137,396.71","155,565.71","6,984.52","7,772.52","70,258.42","124,131.37","4,160.16","34,832.87","50,114.66","441,313.75","109,450.15","122,765.54","153,399.18","201,173.51","142,730.78","152,377.88","168,274.07","233,383.60","52,008.24","83,587.30","103,645.55","1,127,363.19","12,103.55","77,120.24","109,444.34",,
