科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"329,058,794.16","431,876,551.37","183,762,697.84","431,527,725.41","298,535,766.53","460,594,628.40","678,386,526.36","186,168,114.76","405,792,343.64","631,342,605.22","873,869,015.71","265,114,996.66","531,787,181.63","769,842,754.32","1,044,015,398.04","226,852,340.71","500,774,346.73","766,393,926.23","1,121,667,679.57","189,740,825.68","495,507,815.32","776,533,804.13","1,040,177,839.83","259,997,995.71","566,290,894.70","817,449,180.35","1,062,657,469.96","235,483,890.70","518,930,842.34","841,132,424.50","1,194,217,730.08","228,198,181.49","654,415,922.61","1,089,826,480.26","1,472,660,671.07"
二、营业利润,"39,893,579.18","38,494,040.26","24,414,895.58","54,956,087.46","30,729,700.68","41,362,870.76","60,877,958.13","21,691,899.50","47,287,975.05","66,972,675.27","89,442,290.70","23,382,312.21","46,366,536.00","65,530,793.67","85,492,228.05","15,241,382.46","34,173,682.68","47,432,740.59","49,556,742.50","15,901,863.58","34,201,785.46","47,349,159.70","42,397,198.44","12,700,399.54","33,926,136.59","31,050,885.28","27,896,185.26","6,545,533.40","15,814,313.67","14,550,326.42","-331,293,570.87","-11,773,135.76","1,960,342.08","7,828,951.27","7,375,228.74"
减:营业成本,"253,291,477.54","348,706,831.70","137,857,010.83","330,917,323.36","242,818,446.47","380,046,113.31","549,665,191.89","146,921,916.61","325,334,393.64","508,999,803.49","704,599,252.75","216,508,645.02","422,326,338.76","614,464,168.48","824,546,238.05","185,240,678.74","406,382,814.78","626,970,343.76","941,473,204.09","148,071,951.14","403,227,892.42","634,572,116.05","855,052,041.65","215,656,219.06","467,977,834.49","678,642,803.32","855,655,019.60","186,250,335.92","407,097,157.34","681,721,857.29","980,653,415.02","192,000,256.34","555,093,924.44","925,661,402.39","1,187,874,373.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"993,083.28","1,559,804.03","968,267.43","1,579,837.01","750,468.89","1,008,009.91","2,630,697.50","204,799.43","606,757.53","1,138,802.79","2,403,501.85","811,918.73","2,070,699.37","2,542,501.75","3,214,775.01","734,604.23","1,624,060.08","2,588,154.83","3,458,803.32","448,708.72","1,152,811.23","1,486,182.23","2,985,764.73","789,321.14","1,700,170.20","2,818,903.09","4,727,894.55","1,211,027.05","3,234,425.43","4,246,473.72","9,952,575.88","2,004,194.33","5,294,501.99","6,446,159.43","12,610,251.36"
营业外收入,"1,130,819.12","2,192,772.82","1,379,860.00","2,922,519.41","2,692,600.00","6,548,995.53","7,973,366.53","266,961.81","289,888.81","1,513,970.17","2,607,891.39","1,197,876.28","6,203,607.65","6,599,490.79","8,549,290.79","2,740,270.72","3,360,798.02","3,948,837.73","10,135,681.94","462,000.00","4,231,281.85","4,450,868.16","4,430,651.10","689,672.75","1,936,799.13","2,598,349.47","12,501,035.81","966,146.01","961,177.67","3,058,343.59","6,936,137.54","1,450,835.30","1,827,399.93","3,646,406.92","3,575,449.85"
销售费用,"20,090,598.72","16,918,664.22","7,791,406.58","17,336,769.07","8,478,535.82","14,902,948.54","23,492,156.18","7,077,360.02","12,828,335.33","20,604,025.51","29,258,287.10","5,776,004.67","16,975,100.23","25,569,794.00","38,085,361.26","6,536,343.00","16,627,183.48","28,226,433.21","40,895,257.76","9,550,795.77","19,212,629.61","30,334,089.36","45,943,326.28","6,796,713.74","19,536,824.93","30,538,413.27","48,081,565.46","10,207,777.87","23,991,382.85","37,000,853.93","65,305,590.77","12,955,332.48","29,829,621.87","49,568,988.55","75,929,180.13"
减:营业外支出,"683,241.63","440,688.89","343,860.03","351,656.00","339,865.98","383,643.36","432,290.69","21,792.50","209,239.84","713,479.69","504,807.69","166,254.99","560,122.42","704,425.46","1,243,742.55","79,975.40","810,730.68","937,450.50","1,400,739.53","6,000.00","627,242.88","754,167.03","1,633,185.04","50,613.19","593,142.00","828,081.90","2,148,083.31","438,494.94","1,181,547.84","1,580,368.86","26,436,276.74","308,326.18","443,073.99","1,210,317.91","2,779,782.83"
管理费用,"11,419,459.77","16,611,293.80","10,705,217.79","22,420,941.20","11,892,583.44","19,054,333.93","31,833,892.45","9,110,465.60","17,872,375.60","28,813,677.50","40,636,488.72","15,362,788.82","33,749,159.45","47,439,575.78","70,044,164.73","15,605,137.60","33,811,687.28","49,948,844.63","68,554,347.80","17,036,985.07","37,775,723.22","55,082,587.55","78,432,209.06","18,476,106.81","36,679,628.55","64,086,117.19","118,205,374.10","30,460,017.27","64,276,582.11","94,612,022.87","143,154,242.30","25,362,859.13","45,441,415.28","74,991,406.34","153,063,099.55"
其中:非流动资产处置净损失,,,,,,,"72,424.71",,,,"5,299.01",,293.08,,"564,307.54",,,,"238,638.70",,"323,997.90",887.50,"1,033,354.63","41,594.99","125,035.42","313,167.62","572,450.96",,"398,365.32",,"23,617,437.63",,"354,554.62",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"6,973,329.24","8,501,467.69","2,354,272.67","5,188,318.93","3,241,890.68","3,922,513.01","5,112,729.31","695,250.68","1,244,610.55","3,094,803.71","6,206,006.59","2,844,750.64","6,807,851.82","11,392,843.74","15,964,265.48","2,576,970.52","7,665,112.76","10,327,969.34","21,219,727.34","2,202,294.30","6,115,892.62","11,714,974.76","20,647,728.16","4,615,500.41","11,355,633.61","15,975,911.53","22,125,404.92","6,476,672.94","9,841,158.16","13,506,150.53","12,502,678.20","7,727,052.20","16,243,527.26","25,270,181.46","33,397,704.41"
