科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"252,818,952.43","252,144,714.44","469,021,834.35","236,033,469.37","409,355,007.05","523,885,408.60","132,476,632.14","250,902,506.58","426,797,679.34","615,879,162.43","212,755,535.58","422,190,082.43","686,495,923.21","1,099,916,520.71","197,326,207.97","368,708,640.37","661,219,802.06","842,621,879.67","293,757,328.19","577,222,384.93","925,150,859.03","1,256,025,852.10","351,984,956.51","574,859,906.86","978,837,514.18","1,360,109,555.30","362,290,189.12","689,422,580.41","1,036,219,066.16","1,716,809,122.64","432,356,659.90","890,311,475.61","1,349,765,966.77","2,037,863,063.50","324,618,162.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"34,236,373.03","124,950,901.05","136,409,198.33","388,434,755.92","471,434,755.92",,,,,,,,,
收到的税费返还,"17,281,309.40","8,758,495.75",,"69,039.87","69,039.87","69,039.87",,"31,100.16","31,100.16",,,,,,,"41,640.81","41,640.81","220,185.60",,"16,007.17","372,019.96","359,704.36","7,143.35","91,664.35","89,706.09","190,818.49","106,114.74","784,047.96","1,624,737.61","1,863,064.43",,"40,641.02","935,855.87","1,065,066.15","437,918.18"
支付其他与投资活动有关的现金,,,,,,,323.96,"24,000,040.00","24,001,316.58","9,733,600.00",,"1,000,000.00","1,000,000.00",,,"8,000,000.00","20,748,500.00","7,967,800.00","3,970,530.00","86,979,850.00","218,624,705.59","270,461,211.40","131,469,143.55","261,171,409.83","264,244,543.31","432,633,772.67","50,970,000.00","143,508,000.00","167,508,000.00","155,232,894.36","27,606,322.00","59,345,951.85","59,345,951.85",,"52,080,000.00"
收到其他与经营活动有关的现金,"41,017,147.68","34,714,476.47","5,738,117.16","93,105,213.18","86,110,394.66","70,046,401.97","8,917,431.61","67,033,015.25","94,584,341.36","38,325,253.87","4,884,088.82","5,970,252.08","17,089,881.40","43,899,050.91","3,053,874.42","6,523,602.71","15,160,433.11","47,082,023.32","4,452,098.01","14,810,981.67","24,672,445.96","112,822,530.84","3,961,766.22","6,726,962.32","15,230,408.66","93,295,023.20","84,416,957.05","134,924,164.18","196,570,384.38","128,586,423.29","61,042,315.97","166,531,670.96","238,129,481.60","126,780,472.80","37,327,766.71"
投资活动现金流出小计,"71,592,529.95","60,619,861.15","19,164,769.24","15,602,480.52","29,326,301.73","56,602,237.37","34,826,788.71","99,485,633.73","123,954,728.34","161,474,928.36","26,497,323.60","39,671,158.32","63,992,184.27","106,819,422.44","106,604,551.34","141,910,273.73","237,673,688.13","268,408,910.31","24,607,795.02","143,166,280.41","318,665,349.06","498,963,087.90","432,885,565.94","971,807,434.45","1,430,035,766.31","2,362,105,760.43","319,841,961.84","663,569,016.75","838,926,065.56","943,653,379.11","62,471,932.46","407,877,944.23","546,434,509.24","889,017,674.37","1,946,575,974.32"
经营活动现金流入小计,"311,117,409.51","295,617,686.66","474,759,951.51","329,207,722.42","495,534,441.58","594,000,850.44","141,394,063.75","317,966,621.99","521,413,120.86","654,204,416.30","217,639,624.40","428,160,334.51","703,585,804.61","1,143,815,571.62","200,380,082.39","375,273,883.89","676,421,875.98","889,924,088.59","298,209,426.20","592,049,373.77","950,195,324.95","1,369,208,087.30","355,953,866.08","581,678,533.53","994,157,628.93","1,453,595,396.99","446,813,260.91","825,130,792.55","1,234,414,188.15","1,847,258,610.36","493,398,975.87","1,056,883,787.59","1,588,831,304.24","2,165,708,602.45","362,383,847.61"
投资活动产生的现金流量净额,"-33,463,906.71","-60,068,992.99","-6,060,020.48","5,393,170.57","-8,282,650.64","-35,528,586.28","-34,811,788.71","-95,169,309.93","-119,607,604.54","-160,686,508.97","-26,497,323.60","-39,375,158.32","-63,696,184.27","-104,094,019.34","-106,481,991.34","-141,330,213.73","-183,495,819.91","-213,777,984.81","-24,327,075.02","-143,019,260.41","-318,494,929.06","-495,633,811.67","-432,757,892.39","-970,612,434.45","-1,428,815,766.31","-2,093,064,565.53","-86,241,961.84","-256,380,541.98","-301,587,590.79","-535,071,813.52","-32,976,980.48","-169,391,828.07","-207,382,148.10","515,654,566.90","-297,665,955.29"
购买商品、接受劳务支付的现金,"169,516,616.36","61,827,948.77","198,188,703.09","191,159,047.93","301,169,536.02","339,572,147.16","76,534,356.01","156,845,447.35","268,437,304.22","389,336,171.07","112,973,774.02","232,913,928.66","365,636,599.08","652,597,140.73","99,854,377.60","229,720,969.81","348,948,113.11","374,020,116.14","190,708,936.76","373,612,338.18","586,601,500.39","712,054,835.16","254,690,613.89","293,695,887.83","512,926,187.43","630,356,454.31","196,402,228.05","364,546,464.17","593,043,712.87","834,608,003.27","158,310,115.58","378,953,126.98","471,140,536.21","803,431,045.83","175,779,692.62"
吸收投资收到的现金,,,,,,"961,775,000.00",,"1,200,000.00","6,000,000.00","6,000,000.00",,,,,,,,"12,250,000.00",,,,,"141,300,000.00","141,500,000.00","141,075,400.00","141,888,400.00",,,,"1,152,177,220.04",,,"1,960,000.00","1,960,000.00",
支付给职工以及为职工支付的现金,"26,024,899.40","37,775,954.16","42,267,366.66","27,576,719.89","39,033,194.40","54,629,880.63","20,308,389.02","37,522,336.58","55,937,501.93","90,920,937.27","23,327,754.84","47,338,360.91","71,339,598.54","103,494,070.37","35,427,107.00","67,685,242.96","99,813,067.00","136,234,574.97","47,235,509.32","85,465,594.97","128,692,676.77","167,578,387.62","62,316,638.00","109,502,567.88","165,164,127.75","213,739,601.71","61,222,894.55","108,614,585.37","157,118,433.62","212,282,869.02","69,059,686.52","119,103,698.38","167,268,134.13","216,417,501.84","65,845,148.86"
取得借款收到的现金,"571,796,583.12","420,360,000.00","472,820,000.00","224,000,000.00","348,000,000.00","399,900,000.00",,,,,,,,,,,"150,000,000.00","150,000,000.00",,"350,000,000.00","550,000,000.00","620,000,000.00","406,410,000.00","1,118,410,000.00","1,857,882,000.00","2,779,082,000.00","558,650,000.00","837,200,000.00","1,552,640,000.00","1,603,390,000.00","297,500,000.00","667,500,000.00","797,500,000.00","647,500,000.00",
支付的各项税费,"56,830,210.34","65,574,662.78","70,742,406.96","41,596,287.57","65,255,950.01","88,234,903.50","16,222,687.35","38,255,400.85","58,027,290.19","78,419,350.69","20,021,935.00","53,126,038.84","79,632,437.37","113,148,305.20","23,914,484.97","55,337,788.22","86,056,252.57","119,988,291.46","29,502,126.63","77,459,514.17","113,793,181.38","149,093,271.98","29,092,576.89","89,087,216.11","127,727,396.33","168,910,702.28","37,501,037.30","93,619,463.19","139,036,831.12","197,529,276.11","70,765,742.68","145,400,199.92","206,154,398.79","259,997,220.48","46,171,746.55"
收到其他与筹资活动有关的现金,"30,020,000.00",,"1,700,975.41",,,,"1,771,724.97","3,661,614.38","4,677,371.14","19,074,000.00","1,102,425.29","2,277,052.83","3,465,788.92","4,549,540.38","626,976.36","1,134,691.37","1,647,952.18","2,150,525.59","529,174.12","966,065.86","1,328,336.70","1,329,528.06",517.80,"150,014.07","42,043,781.87","89,918,559.60","80,000,000.00","84,960,000.00","124,960,000.00","104,059,094.98","7,921,300.00","1,670,851.88","1,670,851.88","2,191,787.70","202,028.62"
支付其他与经营活动有关的现金,"37,558,581.18","35,505,450.42","103,910,814.05","21,709,946.28","30,973,682.50","54,866,490.70","24,502,331.89","78,488,528.12","109,160,996.39","55,230,307.10","16,301,678.80","24,704,441.74","38,494,855.93","77,081,020.29","27,848,031.15","57,108,283.55","87,935,188.93","147,521,393.75","20,928,327.20","40,816,970.10","65,278,730.60","205,161,952.46","41,633,909.77","59,190,497.11","110,726,396.78","283,533,430.45","90,793,253.88","143,646,751.55","193,550,462.27","216,494,498.59","85,287,267.02","136,796,923.09","210,289,674.23","100,518,853.43","50,983,601.27"
筹资活动现金流入小计,"601,816,583.12","420,360,000.00","474,520,975.41","224,000,000.00","348,000,000.00","1,361,675,000.00","1,771,724.97","4,861,614.38","10,677,371.14","25,074,000.00","1,102,425.29","2,277,052.83","3,465,788.92","4,549,540.38","626,976.36","1,134,691.37","151,647,952.18","164,400,525.59","529,174.12","350,966,065.86","551,328,336.70","621,329,528.06","547,710,517.80","1,260,060,014.07","2,041,001,181.87","3,010,888,959.60","638,650,000.00","922,160,000.00","1,677,600,000.00","2,859,626,315.02","305,421,300.00","669,170,851.88","801,130,851.88","651,651,787.70","202,028.62"
经营活动现金流出小计,"289,930,307.28","200,684,016.13","415,109,290.76","282,042,001.67","436,432,362.93","537,303,421.99","137,567,764.27","311,111,712.90","491,563,092.73","613,906,766.13","172,625,142.66","358,082,770.15","555,103,490.92","946,320,536.59","187,044,000.72","409,852,284.54","622,752,621.61","777,764,376.32","288,374,899.91","577,354,417.42","894,366,089.14","1,233,888,447.22","387,733,738.55","551,476,168.93","916,544,108.29","1,296,540,188.75","385,919,413.78","710,427,264.28","1,082,749,439.88","1,460,914,646.99","383,422,811.80","780,253,948.37","1,054,852,743.36","1,380,364,621.58","338,780,189.30"
偿还债务支付的现金,"625,869,097.36","342,180,000.00","472,770,000.00","234,370,000.00","344,370,000.00","670,070,000.00",,,,,,,,,,,"4,491,651.87",,,"481,722,927.74","633,570,111.29","718,816,500.59","1,250,000.00","142,910,000.00","406,132,000.00","724,432,000.00","275,253,373.81","531,960,000.00","1,116,900,000.00","1,664,990,000.00","184,350,000.00","509,600,000.00","738,857,143.00","1,321,000,000.00","44,609,444.01"
经营活动产生的现金流量净额,"21,187,102.23","94,933,670.53","59,650,660.75","47,165,720.75","59,102,078.65","56,697,428.45","3,826,299.48","6,854,909.09","29,850,028.13","40,297,650.17","45,014,481.74","70,077,564.36","148,482,313.69","197,495,035.03","13,336,081.67","-34,578,400.65","53,669,254.37","112,159,712.27","9,834,526.29","14,694,956.35","55,829,235.81","135,319,640.08","-31,779,872.47","30,202,364.60","77,613,520.64","157,055,208.24","60,893,847.13","114,703,528.27","151,664,748.27","386,343,963.37","109,976,164.07","276,629,839.22","533,978,560.88","785,343,980.87","23,603,658.31"
