科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"191,743,158.98","229,831,730.83","222,057,311.15","106,996,772.18","239,038,789.56","51,460,894.61","118,113,786.05","178,057,918.38","248,732,774.40","47,557,899.41","110,363,119.22","156,895,052.07","202,841,699.59","62,583,244.11","120,331,285.93","180,561,196.04","236,827,811.25","69,391,244.66","136,099,366.26","198,679,738.37","253,192,967.62","73,522,275.69","138,046,120.81","223,678,474.23","308,339,356.43","87,361,685.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,754,276.30","3,805,577.59","9,649,926.01","6,179,844.26","7,957,066.60","2,194,376.33","3,922,686.38","4,450,011.71","5,048,585.72","1,497,855.74","3,315,862.61","5,142,323.93","6,350,084.19","3,839,099.06","5,169,404.67","5,951,906.18","10,084,498.30","261,571.04","1,129,951.56","3,515,818.05","4,674,102.20","3,727,758.62","6,478,201.57","14,967,941.46","18,399,607.03","2,199,409.58"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,108,580.83","4,311,674.20","5,725,815.05","1,750,226.92","7,007,283.57","2,953,553.30","3,927,665.04","4,039,618.41","6,432,920.76","3,552,438.38","137,247.66","213,259.01","2,352,794.25","949,938.38","1,341,890.14","7,987,543.33","27,713,642.09","3,044,037.23","4,372,084.72","5,388,840.39","7,947,665.66","2,023,250.77","3,189,985.34","4,527,486.44","4,945,551.98","2,792,548.14"
投资活动现金流出小计,"56,435,346.82","88,456,344.14","88,889,416.22","24,789,156.15","35,900,190.86","16,620,920.52","19,549,165.22","23,989,600.58","30,629,204.24","5,563,002.34","7,104,237.00","26,766,774.40","40,310,967.33","8,302,584.32","13,747,377.07","21,297,265.07","39,712,553.09","3,556,051.42","9,735,399.71","17,028,346.95","23,653,010.85","6,632,237.19","18,216,222.02","25,924,489.65","34,361,269.79","3,956,064.12"
经营活动现金流入小计,"196,606,016.11","237,948,982.62","237,433,052.21","114,926,843.36","254,003,139.73","56,608,824.24","125,964,137.47","186,547,548.50","260,214,280.88","52,608,193.53","113,816,229.49","162,250,635.01","211,544,578.03","67,372,281.55","126,842,580.74","194,500,645.55","274,625,951.64","72,696,852.93","141,601,402.54","207,584,396.81","265,814,735.48","79,273,285.08","147,714,307.72","243,173,902.13","331,684,515.44","92,353,643.12"
投资活动产生的现金流量净额,"-56,288,707.77","-88,456,344.14","-88,889,416.22","-24,637,946.60","-35,748,981.31","-16,365,350.64","-19,293,595.34","-23,734,030.70","-30,373,634.36","-5,358,848.29","-6,917,927.43","-26,580,464.83","-40,124,657.76","-8,153,464.57","-3,586,257.32","-11,136,145.32","-29,401,334.15","-3,430,998.28","2,548,217.81","-4,475,324.41","-11,192,922.74","-6,510,649.59","-18,084,925.68","-25,793,193.31","-33,442,646.37","-3,886,249.77"
购买商品、接受劳务支付的现金,"62,834,499.34","82,613,846.03","80,762,520.19","55,669,483.67","98,985,420.04","45,123,759.06","69,817,517.66","86,522,462.23","130,031,961.09","41,732,989.37","60,859,146.35","79,289,470.86","108,436,282.85","23,377,178.17","62,331,636.95","83,457,943.29","95,689,922.91","26,748,263.69","71,599,583.83","91,257,602.92","118,463,728.07","33,868,758.50","77,052,371.59","113,115,932.93","160,206,076.21","45,850,661.19"
吸收投资收到的现金,,,,,,"212,000,000.00","233,680,000.00","233,680,000.00","212,000,000.00",,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"52,417,196.88","60,960,875.04","71,607,397.84","36,664,954.81","75,284,386.79","19,230,662.84","34,320,649.87","56,938,360.89","77,965,525.35","16,499,234.97","36,787,364.03","54,234,078.29","71,994,763.68","16,080,009.55","33,327,699.66","49,701,412.07","73,729,694.54","19,669,437.45","37,112,779.70","61,665,538.52","81,591,523.05","21,970,022.38","44,556,126.67","67,329,632.08","90,084,901.57","23,660,496.41"
取得借款收到的现金,"145,498,709.82","204,436,409.15","181,558,989.12","180,390,042.60","371,220,291.79","52,146,342.44","110,146,342.44","147,577,703.32","149,038,864.44","90,000,000.00","183,000,000.00","219,000,000.00","239,000,000.00","51,500,000.00","136,500,000.00","166,500,000.00","186,561,112.61","45,000,000.00","70,000,000.00","70,000,000.00","88,755,655.12","42,500,000.00","65,000,000.00","160,000,000.00","188,000,000.00","9,000,000.00"
支付的各项税费,"11,846,745.10","25,996,631.52","21,546,021.47","8,032,668.40","19,596,208.30","4,247,492.32","10,831,765.10","13,841,899.06","13,924,596.32","2,992,919.68","4,837,408.94","5,613,087.15","6,515,520.24","1,752,485.57","2,350,439.78","4,494,099.48","4,568,564.05","699,621.12","2,212,510.20","2,902,005.45","3,537,043.29","3,513,569.06","8,920,671.64","12,191,899.54","15,967,055.53","3,040,692.89"
收到其他与筹资活动有关的现金,,,,,,,,,,"64,059.98",,,,,,,,,,,,,,,"216,800.00","26,076,444.86"
支付其他与经营活动有关的现金,"23,149,379.58","31,177,831.87","34,152,126.72","14,907,192.13","34,926,395.86","8,687,539.12","14,718,964.52","23,225,789.92","33,475,735.48","1,259,768.80","18,366,876.21","27,854,372.48","32,097,516.91","12,019,100.35","14,288,945.18","19,791,053.56","32,068,696.53","3,465,177.62","24,287,050.04","25,866,434.09","29,887,601.65","15,950,839.92","16,391,061.65","23,501,917.84","31,389,017.99","5,844,885.46"
筹资活动现金流入小计,"145,498,709.82","204,436,409.15","181,558,989.12","180,390,042.60","371,220,291.79","264,146,342.44","343,826,342.44","381,257,703.32","361,038,864.44","90,064,059.98","183,000,000.00","219,000,000.00","239,000,000.00","51,500,000.00","136,500,000.00","166,500,000.00","186,561,112.61","45,000,000.00","70,000,000.00","70,000,000.00","88,755,655.12","42,500,000.00","65,000,000.00","160,000,000.00","188,216,800.00","35,076,444.86"
经营活动现金流出小计,"150,247,820.90","200,749,184.46","208,068,066.22","115,274,299.01","228,792,410.99","77,289,453.34","129,688,897.15","180,528,512.10","255,397,818.24","62,484,912.82","120,850,795.53","166,991,008.78","219,044,083.68","53,228,773.64","112,298,721.57","157,444,508.40","206,056,878.03","50,582,499.88","135,211,923.77","181,691,580.98","233,479,896.06","75,303,189.86","146,920,231.55","216,139,382.39","297,647,051.30","78,396,735.95"
偿还债务支付的现金,"62,490,769.74","153,212,635.74","80,803,669.77","190,834,294.56","339,899,444.16","106,038,498.05","269,717,573.92","283,295,938.81","305,319,539.62","83,528,014.57","136,955,339.57","172,975,339.57","163,475,339.57","85,097,258.33","179,000,000.00","209,000,000.00","235,500,000.00","45,063,388.82","70,063,263.70","70,062,633.46","95,817,841.43","50,000,000.00","80,000,000.00","130,000,000.00","149,818,873.81","42,500,000.00"
