科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"1,437,818.92","12,846,013.23","40,915,686.70","39,559,009.46","44,062,988.56","52,482,796.16","576,173,742.28","555,206,814.54","550,903,416.16","538,508,344.56","502,910,772.12","381,758,763.50","357,589,900.94","347,046,514.14","279,080,582.10","260,196,579.58","230,001,840.33","281,727,043.77","333,701,271.03","284,739,054.61","217,317,607.55","241,346,305.13","214,586,728.82","232,894,041.41","203,813,226.66","456,282,215.12","228,190,105.89","985,691,384.12","443,003,408.37","568,948,446.87","340,843,456.87","792,481,274.65","831,951,340.46","911,542,910.22","529,713,115.85"
短期借款,,,,,,,,,,,,,,,,,,"50,000,000.00","122,000,000.00","122,000,000.00","102,000,000.00","65,000,000.00","71,000,000.00","143,000,000.00","238,000,000.00","372,120,000.00","399,120,000.00","297,120,000.00","193,000,000.00","282,000,000.00","282,000,000.00","100,000,000.00","100,010,000.00","102,530,000.00","152,530,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"525,000.00",,"502,820.00",,"240,000.00","240,000.00",,,,,,"11,043,700.00","4,432,820.00","3,403,475.00","3,399,358.57","3,897,000.00","3,508,000.00","15,166,033.00","21,204,115.00","16,022,629.80","17,419,428.00","34,501,773.50","21,822,520.50","24,418,309.50","22,264,045.47","9,152,858.33","25,062,278.99","39,878,421.20","29,876,684.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,304,000.00",,,,,,"32,450,317.56",
应收账款,"19,380,879.16","20,795,535.12","29,217,356.27","44,294,932.94","37,590,570.98","65,718,205.62","78,208,975.03","77,005,542.36","73,564,726.84","101,396,334.26","114,773,794.57","114,492,134.00","110,285,760.06","151,679,904.87","182,160,841.83","197,234,397.74","222,463,996.44","305,330,206.08","293,471,605.56","307,221,567.19","317,622,154.66","477,969,217.99","478,522,575.03","504,307,531.78","520,430,492.05","690,105,984.54","708,571,221.11","674,167,952.92","669,755,956.54","913,844,259.45","1,019,695,370.62","1,098,670,175.90","1,054,091,800.34","1,204,665,518.44","1,267,103,548.20"
应付账款,"2,040,622.00","698,460.00","2,099,991.00","590,000.00","348,800.00","2,482,137.50","235,180.00","1,588,693.86","200,000.00","3,156,855.00","4,685,202.09","2,978,547.25","4,478,762.89","4,502,513.27","7,270,994.98","4,834,838.30","4,956,893.77","6,241,382.80","5,000,345.90","3,566,201.84","5,424,871.62","16,455,595.75","7,201,502.79","9,573,306.33","21,682,153.85","24,902,912.14","8,932,777.37","11,578,085.38","13,984,659.83","42,179,658.53","54,170,336.49","45,483,805.79","31,210,948.52","77,799,083.41","51,843,468.96"
预付款项,"166,293.00","173,153.00",,,,"231,484.00",,,,"1,419,500.00","3,696,891.00","99,294,388.78","101,357,510.51","103,894,588.19","120,493,646.77","117,064,195.39","124,424,988.14","20,253,398.03","32,725,140.52","50,716,634.83","57,670,295.09","46,981,243.42","55,979,165.15","44,440,783.27","44,411,355.81","23,584,102.92","50,193,898.46","46,978,797.77","40,828,148.57","27,844,974.68","43,133,313.31","52,211,358.15","53,463,526.08","26,402,725.44","69,587,080.09"
预收款项,,"1,599,850.00","14,140.00","223,400.00",,,,"69,908.59",,"3,883,400.00",,"3,888,512.74","1,086,682.48","518,102.80","6,013,717.16","7,724,251.74","3,986,182.14","1,597,649.59","7,146,314.80","9,727,179.92","9,553,734.09","9,580,742.30","16,544,324.70","11,027,022.30","14,266,428.18","25,578,947.53","45,873,729.07","78,613,357.44","73,047,452.02","19,131,628.75","22,964,554.99","15,751,178.63","23,724,151.52","25,513,484.50","21,460,154.19"
