科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,636,678,709.65","1,786,039,755.04","1,211,812,635.21","1,650,391,319.65","932,330,359.80","1,446,922,219.22","1,975,404,502.45","481,283,744.66","1,027,499,411.40","1,609,452,234.02","2,417,734,882.29","542,742,906.45","1,173,850,943.54","1,791,739,172.56","2,500,855,948.89","556,769,083.60","1,326,295,027.45","1,976,159,964.50"
二、营业利润,"93,911,505.26","100,766,111.62","64,385,712.37","95,444,830.76","51,280,762.85","81,422,039.90","112,093,582.50","20,406,509.08","54,391,561.76","90,458,503.84","145,571,896.31","25,630,930.53","59,577,291.31","93,130,315.74","112,844,083.08","21,154,872.87","56,186,375.45","67,338,657.06"
减:营业成本,"1,389,376,730.41","1,501,356,850.16","1,020,476,892.49","1,388,234,637.18","791,718,832.69","1,227,408,951.84","1,666,134,065.10","412,895,002.69","873,687,320.36","1,372,367,918.98","2,070,344,579.78","463,050,302.84","1,011,746,015.17","1,520,904,121.84","2,145,707,789.54","470,780,476.34","1,135,326,960.71","1,694,722,490.62"
加:补贴收入,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,794,755.01","7,671,326.37","5,246,861.26","7,025,628.72","3,547,375.96","4,610,699.42","6,617,960.88","1,046,926.39","2,726,731.72","4,130,033.48","7,823,366.44","7,883,944.76","18,760,507.12","34,188,939.48","49,262,503.02","9,147,384.40","23,994,340.54","35,783,792.88"
营业外收入,"4,669,252.12","3,587,177.59","4,100,279.59","5,677,766.24","2,893,739.93","3,844,032.41","5,661,127.69","1,350,710.88","2,810,895.36","19,508,759.29","13,070,239.22","1,380,451.29","7,681,056.39","15,433,067.55","24,189,716.23","3,713,754.59","7,918,064.62","14,398,825.42"
销售费用,"54,516,464.46","74,923,868.36","38,929,189.00","57,207,143.91","31,582,939.77","51,070,433.41","74,530,253.39","16,415,114.31","36,181,636.81","61,962,395.61","81,317,381.86","17,875,411.18","41,734,898.77","68,566,784.16","97,251,857.66","26,548,232.02","52,335,389.12","77,957,660.29"
减:营业外支出,"820,251.77","1,053,710.09","1,208,344.20","1,162,906.33","2,009,607.32","2,559,730.08","2,932,455.38","496,600.54","1,147,037.29","1,915,672.60","2,290,068.85","333,205.86","623,717.58","832,525.21","1,209,134.93","983,514.14","1,166,625.28","2,330,014.40"
管理费用,"59,022,236.68","65,513,238.38","49,160,462.11","65,728,663.73","41,049,836.17","62,718,604.40","87,325,835.86","28,901,249.01","47,394,022.68","77,023,455.75","102,529,415.96","25,130,380.53","48,335,597.93","80,645,272.13","105,919,664.06","29,248,733.93","56,697,068.15","91,950,899.42"
其中:非流动资产处置净损失,"172,132.95","321,327.04","309,225.82","263,994.81",,"150,154.69","265,256.71","202,145.54","572,902.45","967,087.74","2,290,068.85",,"340,819.42","331,911.06","667,447.41",,"227,674.37","206,027.64"
堪探费用,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,
财务费用,"43,804,954.16","28,350,978.81","26,569,233.40","33,552,092.67","11,396,561.12","18,619,304.75","24,187,766.88","977,783.53","12,635,146.13","5,607,036.35","5,372,940.06","8,227,249.28","4,406,094.05","7,141,581.87","-5,809,117.94","2,614,937.11","13,563,496.05","28,272,907.45"
三、利润总额,"97,760,505.61","103,299,579.12","67,277,647.76","99,959,690.67","52,164,895.46","82,706,342.23","114,822,254.81","21,260,619.42","56,055,419.83","108,051,590.53","156,352,066.68","26,678,175.96","66,634,630.12","107,730,858.08","135,824,664.38","23,885,113.32","62,937,814.79","79,407,468.08"
资产减值损失,"-5,545,187.46","6,686,731.34","7,167,464.32","3,500,889.66","4,197,158.99","3,827,022.46","7,247,605.40","641,159.65","6,298,593.47","7,274,987.18","18,951,388.52","-2,316,401.06","-167,565.85","1,974,705.32","9,719,138.56","3,719,397.45","2,542,142.09","849,434.82"
减:所得税,"14,328,536.58","16,393,350.55","12,869,435.58","14,938,220.90","6,451,774.57","9,915,509.68","15,186,513.85","2,610,010.35","8,451,355.92","15,467,386.03","22,983,373.05","4,226,177.98","8,830,723.85","13,146,672.74","14,792,877.49","1,394,152.56","4,708,811.08","9,477,422.55"
加:公允价值变动净收益,,,,,,,,,,,"673,323.65",,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,
投资收益,"3,202,748.87","-770,650.00","123,179.74","302,566.98","2,443,107.75","2,754,836.96","2,732,567.56",,"5,815,601.53","9,372,097.17","13,502,762.99","2,738,911.61","10,541,894.96","14,812,547.98","14,039,969.09","6,444,950.52","14,092,328.80","20,715,878.04"
四、净利润,"83,431,969.03","86,906,228.57","54,408,212.18","85,021,469.77","45,713,120.89","72,790,832.55","99,635,740.96","18,650,609.07","47,604,063.91","92,584,204.50","133,368,693.63","22,451,997.98","57,803,906.27","94,584,185.34","121,031,786.89","22,490,960.76","58,229,003.71","69,930,045.53"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,
