科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"17,978,865.38","30,767,288.35","51,023,887.30","39,284,592.59","273,061,833.01","275,125,709.26","282,081,804.69","276,924,097.91","269,905,599.06","277,881,783.00","281,911,154.70","278,703,838.40","281,820,209.74","289,830,446.94","268,621,998.80","258,480,879.55","304,418,684.84","318,202,915.21","336,512,720.17","366,395,245.29","398,211,607.30","349,255,114.33","360,331,085.44","361,866,096.52","406,621,622.90","427,462,885.68","418,163,421.43"
短期借款,"20,000,000.00","46,000,000.00","50,000,000.00","19,600,000.00",,,,,,,,,,,,,,,,,,,,,,,"14,500,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,"36,171.60",,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"5,290,000.00","500,000.00","4,890,562.54","9,342,000.00","1,478,737.02","4,864,012.23","878,034.26","1,675,561.21","2,910,000.00","8,443,956.06","9,337,860.29","14,474,456.03","21,790,996.67","11,723,833.89","9,039,007.64","7,833,866.55","9,147,872.95","6,656,878.64","8,002,657.22","9,092,300.04","10,464,335.64","16,306,237.87","17,512,156.79","13,951,847.29","18,190,725.11","20,971,115.77"
应付票据,"4,218,216.60",,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"55,614,161.86","82,074,944.89","85,818,561.47","85,118,913.17","80,698,408.14","89,329,732.18","72,564,453.35","90,524,617.82","98,145,057.21","90,278,492.57","84,589,782.10","82,200,862.77","102,437,580.60","90,620,404.20","84,911,027.24","105,362,174.88","147,682,740.61","154,122,498.52","126,343,238.90","166,256,278.12","168,297,790.06","154,873,661.12","150,887,525.46","164,757,276.70","171,830,281.84","161,018,487.63","152,867,709.56"
应付账款,"58,251,423.54","65,461,542.18","58,074,292.53","51,919,307.23","48,908,180.18","50,747,469.32","39,222,198.36","61,396,005.85","50,322,037.20","43,196,054.21","42,935,831.16","39,506,535.89","53,907,893.61","50,942,855.96","43,785,639.04","58,051,368.18","80,061,314.13","63,840,424.46","66,474,952.75","72,880,886.68","80,946,024.26","61,032,714.16","59,006,229.92","75,245,470.51","86,962,336.58","71,837,492.24","73,234,694.14"
预付款项,"3,138,978.70","2,424,640.07","3,557,417.28","4,000,573.18","4,169,326.53","4,158,025.91","3,157,197.50","8,777,159.55","6,356,017.69","6,141,201.88","6,171,668.92","2,968,927.15","2,758,474.55","1,411,801.72","2,037,803.08","1,609,327.18","6,530,382.68","3,328,770.00","6,173,864.71","7,046,382.60","8,156,758.09","4,011,053.44","4,730,547.58","16,244,094.02","16,061,331.16","8,699,825.99","8,774,223.09"
预收款项,"1,019,252.02","762,985.07","714,116.32","1,631,411.74","1,140,112.51","968,689.31","1,053,139.51","1,582,760.39","3,372,197.20","1,368,584.29","1,364,402.62","1,098,709.16","978,127.33","825,229.14","388,508.75","554,795.30","4,923,137.22","4,981,053.65","3,787,563.59","2,700,150.53","7,671,951.72","3,668,666.89","4,245,477.07","6,520,157.24","11,626,212.49","4,759,513.60","6,299,165.88"
其他应收款,"525,524.91","1,436,195.89","1,095,830.53","-639,466.40","1,256,014.75","1,199,666.53","1,190,264.22","1,044,389.42","968,931.38","1,026,232.43","998,560.87","677,666.49","414,771.01","243,891.65","894,401.84","1,517,492.95","8,192,739.94","5,176,211.57","7,551,759.22","8,043,026.72","8,644,472.73","11,160,937.06","13,686,230.61","4,546,504.95","8,802,000.38","3,686,309.18","8,547,859.63"
应付职工薪酬,"2,893,441.87","3,322,192.67","4,405,623.38","3,417,806.08","4,741,728.26","5,662,133.30","5,442,812.96","4,805,510.28","5,530,923.14","7,806,469.03","7,194,665.65","5,620,748.09","7,147,897.80","8,409,642.86","6,945,801.39","6,045,848.97","24,996,302.68","25,550,993.04","22,191,588.57","20,622,476.59","23,119,197.11","28,478,268.84","26,541,995.54","19,987,334.23","23,990,200.41","33,260,354.26","24,114,219.17"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,920,009.78","6,090,531.55","4,072,266.74","5,302,717.15","6,264,303.10","2,212,888.78","1,495,224.29","4,203,805.09","2,352,664.90","765,385.47","2,258,952.02","2,502,887.11","3,586,612.67","862,990.63","1,633,598.27","2,289,126.56","14,055,476.70","20,391,446.76","11,447,557.67","15,192,866.43","17,806,528.53","10,752,828.15","7,633,749.75","11,395,436.21","12,775,636.50","12,378,585.30","10,210,157.73"
应收利息,,,,,,"2,094,373.68","3,840,663.29","5,353,367.39","4,178,115.49","5,820,123.64","6,659,118.79","8,256,112.59","7,941,040.17","9,674,183.94","10,602,996.80","13,089,737.31","14,073,988.37","11,491,742.07","12,205,082.97","12,128,679.33","11,819,361.20","2,949,743.47","3,109,216.08","3,093,962.61","897,297.21","578,681.82","411,847.42"
应付利息,"60,350.00","159,035.00","129,084.08","60,635.00",,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,"126,243.33","126,243.33",,,"7,081,120.40",,"319,822.11","319,822.11","271,996.94","271,996.94","271,996.94","271,996.94"
存货,"35,674,636.92","48,334,403.30","46,974,875.54","36,185,713.22","45,472,806.24","39,760,154.11","42,838,300.22","49,538,911.59","50,538,577.22","45,546,416.62","42,641,536.66","42,909,822.69","43,604,426.42","47,227,766.09","49,583,565.83","53,839,080.42","180,490,922.31","156,598,668.56","177,077,906.74","173,357,032.24","177,394,532.67","167,446,608.17","170,051,386.58","175,913,282.42","190,952,267.20","175,171,733.63","190,414,557.64"
其他应付款,"956,754.86","794,562.25","1,867,131.27","1,279,647.46","2,494,238.08","1,753,595.58","1,792,278.21","1,552,022.07","1,697,947.18","2,268,349.95","1,846,143.37","1,305,948.34","1,701,714.61","4,900,963.24","4,152,668.14","3,143,799.17","8,710,108.75","17,349,454.79","14,454,297.90","17,402,226.82","10,093,157.05","20,745,151.62","18,648,704.72","15,662,855.90","19,186,863.38","21,421,785.06","21,565,119.47"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"20,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,"198,155.87","1,337,420.73","371,264.76","40,222,800.47","37,112,950.22","37,139,842.89","62,963,388.86","47,844,731.95","1,256,372.35","1,096,137.62","2,528,694.63","66,262.92","112,182.60","544,661.68","2,833,681.29","2,531,757.94"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"112,932,167.77","170,327,472.50","188,970,572.12","168,840,888.30","414,000,388.67","413,146,398.69","410,536,695.50","433,040,577.94","431,767,859.26","429,604,250.14","431,415,778.10","425,253,246.25","454,788,379.25","461,170,755.97","468,598,427.95","480,050,650.15","706,399,339.79","721,595,362.39","720,879,752.92","743,241,700.68","783,070,751.00","704,181,439.50","719,671,388.74","744,159,784.00","809,783,828.85","797,642,330.33","802,724,561.81"
流动负债合计,"89,319,448.67","142,590,848.72","124,262,514.32","88,211,524.66","63,548,562.13","61,344,776.29","49,005,653.33","73,540,103.68","63,275,769.62","55,404,842.95","55,599,994.82","50,034,828.59","67,322,246.02","65,941,681.83","56,906,215.59","70,211,181.51","132,872,582.81","132,160,293.35","119,425,362.25","135,949,255.49","139,738,704.68","125,090,165.07","116,573,552.51","130,971,635.06","156,895,838.39","146,135,132.48","151,489,534.54"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,"6,478,302.50","6,209,687.50"
长期借款,"25,000,000.00","15,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"12,790,870.55"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,"105,806,194.24","105,631,909.02","106,087,293.71","106,422,425.56","107,866,951.99","107,610,337.94"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,"14,881,022.83","18,856,994.32","18,350,344.59","18,102,578.49","17,835,649.05","17,583,477.90","17,331,306.76","17,079,135.62","16,826,964.47","16,574,793.32","16,322,622.17","16,070,451.02","15,818,279.87","14,146,385.98","13,917,214.36","6,069,480.20","18,441,234.82","10,945,483.44","12,412,876.13","12,185,600.32","12,337,421.10","12,104,387.23","11,949,815.27","11,795,243.32","11,627,247.94","16,919,793.79"
预计负债,"2,640,506.53","3,134,802.84","3,859,668.21","4,006,183.52","3,439,875.60","3,435,932.04","3,403,739.47","4,157,088.62","3,630,799.38","3,658,447.47","3,808,127.00","3,892,533.35","3,871,636.06","3,566,202.55","3,673,877.08","3,951,926.37","4,106,651.22","5,550,578.13","5,599,506.96","5,709,431.76","5,593,896.60","6,312,829.25","6,652,518.38","6,823,624.64","6,875,365.30","30,877,852.76","30,890,746.37"
固定资产,"112,886,470.95","99,032,295.72","97,493,037.35","95,564,730.44","94,292,939.19","93,380,856.91","91,451,278.45","90,231,842.72","91,859,465.94","115,977,221.22","122,496,730.40","123,368,431.12","124,201,267.86","122,737,646.05","122,897,000.53","121,926,627.12","208,708,996.12","204,685,212.53","228,045,564.04","228,496,306.47","229,863,156.87","226,115,283.45","223,798,397.24","223,730,985.50","222,065,635.80","216,169,247.31","227,407,973.97"
递延所得税负债,,,,,,,,,,,,,,,,,"911,872.73","1,107,742.72","1,101,726.69","1,130,048.31","1,138,380.84","1,295,606.05","1,285,872.82","1,257,093.16","1,230,645.42","799,610.40","766,455.52"
在建工程,,,"88,844.00",,"236,608.64","10,321,294.10","11,090,180.96","16,862,680.96","19,847,547.96","134,001.00","1,894,887.21","2,876,811.21","920,946.21","3,098,839.47","6,809,386.73","10,878,590.42","15,479,712.74","22,721,430.52","5,561,544.02","378,746.52","424,908.35","473,246.81","473,246.81","504,208.95","874,723.69","1,723,407.36","3,800,407.63"
其他非流动负债,,,,,,,,,,,,,,"1,251,409.09",,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"27,640,506.53","18,134,802.84","13,859,668.21","14,006,183.52","3,439,875.60","3,435,932.04","3,403,739.47","4,157,088.62","3,630,799.38","3,658,447.47","3,808,127.00","3,892,533.35","3,871,636.06","4,817,611.64","4,746,513.44","4,845,790.00","10,554,451.09","11,578,017.42","11,742,157.49","11,401,631.18","11,115,655.84","11,784,732.64","12,114,688.54","12,257,015.14","12,262,308.06","37,382,513.78","50,153,123.06"
固定资产清理,,,,,"3,150.18",,,,,,,,,,,,,,,,,,,,,,
负债合计,"116,959,955.20","160,725,651.56","138,122,182.53","102,217,708.18","66,988,437.73","64,780,708.33","52,409,392.80","77,697,192.30","66,906,569.00","59,063,290.42","59,408,121.82","53,927,361.94","71,193,882.08","70,759,293.47","61,652,729.03","75,056,971.51","143,427,033.90","143,738,310.77","131,167,519.74","147,350,886.67","150,854,360.52","136,874,897.71","128,688,241.05","143,228,650.20","169,158,146.45","183,517,646.26","201,642,657.60"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"63,345,177.59","69,000,000.00","69,000,000.00","69,000,000.00","92,000,000.00","92,000,000.00","92,000,000.00","92,000,000.00","92,000,000.00","92,000,000.00","92,000,000.00","184,000,000.00","184,000,000.00","184,000,000.00","186,560,000.00","186,560,000.00","256,227,737.00","256,227,737.00","256,427,737.00","510,331,336.00","510,331,336.00","510,331,336.00","510,331,336.00","510,211,336.00","510,211,336.00","510,211,336.00","510,211,336.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"2,500.00","33,998,243.24","33,998,243.24","33,998,243.24","278,278,002.52","278,278,002.52","278,278,002.52","278,278,002.52","278,278,002.52","278,278,002.52","278,278,002.52","186,278,002.52","186,278,002.52","186,278,002.52","197,090,079.94","197,515,811.00","329,722,461.51","330,166,434.02","332,168,227.17","78,462,549.38","83,518,721.70","81,318,995.41","81,637,122.17","81,408,309.86","81,558,697.55","81,709,085.24","81,815,920.89"
无形资产,"11,882,040.84","9,201,039.40","13,821,222.49","13,745,693.01","13,636,932.30","13,524,297.23","13,478,950.39","13,408,333.65","13,292,125.95","13,871,146.69","13,899,243.39","13,737,123.05","13,575,224.97","13,414,555.24","13,937,878.68","13,790,276.56","46,864,189.85","43,574,649.06","46,511,150.04","46,388,907.00","50,539,775.54","50,853,160.72","50,322,545.16","49,653,973.03","49,586,033.73","64,666,301.29","61,408,785.29"
盈余公积,"15,658,556.86","3,419,328.96","7,503,456.48","7,503,456.48","7,503,456.48","9,281,885.18","9,281,885.18","9,281,885.18","9,281,885.18","12,076,077.24","12,076,077.24","12,076,077.24","12,076,077.24","15,274,322.83","15,274,322.83","15,274,322.83","58,129,838.95","61,594,714.37","61,594,714.37","61,594,714.37","61,594,714.37","65,053,544.28","65,053,544.28","65,053,544.28","65,053,544.28","69,138,724.00","69,138,724.00"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,"878,842.95","1,286,818.57"
减:库存股,,,,,,,,,,,,,,,,,,"260,000.00","260,000.00",,,"11,785,777.89","11,785,777.89","5,531,203.06","5,531,203.06","5,531,203.06","5,531,203.06"
商誉,,,,,,,,,,,,,,,,,,"17,550,032.74","17,550,032.74","17,550,032.74","17,550,032.74","17,550,032.74","17,550,032.74","17,550,032.74","17,550,032.74","59,350,946.33","59,786,733.70"
未分配利润,"44,107,814.43","28,443,879.73","73,430,486.02","89,006,533.67","97,681,169.90","106,838,163.45","115,393,801.95","117,569,386.76","131,319,144.63","139,437,962.31","148,975,838.17","150,786,776.38","160,396,651.26","164,644,784.38","171,946,039.85","172,476,891.48","204,679,153.65","246,523,192.29","256,421,500.46","260,018,423.84","291,329,262.81","331,219,137.57","351,424,550.92","360,023,411.75","392,826,378.26","431,947,621.57","443,926,124.55"
