科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"98,883,581.80","121,922,988.89","172,225,226.43","17,107,642.15","38,522,809.39","68,282,185.18","162,640,925.35","23,745,951.16","58,192,966.42","101,199,078.55"
取得子公司及其他营业单位支付的现金净额,,,,,,,"3,200,847.48",,,
收到的税费返还,"4,221,121.55","4,509,667.82","4,300,987.81","1,460,780.39","1,809,749.74","4,142,204.90","6,680,352.38","297,146.89","3,057,113.81","4,353,482.40"
支付其他与投资活动有关的现金,,,,,,,,,,
收到其他与经营活动有关的现金,"2,080,074.44","2,354,701.86","10,908,715.22","3,474,954.75","5,184,191.31","7,925,877.21","11,372,902.17","3,571,563.99","6,166,119.87","10,183,579.92"
投资活动现金流出小计,"25,918,127.34","35,477,387.66","23,033,393.46","5,414,357.50","8,173,363.50","14,560,130.53","19,575,015.59","1,478,042.66","5,873,417.18","52,838,562.24"
经营活动现金流入小计,"105,184,777.79","128,787,358.57","187,434,929.46","22,043,377.29","45,516,750.44","80,350,267.29","180,694,179.90","27,614,662.04","67,416,200.10","115,736,140.87"
投资活动产生的现金流量净额,"-25,914,127.34","-33,977,387.66","-23,022,893.46","-5,404,357.50","-8,163,363.50","-14,550,130.53","-19,565,015.59","-1,448,042.66","-5,801,417.18","-52,766,562.24"
购买商品、接受劳务支付的现金,"15,965,259.70","16,341,433.51","33,521,512.31","7,820,949.56","10,527,299.09","15,390,371.06","22,563,798.64","8,016,312.56","14,555,627.58","21,390,376.07"
吸收投资收到的现金,,,,,,"183,728,000.00","182,198,000.00",,"8,099,460.00","132,943,690.00"
支付给职工以及为职工支付的现金,"35,845,623.11","41,126,025.15","50,244,533.49","21,083,450.76","33,463,670.12","43,675,404.94","62,265,267.13","31,891,922.81","55,266,050.66","84,083,782.43"
取得借款收到的现金,,,"3,000,000.00",,,,,,,
支付的各项税费,"13,760,444.70","16,900,140.46","18,629,791.32","8,131,745.13","10,226,560.66","14,148,275.17","18,320,064.86","5,435,097.14","11,106,787.23","15,012,392.67"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"19,370,163.71","25,526,369.50","36,202,109.52","10,859,689.43","17,453,505.07","30,075,289.34","44,547,956.72","16,385,891.52","28,790,087.39","44,529,022.05"
筹资活动现金流入小计,,,"3,000,000.00",,,"183,728,000.00","182,198,000.00",,"8,099,460.00","132,943,690.00"
经营活动现金流出小计,"84,941,491.22","99,893,968.62","138,597,946.64","47,895,834.88","71,671,034.94","103,289,340.51","147,697,087.35","61,729,224.03","109,718,552.86","165,015,573.22"
偿还债务支付的现金,,,,,"3,000,000.00","3,000,000.00","3,000,000.00","999,000.00","1,000,000.00","1,000,000.00"
经营活动产生的现金流量净额,"20,243,286.57","28,893,389.95","48,836,982.82","-25,852,457.59","-26,154,284.50","-22,939,073.22","32,997,092.55","-34,114,561.99","-42,302,352.76","-49,279,432.35"
分配股利、利润或偿还利息支付的现金,,,"67,576.66","40,457.08","51,571.66","13,679,371.66","13,692,566.66","3,199.86","3,213.20","983,213.20"
收回投资收到的现金,,,,,,,,,,
支付其他与筹资活动有关的现金,100.50,20.50,3.50,,,"3,419,072.41","7,611,756.05","330,188.68","330,188.68","330,188.68"
取得投资收益收到的现金,,,,,,,,,,
筹资活动现金流出小计,100.50,20.50,"67,580.16","40,457.08","3,051,571.66","20,098,444.07","24,304,322.71","1,332,388.54","1,333,401.88","2,313,401.88"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,000.00",,"10,500.00","10,000.00","10,000.00","10,000.00","10,000.00","30,000.00","72,000.00","72,000.00"
筹资活动产生的现金流量净额,-100.50,-20.50,"2,932,419.84","-40,457.08","-3,051,571.66","163,629,555.93","157,893,677.29","-1,332,388.54","6,766,058.12","130,630,288.12"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,
收到其他与投资活动有关的现金,,"1,500,000.00",,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"4,000.00","1,500,000.00","10,500.00","10,000.00","10,000.00","10,000.00","10,000.00","30,000.00","72,000.00","72,000.00"
五、现金及现金等价物净增加额,"-5,670,941.27","-5,084,018.21","28,746,509.20","-31,297,272.17","-37,369,219.66","126,140,352.18","171,325,754.25","-36,894,993.19","-41,337,711.82","28,584,293.53"
购建固定资产、无形资产和其他长期资产支付的现金,"25,918,127.34","33,277,387.66","23,033,393.46","5,414,357.50",,"13,030,130.53","16,374,168.11","1,478,042.66","5,873,417.18","10,238,562.24"
期初现金及现金等价物余额,"70,109,702.07","64,438,760.80","59,354,742.59","88,101,251.79","88,101,251.79","88,101,251.79","88,101,251.79","259,427,006.04","259,427,006.04","259,434,866.04"
投资支付的现金,,"2,200,000.00",,,"8,173,363.50","1,530,000.00",,,,"42,600,000.00"
期末现金及现金等价物余额,"64,438,760.80","59,354,742.59","88,101,251.79","56,803,979.62","50,732,032.13","214,241,603.97","259,427,006.04","222,532,012.85","218,089,294.22","288,019,159.57"
