科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"300,282,020.78","602,991,883.07","932,688,400.55","1,746,454,483.91","607,760,056.94","1,327,328,160.72","2,178,589,803.74","3,038,879,134.75","827,316,877.87","1,535,300,965.90","2,371,357,088.22","3,296,907,452.84","975,842,138.65","2,100,628,760.38","3,161,019,235.59","4,277,015,953.90","1,095,009,302.07","2,273,186,896.56","3,577,738,495.64","4,997,260,237.62","1,304,110,104.24","2,813,720,635.04","4,341,079,841.47","6,331,230,117.95","2,132,125,594.52","3,831,754,828.95","5,724,031,751.36","7,413,823,840.73","1,800,836,751.91","5,651,196,790.70"
取得子公司及其他营业单位支付的现金净额,,,,,"5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,"7,607,828.00","8,399.00","28,910.38","2,243,050.49","3,247,122.62","581,441.50","7,520,036.56","7,597,336.79","3,308,860.72","20,841.15","249,879.84","497,216.67","7,119,371.66","133,139.05","132,282.38","8,379,882.33","14,262,896.27","66,087.96","575,708.41","2,466,546.70","189,371.14","219,367.17","756,978.33","3,774,626.92","3,567,484.50","3,409,332.70","8,082,217.63"
支付其他与投资活动有关的现金,,,,"1,907,528.25",,,,,,,,"126,041.19",,,,"5,222,235.46",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,452,834.19","11,812,529.22","15,309,872.24","89,513,992.61","285,854,227.25","303,595,437.66","547,327,479.71","495,873,247.20","22,726,092.11","18,642,229.38","26,321,786.98","91,907,109.08","5,345,297.11","9,759,956.96","14,528,911.11","173,610,474.99","16,423,317.96","16,052,642.67","35,982,945.19","78,146,860.78","32,653,905.65","24,306,169.82","32,404,099.17","40,519,807.00","29,482,590.83","10,904,156.90","27,024,898.50","23,836,867.41","32,480,861.04","38,609,281.00"
投资活动现金流出小计,"2,986,354.00","130,845,816.20","185,053,665.20","576,291,141.00","587,085,607.01","797,380,302.26","1,068,104,166.99","1,814,254,296.92","373,310,010.30","701,660,130.89","1,014,768,088.80","1,913,077,176.87","777,370,832.00","1,025,028,879.90","1,758,423,036.06","3,119,666,404.90","225,767,527.96","624,712,898.82","1,013,114,927.25","1,501,453,189.64","186,041,810.64","273,854,731.29","329,794,506.51","401,165,593.93","39,011,072.46","86,319,696.24","87,024,434.76","91,968,740.78","1,259,186.64","7,010,439.65"
经营活动现金流入小计,"301,734,854.97","614,804,412.29","947,998,272.79","1,843,576,304.52","893,622,683.19","1,630,952,508.76","2,728,160,333.94","3,537,999,504.57","850,624,411.48","1,561,463,231.84","2,405,276,211.99","3,392,123,422.64","981,208,276.91","2,110,638,597.18","3,176,045,363.37","4,457,745,800.55","1,111,565,759.08","2,289,371,821.61","3,622,101,323.16","5,089,669,994.67","1,336,830,097.85","2,838,602,513.27","4,375,950,487.34","6,371,939,296.09","2,161,827,552.52","3,843,415,964.18","5,754,831,276.78","7,441,228,192.64","1,836,726,945.65","5,697,888,289.33"
投资活动产生的现金流量净额,"9,797,546.00","-110,861,916.20","-151,860,877.20","-485,809,312.32","-134,880,556.69","-387,768,912.75","-591,120,804.67","-1,138,357,215.40","-373,305,401.42","-682,988,381.05","-984,100,451.24","-1,682,995,565.79","-777,369,204.60","-1,008,096,094.53","-1,635,033,350.69","-2,982,276,722.50","-211,582,527.96","-589,580,418.82","-792,783,313.25","-1,270,216,771.68","-178,365,584.00","-248,198,887.73","-206,489,798.38","-177,465,107.02","-33,191,072.46","-80,529,847.24","109,955,414.24","135,011,503.27","1,740,813.36","59,054,662.29"
购买商品、接受劳务支付的现金,"122,822,807.27","313,945,528.59","462,309,496.83","1,059,387,986.68","395,731,483.91","733,452,206.49","1,201,282,275.52","1,485,858,672.94","348,675,173.03","810,981,355.96","1,343,536,668.36","1,964,952,191.76","659,691,512.98","1,311,657,614.92","1,907,372,457.80","2,570,453,396.52","726,289,701.12","1,647,347,135.70","2,667,802,303.53","3,250,539,933.61","900,351,953.28","2,031,391,079.58","3,087,044,599.98","4,443,734,647.92","1,501,897,998.55","2,844,474,110.25","4,187,629,310.07","4,991,297,442.11","1,288,698,512.34","3,908,677,216.01"
吸收投资收到的现金,,,,"1,723,752,465.07","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,"45,000,000.00","45,000,000.00",,,,"1,525,750,000.00",,,,"42,496,533.48",,,,,,
