科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"14,562,283.91","39,572,557.87","46,072,176.59","25,420,153.74","346,380,195.81","298,385,166.06","283,786,772.67","269,446,246.34","236,958,441.45","195,577,178.33","162,380,103.00","128,720,656.19","172,211,167.08","150,669,832.50","112,266,907.11","100,873,469.71","116,846,625.04","103,106,586.12","119,255,604.84","189,868,931.37","247,182,615.45","220,885,978.81","126,357,212.27","97,195,356.82","122,511,631.68","115,083,237.92","103,661,949.18","151,237,383.71","469,488,880.41","361,430,113.46","336,887,028.92","306,746,982.78","539,744,519.22","590,810,617.22","334,527,226.80","296,431,197.40","264,454,811.21","375,286,802.17","448,192,042.98","1,328,189,006.81","1,122,489,618.92","1,139,513,771.12"
短期借款,"19,800,000.00","27,200,000.00","35,000,000.00","26,000,000.00",,,,,,,,,,,,,,,,,,"32,778,103.10","79,394,263.10","52,970,273.10","35,000,000.00","47,000,000.00","132,349,760.00","215,074,411.94","107,295,446.85","153,874,954.29","272,797,859.73","462,634,310.52","623,935,783.52","507,681,995.29","445,056,615.25","542,119,706.80","504,250,310.82","763,273,091.80","849,838,250.87","908,936,995.99","815,200,207.77","832,351,233.72"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,950,000.00",,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,554,450.00","1,250,000.00","200,000.00","1,544,336.00","6,941,991.00","4,885,670.60",,"4,509,309.19","5,563,996.00","12,658,632.26","17,360,000.00","21,840,000.00","29,305,772.49","31,750,206.93","19,109,938.84","30,177,593.56","36,491,555.51","20,326,325.10","18,959,734.80","40,988,768.53","72,120,314.41","81,071,875.62","77,684,448.39","77,968,125.76","74,952,161.91","49,171,175.68","70,354,239.88","74,953,767.25","101,504,550.95","50,324,638.84","55,207,826.05","41,727,180.29","103,931,905.63","54,988,756.03","34,641,794.79","34,281,500.07","237,260,998.16","125,521,169.55","221,612,899.64","39,496,328.10","277,508,981.36","287,231,792.11"
应付票据,,"7,100,000.00","6,200,000.00","11,900,000.00","8,100,000.00",,,,,,,,,"1,416,534.00","1,647,762.41","1,352,106.34","1,590,253.95","732,030.83","32,151,778.49","93,808,370.52","157,043,855.50","174,969,365.34","135,902,646.54","96,412,366.99","93,641,716.70","101,371,240.94","94,832,432.97","81,064,075.29","113,954,535.49","113,136,851.01","76,196,924.33","183,532,540.70","274,644,365.39","200,018,516.35","262,519,620.56","365,116,126.02","410,474,139.23","574,272,912.62","592,438,998.84",,"909,595,645.25",
应收账款,"53,266,615.52","56,806,618.35","55,698,516.80","59,459,012.95","78,372,932.10","63,510,822.01","80,359,842.17","83,310,514.77","125,766,964.33","156,788,402.13","136,872,863.17","154,122,749.94","190,793,287.06","190,335,343.41","194,059,435.05","230,183,448.32","274,209,936.62","276,307,231.30","298,226,695.40","301,260,604.72","313,751,153.04","321,774,562.09","374,936,055.09","334,251,149.41","311,272,142.50","310,167,463.43","339,601,897.10","397,067,306.97","390,248,976.60","476,222,239.84","489,401,717.73","674,997,996.15","825,216,145.98","880,068,692.36","884,166,485.46","1,066,988,897.01","1,285,705,223.95","1,399,331,126.27","1,764,054,058.64","2,023,169,084.72","1,817,065,692.66","1,878,841,753.77"
应付账款,"29,950,431.39","30,483,383.57","24,325,854.44","17,849,729.04","33,311,468.53","28,676,931.34","34,940,899.73","43,366,372.21","68,786,774.72","60,945,706.25","67,373,345.89","66,230,962.75","83,716,840.62","64,114,814.74","81,533,222.44","74,159,953.90","80,547,468.69","114,844,404.10","114,532,024.66","124,250,474.19","105,701,366.06","122,384,673.17","178,508,582.85","195,854,580.11","193,487,955.41","188,391,581.04","201,986,843.83","225,271,747.07","208,021,897.25","316,373,833.72","555,878,793.49","578,570,402.86","639,131,490.00","834,356,546.29","1,015,528,762.05","1,388,101,580.28","1,670,942,440.28","1,849,417,632.30","2,086,394,363.21",,"1,952,776,276.71",
预付款项,"3,392,540.24","5,141,188.86","4,430,686.86","5,353,176.50","27,931,369.31","24,741,197.95","32,713,550.17","31,743,985.23","25,118,763.25","13,296,773.22","22,127,298.57","37,438,696.91","27,161,374.25","29,071,315.32","29,800,790.58","27,521,019.56","16,368,655.13","32,419,520.71","32,033,303.81","44,234,760.28","41,418,152.57","68,696,922.82","55,535,035.42","77,107,963.63","38,466,591.51","65,944,877.13","51,826,113.67","37,283,161.71","12,620,681.63","26,419,474.06","54,472,714.96","87,354,005.95","12,742,510.74","59,387,126.55","80,728,824.42","108,546,815.64","43,585,618.47","179,693,091.58","50,916,790.51","35,220,271.81","32,897,150.45","32,822,663.42"
预收款项,,,,,"4,913,960.51",,,,"5,034,983.72","3,611,666.84",,,"13,062,550.53","7,426,566.84","10,043,690.96","10,336,594.81","12,203,130.38","19,916,385.16","37,051,012.74","42,060,702.03","19,046,363.40","30,625,598.67","18,504,201.72","18,103,026.31","24,687,581.46","14,728,899.24","13,322,240.74","17,430,775.42","16,000,925.13","25,700,263.89","23,379,210.43","59,579,188.51","47,028,915.18","67,370,026.02","18,356,079.10","17,730,412.03","33,545,847.38","30,091,424.61","46,290,696.95","40,787,613.44","38,841,242.10","38,928,345.66"
