科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"1,654,235.64","14,188,004.94","20,097,204.80","6,207,931.07","15,628,819.93","7,111,203.64","299,811,313.73","299,968,349.06","288,791,171.73","288,503,788.48","264,986,913.57","234,112,867.60","202,875,452.52","226,061,054.25","205,171,999.42","143,849,921.89","96,855,175.81","94,910,560.84","81,253,831.26","50,649,242.20","118,879,158.72","99,052,696.42","844,765,073.31","669,178,459.91","720,016,617.43","683,812,419.15","816,661,559.95","811,308,489.87","475,973,103.93","503,711,148.44","386,958,129.41"
短期借款,"2,100,000.00","22,100,000.00","58,200,000.00","69,200,000.00","74,430,167.00","72,800,000.00",,,,,,,,,,"30,000,000.00","5,000,000.00","17,000,000.00","37,000,000.00","60,900,000.00","143,900,000.00","170,900,000.00","126,900,000.00","6,000,000.00","6,000,000.00","208,000,000.00","313,000,000.00","496,000,000.00","483,000,000.00","498,000,000.00","445,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,"165,183.28","164,359.10","168,683.54","169,868.95","176,462.43","28,686.39",,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,146,722.00","4,059,623.37","13,166,204.93","4,304,315.21","2,124,000.00","5,981,711.00","3,358,739.16",,"4,308,329.70","5,666,306.23","4,743,634.83","5,102,144.12","6,675,334.88","5,367,124.25","9,746,177.69","3,667,067.22","7,719,285.13","8,569,502.95","6,661,549.20","12,632,301.14","11,528,498.88","22,981,196.12","23,910,487.62","49,053,410.08","30,727,708.37","46,795,675.39","40,705,008.89","67,310,290.11","76,936,701.26","95,264,974.62","120,529,171.34"
应付票据,,"3,466,228.49","17,382,159.10","7,705,091.31","6,130,738.49","2,101,660.00","3,715,759.50","7,848,357.27","13,869,044.82","18,229,435.05","21,653,456.99","20,497,336.36","10,092,500.10","10,988,144.73","6,507,000.00","10,527,522.74","15,611,646.74","13,701,394.00","16,291,480.00","18,397,005.80","24,776,505.80","19,999,492.20","17,326,183.60","58,263,415.70","86,065,015.80","98,215,052.23","88,775,613.10","73,928,274.27","100,522,582.78","110,816,541.86","108,704,397.04"
应收账款,"3,693,444.94","10,727,031.27","14,760,340.09","26,714,039.10","30,243,015.76","23,064,696.35","42,916,842.89","41,741,064.93","39,432,397.99","39,377,383.06","44,165,507.88","58,800,178.74","58,961,102.63","66,979,505.92","72,587,463.76","130,662,382.88","150,551,779.60","157,289,676.19","165,307,504.03","218,836,215.87","270,801,833.02","257,441,379.10","252,351,218.16","258,163,153.11","281,101,079.15","363,220,642.82","439,977,698.32","516,843,150.62","574,197,062.87","554,879,376.40","539,848,326.61"
应付账款,"2,505,783.77","5,368,131.85","8,092,879.44","22,738,233.93","15,547,059.99","15,857,925.48","20,686,279.08","9,556,839.14","14,657,055.80","24,508,970.55","20,671,335.86","18,841,144.23","9,473,735.90","50,851,584.81","48,324,101.24","70,390,381.73","74,975,640.05","75,277,652.98","69,777,633.09","90,458,877.93","110,498,428.35","76,072,432.09","83,862,365.58","86,548,820.50","81,673,193.33","100,527,401.42","121,294,632.57","133,091,522.67","155,147,052.09","158,459,869.44","138,275,689.04"
预付款项,"5,646,342.55","1,953,715.54","4,982,733.81","6,767,172.70","5,712,773.70","4,452,273.99","6,790,978.68","5,177,495.00","4,939,360.94","2,093,508.31","9,980,158.14","11,869,412.35","29,522,447.69","25,817,919.45","34,338,757.39","41,618,955.38","37,441,030.40","12,153,876.58","25,509,457.20","27,678,541.88","23,560,705.55","6,787,702.66","7,700,759.33","11,363,034.62","13,166,887.23","12,776,390.25","26,426,722.21","32,779,212.61","35,017,125.73","18,758,430.06","24,971,811.44"
预收款项,"180,484.16","687,477.02","12,775.00","14,525.00","21,775.00","166,472.93","59,507.19","323,201.39","13,500.00",,"305,733.63","190,303.96","198,358.40","190,354.52","292,363.31","2,867,793.35","2,866,543.89","2,712,821.20","3,357,666.94","4,534,374.58","4,116,509.64","3,416,111.15","4,223,783.47","3,813,580.01","2,570,244.62","629,963.43","1,092,684.36","3,599,104.42","5,951,062.56","4,077,507.40","5,707,172.23"
