科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"296,736,369.12","565,076,092.74","749,241,853.39","278,712,348.91",,"365,981,804.66","49,112,673.72","222,081,705.96","393,960,308.53","396,691,436.12","161,413,870.61","335,716,365.26","579,380,010.18","666,370,017.08","165,954,986.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"11,482,486.81","11,482,486.81","11,482,486.81",,,,,
收到的税费返还,,,,,,,,,,,"231,364.05","207,964.05","447,564.78","20,076,783.17","2,171.87"
支付其他与投资活动有关的现金,"44,080,926.71",,"7,955,035.55","300,000.00",,,,"646,094,970.22","690,630,286.00","548,000,000.00","102,000,000.00","122,000,000.00","190,000,000.00","2,470,000,000.00","245,778,347.35"
收到其他与经营活动有关的现金,"431,562.23","5,498,002.85","7,002,194.99","37,923,623.34",,"39,187,341.49","6,208,612.33","16,510,503.16","22,777,820.84","12,457,822.02","7,410,061.52","21,547,450.30","42,528,737.69","22,890,989.81","18,206,027.78"
投资活动现金流出小计,"90,632,224.80","229,415,423.18","138,622,986.43","95,992,132.74",,"125,866,772.10","263,719,342.23","696,204,030.54","798,932,791.21","674,622,264.12","150,663,589.95","222,013,746.32","356,532,300.75","2,693,399,839.17","412,191,523.06"
经营活动现金流入小计,"297,167,931.35","570,574,095.59","756,244,048.38","316,635,972.25",,"405,169,146.15","55,321,286.05","238,592,209.12","416,738,129.37","409,149,258.14","169,055,296.18","357,471,779.61","622,356,312.65","709,337,790.06","184,163,186.63"
投资活动产生的现金流量净额,"-90,632,224.80","-218,250,323.18","-138,622,106.43","-88,037,097.19","-134,476,500.00","-117,881,736.55","-263,642,820.86","-689,676,844.32","-786,814,210.46","-658,546,393.42","-137,369,967.17","-195,663,854.27","-102,882,024.90","-223,930,426.99","36,488,030.24"
购买商品、接受劳务支付的现金,"214,656,216.35","284,323,654.02","498,743,237.01","223,760,068.18",,"201,749,901.54","50,285,634.45","166,539,841.96","304,784,014.76","233,826,328.95","226,069,659.19","447,530,672.03","758,157,725.49","831,844,948.41","144,007,313.25"
吸收投资收到的现金,"24,800,000.00",,"30,000,000.00",,,,"1,029,312,858.46","1,028,365,688.70","1,028,365,688.70","1,106,762,573.43",,"15,000,000.00","15,000,000.00","30,000,000.00",
支付给职工以及为职工支付的现金,"12,304,146.81","21,935,986.37","32,797,163.28","19,801,785.46",,"39,908,554.39","12,198,098.34","21,931,892.64","35,072,422.80","49,109,238.04","16,805,736.68","24,825,277.52","43,913,848.97","60,520,591.19","19,566,116.03"
取得借款收到的现金,"75,274,000.00","95,000,000.00","120,000,000.00","96,900,000.00",,"96,900,000.00",,,"150,000,000.00","150,000,000.00",,"170,000,000.00","295,000,000.00","721,890,000.00","79,400,000.00"
支付的各项税费,"19,014,068.51","59,751,349.84","72,934,880.36","20,255,731.50",,"52,136,899.99","8,338,597.36","21,055,689.04","30,089,363.12","56,677,780.64","11,435,331.73","24,782,684.75","44,672,992.14","45,460,877.77","4,763,078.67"
收到其他与筹资活动有关的现金,,"20,000,000.00",,,,,"3,500,000.00",,,"200,000,000.00",,"37,000,000.00","46,000,000.00","63,000,000.00","3,000,000.00"
支付其他与经营活动有关的现金,"26,244,260.40","30,073,773.95","64,665,035.52","20,846,317.49",,"31,227,034.76","13,679,418.70","27,683,027.63","53,914,150.06","58,639,661.45","693,607.05","44,657,312.95","55,863,365.62","105,924,750.79","88,199,232.12"
筹资活动现金流入小计,"100,074,000.00","115,000,000.00","150,000,000.00","96,900,000.00",,"96,900,000.00","1,032,812,858.46","1,028,365,688.70","1,178,365,688.70","1,456,762,573.43",,"222,000,000.00","356,000,000.00","814,890,000.00","82,400,000.00"
经营活动现金流出小计,"272,218,692.07","396,084,764.18","669,140,316.17","284,663,902.63",,"325,022,390.68","84,501,748.85","237,210,451.27","423,859,950.74","398,253,009.08","255,004,334.65","541,795,947.25","902,607,932.22","1,043,751,168.16","256,535,740.07"
偿还债务支付的现金,"80,800.00","35,193,200.00","55,000,000.00","35,000,000.00",,"62,500,000.00","234,400,000.00","234,400,000.00","251,400,000.00","251,400,000.00",,,"150,000,000.00","377,190,000.00","52,100,000.00"
经营活动产生的现金流量净额,"24,949,239.28","174,489,331.41","87,103,732.21","31,972,069.62","57,868,400.00","80,146,755.47","-29,180,462.80","1,381,757.85","-7,121,821.37","10,896,249.06","-85,949,038.47","-184,324,167.64","-280,251,619.57","-334,413,378.10","-72,372,553.44"
分配股利、利润或偿还利息支付的现金,"5,512,266.66","6,403,944.32","11,027,702.12","7,056,315.74",,"13,885,950.64","1,755,651.46","15,024,509.48","17,718,427.68","14,727,091.52","1,870,379.16","15,346,690.87","19,259,400.45","24,766,794.31","6,970,473.76"
收回投资收到的现金,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"20,990,000.00","20,567,800.00","3,000,000.00","1,000,000.00",,"1,000,000.00","1,000,000.00","17,180,000.00","27,140,000.00","278,250,338.98",,"20,000,000.00","37,000,000.00","68,062,500.00","12,649,193.70"
