科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"52,684,846.63","48,396,826.18","35,085,250.85","51,940,125.07","54,927,402.98","804,208,832.98","881,479,145.44","789,280,654.55","829,456,032.24","731,703,138.71","511,622,981.59","535,932,179.95","501,289,834.49","335,499,151.58","203,536,270.37","291,761,235.34","279,130,064.92","138,288,493.32","117,445,253.53","225,475,810.59","146,687,389.26","86,777,615.67","127,316,738.26","67,427,062.19","99,215,494.84","81,264,576.87","104,743,680.70","137,970,365.68","99,027,464.94","112,887,523.81","122,162,532.60","202,233,341.13","94,687,288.77","255,758,009.38","209,097,863.26","149,039,094.16","260,693,086.27"
短期借款,"292,682,855.10","289,912,958.22","263,399,307.63","206,179,631.43","188,081,504.42","74,032,756.72","219,912,452.32","65,686,155.76","29,349,100.90","245,210,911.02","258,557,635.16","388,268,025.50","297,963,206.47","400,846,232.83","367,146,893.99","456,306,797.38","286,072,978.42","465,557,511.10","601,625,080.75","594,573,478.29","520,372,878.75","586,817,740.92","586,176,543.07","521,918,829.18","510,516,634.22","488,636,240.50","538,909,344.94","472,240,158.46","495,975,600.44","619,033,248.14","705,892,749.44","728,904,362.30","798,640,745.02","912,652,396.55","972,481,691.77","1,035,083,372.95","1,095,292,344.60"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,"6,987,991.38",,,,,,,,,,,,
应付票据,"1,575,753.00",,"9,518,910.41","3,086,766.78","1,191,772.25","6,052,871.49","4,219,751.90","4,095,905.59",,,,,,,,,,"4,386,296.65","961,000.00",,,"6,429,237.68","15,496,405.89","28,154,030.43","6,995,019.33","534,000.00","31,269,510.76","21,816,890.28","25,464,513.47","21,629,055.44","8,024,823.26","9,994,823.26",,"108,000.00","6,245,603.41","7,726,366.98","2,322,147.32"
应收账款,"300,881,005.26","192,546,570.77","304,177,712.38","208,261,396.14","224,087,756.22","316,491,343.85","282,311,260.82","240,512,971.82","237,356,574.71","398,032,361.47","391,803,001.99","335,948,015.70","351,455,240.01","457,074,764.91","430,781,599.34","357,374,874.34","403,680,039.50","524,200,109.76","555,453,046.07","470,205,380.91","484,773,904.55","652,885,169.06","592,358,628.33","567,067,698.04","568,669,862.29","663,078,927.56","633,073,485.29","610,432,753.09","585,755,399.67","807,597,272.71","780,757,699.95","763,811,893.15","760,662,560.87","778,984,582.86","745,757,061.77","804,032,645.07","760,001,306.12"
应付账款,"92,881,361.34","129,914,380.82","119,965,502.43","68,478,538.29","66,780,098.45","43,719,699.38","105,708,666.05","39,278,181.95","19,460,799.99","26,105,298.64","75,741,602.12","26,995,434.46","28,952,919.34","24,587,297.91","116,208,502.96","16,507,995.82","42,053,485.66","5,449,885.74","167,753,400.32","4,961,652.52","52,203,484.57","172,401,069.22","219,433,277.61","151,356,228.24","241,536,248.95","292,466,667.44","123,112,734.01","152,465,074.91","110,158,511.53","198,360,040.43","203,303,559.00","186,091,539.47","224,878,897.06","136,415,350.32","222,107,329.18","169,972,266.08","190,029,923.49"
预付款项,"40,727,272.86","25,568,253.74","17,350,164.68","3,162,608.88","19,028,373.58","10,064,076.43","21,226,031.58","8,071,106.37","12,610,242.39","16,633,708.40","31,899,929.69","17,854,161.98","40,216,084.21","12,756,689.40","46,011,849.45","44,984,667.85","18,533,674.16","45,972,412.14","16,801,387.71","52,976,620.31","17,303,314.92","10,467,903.26","32,272,250.70","15,266,169.55","44,727,815.05","115,807,803.22","54,102,101.51","56,249,276.36","75,042,897.34","110,407,616.85","83,390,752.25","65,962,809.57","49,005,701.51","137,512,871.94","48,492,398.47","57,221,462.82","141,130,157.31"
预收款项,"5,809,011.10","8,468,938.38","8,519,432.84","3,028,821.17","7,726,137.27","1,532,466.40","10,428,014.19","158,304.77","60,000.00","279,934.90","12,705,586.16","555,675.40","11,523,772.48","1,421,058.52","27,304,546.33","15,454,692.50","14,133,760.59","19,588,587.90","20,084,519.78","13,407,932.30","23,726,786.78","223,604.48","29,679,077.93","8,032,991.00","26,194,794.85","37,989,408.65","22,459,666.78","34,959,640.60","42,851,032.94","46,641,682.50","29,059,878.34","42,005,698.47","33,724,594.41","44,472,971.17","29,213,299.70","54,935,937.36","49,037,369.99"
其他应收款,"16,061,136.88","7,196,707.39","15,077,246.68","4,062,941.52","7,437,576.81","5,510,000.30","22,234,614.45","6,364,781.51","12,110,714.58","13,623,542.94","15,949,915.72","6,364,567.22","11,714,909.45","27,025,716.91","16,872,358.32","15,608,398.00","20,562,749.17","27,020,469.73","135,393,015.75","57,370,767.93","52,291,867.95","56,881,405.25","184,051,895.36","177,382,808.23","173,485,033.15","213,228,492.91","103,718,683.41","119,513,734.32","111,765,369.04","105,776,858.09","101,714,010.53","97,133,550.92","92,686,737.87","109,917,110.91","90,450,331.90","225,467,778.93","186,638,708.20"
应付职工薪酬,"3,570,297.00","43,250.00","244,483.00","2,543,010.65","3,979,566.84","3,344,037.19","6,379,462.08","5,672,081.17","6,668,051.31","9,383,794.23","9,816,504.56","9,645,457.31","10,622,283.13","12,989,975.58","12,182,057.65","10,557,666.69","11,037,979.14","12,869,109.29","13,337,171.39","12,317,257.65","12,648,431.38","13,691,868.81","15,356,572.39","7,140,091.56","11,204,879.22","12,469,894.88","13,150,006.74","14,368,139.99","13,953,014.90","13,831,514.96","16,789,982.66","16,111,762.92","15,407,620.69","16,716,102.06","20,173,820.61","17,881,856.88","20,378,660.41"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
