科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"80,617,961.48","103,865,825.89","55,178,732.97","133,537,891.60","96,431,680.98","130,113,256.43","153,067,953.37","21,310,868.43","81,717,288.84","146,017,206.51","233,820,732.44","22,532,971.41","92,242,000.08","132,960,276.40","241,842,061.47","64,291,020.99","246,920,979.62","362,045,127.92","533,873,608.09","128,589,952.44","221,405,241.42","288,542,840.71","330,683,610.62","39,418,544.63","102,776,013.82","167,488,968.67","226,820,713.14","46,946,515.63","110,215,854.02","167,536,213.42","219,707,249.96","55,782,886.39","171,977,947.90","230,482,136.64","293,622,847.33","72,578,203.86","151,564,945.25"
二、营业利润,"35,961,402.95","46,275,439.36","18,133,802.39","52,103,159.41","36,552,632.29","50,818,188.67","55,001,716.72","5,571,575.39","27,118,095.76","47,517,000.13","76,475,681.59","2,729,699.98","25,124,785.61","36,145,565.98","58,218,679.13","8,942,840.92","45,337,359.02","65,521,501.33","73,303,022.32","15,587,738.46","37,487,917.54","51,485,178.39","51,208,409.58","2,419,479.99","24,615,181.35","35,707,367.51","43,113,047.14","5,458,544.60","17,324,142.73","24,387,426.20","27,337,411.27","7,111,814.54","25,942,272.76","34,449,873.49","51,051,936.05","11,269,784.70","24,259,178.09"
减:营业成本,"35,511,592.45","44,085,074.43","26,988,220.56","61,258,446.56","46,534,206.29","62,517,568.05","73,109,906.01","11,820,119.47","44,465,780.80","86,569,006.98","136,855,368.55","13,136,216.26","50,507,924.32","74,719,765.77","169,285,611.31","48,980,980.96","190,720,429.14","281,026,217.14","436,921,356.94","111,298,288.10","181,438,402.24","224,042,993.24","253,244,738.39","31,632,421.30","68,517,391.61","118,384,447.22","162,436,716.99","33,860,519.70","78,526,150.94","124,567,205.78","164,336,506.44","41,217,603.85","128,672,319.67","168,640,280.60","213,431,992.85","56,981,568.15","112,157,916.15"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"836,827.15","689,731.78","693,945.10","1,582,646.20","1,019,963.36","1,237,992.44","1,473,811.87","50,975.91","569,671.41","1,040,845.01","1,913,339.29","145,900.01","1,148,104.38","1,284,596.29","1,757,639.58","210,381.64","936,805.80","899,379.76","947,291.43","1,646.40","403,268.06","673,985.88","979,573.94","90,863.77","682,195.25","848,735.09","1,038,623.37","135,113.62","549,881.00","722,832.21","1,651,569.96","908,012.29","2,227,719.22","3,108,631.21","5,314,405.63","872,618.18","1,773,034.16"
营业外收入,,"1,272,636.80","840,100.02","2,534,044.30","2,036,490.41","3,941,661.98","6,580,736.99","59,926.73","392,573.62","594,934.62","639,256.54","3,300,000.00","3,316,771.70","3,782,568.70","3,827,568.70","76,340.00","233,850.89","406,451.09","6,900,234.16","122,000.00","550,225.55","1,607,204.30","12,398,338.89",107.60,"334,154.07","412,816.84","1,148,260.25","602,513.18","797,993.56","1,581,792.64","2,556,411.01","111,045.93","245,992.45","851,480.65","250,712.21","1,200.43","109,129.98"
销售费用,"5,692,556.38","7,399,529.46","4,102,315.95","9,384,320.85","5,304,488.36","7,793,163.24","10,513,457.71","4,172,773.56","7,206,371.56","10,468,312.04","15,647,358.78","4,919,476.90","9,547,366.18","14,575,079.00","15,116,201.64","3,365,001.51","6,857,387.93","10,771,336.73","16,255,406.88","3,135,750.92","7,247,298.52","11,494,364.34","19,967,704.69","2,781,545.18","6,180,721.09","11,208,901.81","19,222,791.11","4,519,483.70","9,654,124.65","13,639,722.21","20,836,946.04","4,489,448.97","8,871,389.79","14,352,397.92","21,030,033.99","4,153,581.73","9,892,731.21"
减:营业外支出,"13,510.00","922,145.87","200,150.00","228,184.78","50,000.00","2,737,514.29","86,880.98",,,"100,050.00","100,100.00",,,"3,770.74","28,895.38",,,,,"95,651.14","105,554.95","106,154.95","834,733.77",,,,"50,531.60","179,211.85","180,916.83","660,918.87","687,295.68",,100.00,100.00,100.00,,"1,500.00"
管理费用,"3,493,768.45","6,612,373.20","4,095,936.44","9,563,931.94","4,962,663.51","6,872,004.75","12,059,805.79","2,728,426.68","5,360,456.73","7,905,936.45","11,334,651.32","3,888,886.44","7,338,233.12","9,981,957.38","13,107,580.30","3,342,281.49","6,428,242.50","14,916,046.39","18,134,874.65","3,860,071.19","9,293,791.05","14,433,195.37","25,120,154.02","5,925,358.32","13,779,578.49","19,258,166.45","26,848,477.46","5,077,362.92","11,851,877.13","17,246,880.33","23,243,937.20","5,529,345.35","12,305,195.43","17,483,735.29","25,379,559.95","5,344,498.38","13,558,768.49"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,"3,895.38",,,,,,,,"782,133.77",,,,"2,688.94","10,566.65","11,340.62","11,340.62","37,715.39",,,,,,
