科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"395,792,299.25","602,056,698.18","604,348,859.97","155,062,777.71","207,952,824.26","278,957,762.79","453,688,468.43","170,192,604.83","317,735,087.61","436,718,960.53","640,721,060.64","181,879,681.03","343,549,808.83","489,268,841.71","680,145,977.52","234,636,568.60","405,909,269.66","866,864,828.93","1,902,266,125.90","402,780,540.75","1,299,489,079.95","1,881,759,948.54","2,794,131,906.61","677,877,079.88","2,117,051,066.10","2,692,868,290.47","3,437,118,616.94"
二、营业利润,"32,971,631.00","73,082,002.30","76,237,910.28","15,134,994.28","-274,985.63","-3,432,826.61","1,042,269.31","16,397,779.22","11,489,561.31","8,953,890.93","18,140,533.63","16,171,717.64","14,426,112.28","-1,515,489.12","-12,522,619.34","3,995,701.68","-8,383,536.65","52,153,032.96","143,521,847.03","51,060,036.00","134,161,671.10","233,044,473.91","358,358,975.61","112,297,072.61","260,266,931.18","314,828,205.68","414,764,282.75"
减:营业成本,"315,068,441.91","440,443,077.77","417,962,366.30","113,566,863.88","154,398,210.33","207,957,318.54","340,501,712.30","128,001,402.83","243,423,213.82","331,532,274.16","482,664,581.65","137,411,625.38","257,644,023.28","371,698,068.60","514,409,240.16","175,735,798.78","298,480,393.98","633,188,604.84","1,430,318,019.99","258,323,885.78","1,032,023,209.55","1,432,929,550.97","2,025,559,573.46","460,665,867.13","1,604,124,856.29","2,005,609,384.97","2,515,840,400.81"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"515,370.92","1,128,361.75","1,609,711.07","537,857.60","1,029,128.71","1,293,100.96","1,491,287.12",,"1,998,086.15","2,058,534.68","2,822,812.18","872,810.85","1,143,632.54","1,298,975.56","1,445,320.04","209,047.08","514,131.52","2,769,902.18","8,011,586.07","2,185,464.49","-30,846,088.13","-35,062,682.43","5,569,784.05","5,076,858.38","8,740,809.72","11,999,551.94","14,920,783.65"
营业外收入,"701,625.00","1,404,626.91","964,594.95",,"304,655.00","3,788,127.88","2,280,919.48","8,052.00","848,272.92","4,219,815.83","4,896,587.00","263,989.88","15,790,393.86","16,353,048.55","16,967,128.03","1,614,443.39","2,151,118.20","2,725,518.22","22,295,639.25","521,748.58","4,856,357.35","3,259,833.71","5,973,368.57","726,727.90","4,310,822.98","5,352,174.56","4,005,915.16"
销售费用,"26,742,214.25","38,835,893.84","44,339,830.50","8,370,087.14","14,013,876.17","19,884,618.81","27,001,725.66","10,824,390.16","21,514,153.19","33,879,527.59","41,847,808.53","11,691,183.78","34,822,371.13","57,337,313.42","78,802,973.85","25,414,951.04","49,708,934.98","73,206,602.10","103,497,573.70","33,925,552.60","60,308,031.70","86,750,808.40","106,989,141.40","37,108,492.26","65,875,834.22","107,109,505.19","125,012,570.84"
减:营业外支出,"17,857.87","109,928.23","151,217.37","80,457.71","144,639.36","176,099.20","296,105.77","20,740.28","74,048.46","74,048.66","79,802.30","1,096.49","402,332.06","436,907.61","637,781.06","14,419.66","31,352.98","459,636.67","827,016.47","67,365.29","163,338.17","147,236.19","194,368.09","39,445.29","49,726.92","901,826.16","1,496,753.45"
管理费用,"18,027,390.11","42,473,546.94","52,651,348.91","12,399,191.64","30,478,962.47","44,733,326.43","69,488,264.61","11,720,904.62","34,022,147.39","52,865,494.72","78,315,884.00","16,019,511.44","40,556,467.22","64,497,316.19","91,657,514.91","26,382,545.20","52,124,799.50","80,069,372.63","117,789,511.75","26,392,396.56","51,373,377.68","86,026,377.11","146,888,737.33","38,104,000.12","88,361,352.95","124,129,946.71","180,117,042.42"
其中:非流动资产处置净损失,"9,654.83","1,440.00",,,"144,639.36",,"160,829.85","20,740.28",,"74,048.66","79,602.30","1,096.49","102,788.04","113,316.23","310,606.04",487.93,"1,474.43","23,636.98","180,899.43",,"93,739.47","103,605.79","111,750.51","38,401.90","45,414.33","38,401.90",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,818,983.25","6,506,431.26","10,179,218.02","5,053,783.17","8,307,632.21","8,522,224.67","8,851,619.74","835,736.66","5,287,925.75","7,429,238.45","9,011,311.96","-287,168.06","1,350,790.29","2,346,244.97","10,143,689.20","2,791,637.39","11,224,397.69","21,877,377.63","48,448,480.40","30,678,944.03","51,960,782.01","74,778,847.36","95,586,657.63","24,175,979.12","60,959,846.62","103,937,459.32","144,713,622.96"
三、利润总额,"33,655,398.13","74,376,700.98","77,051,287.86","15,054,536.57","-114,969.99","179,202.07","3,027,083.02","16,385,090.94","12,263,785.77","13,099,658.10","22,957,318.33","16,434,611.03","29,814,174.08","14,400,651.82","3,806,727.63","5,595,725.41","-6,263,771.43","54,418,914.51","164,990,469.81","51,514,419.29","138,854,690.28","236,157,071.43","364,137,976.09","112,984,355.22","264,528,027.24","319,278,554.08","417,273,444.46"
资产减值损失,"648,267.81","-201,991.03","1,368,474.89",,,,"5,311,589.69",,,,"7,918,128.69",,,,"2,634,484.75","106,887.43","2,240,148.64","2,146,335.85","49,247,198.70","214,261.29","508,096.04","3,292,573.22","55,179,037.14","448,810.26","28,721,435.11","25,254,236.66","48,532,764.43"
减:所得税,"7,722,619.70","18,701,033.43","19,735,802.01","-2,946,863.14","-3,464,080.32","-3,236,851.59","-2,803,744.06","3,328,769.77","1,203,881.96","1,214,807.24","2,840,718.48","3,157,460.69","532,846.25","146,485.27","-2,347,563.39","1,527,909.74","1,138,127.61","13,033,197.97","28,754,224.62","5,400,688.70","16,304,445.40","27,028,747.26","51,673,334.58","15,323,216.49","38,856,320.38","48,440,577.90","103,633,958.46"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"210,624.65",,,,,,,,,,,"6,393,587.91","6,393,587.91","6,424,626.05",,,"-1,453,600.74","-1,431,908.26",,,,,,,,"336,678.08"
四、净利润,"25,932,778.43","55,675,667.55","57,315,485.85","18,001,399.71","3,349,110.33","3,416,053.66","5,830,827.08","13,056,321.17","11,059,903.81","11,884,850.86","20,116,599.85","13,277,150.34","29,281,327.83","14,254,166.55","6,154,291.02","4,067,815.67","-7,401,899.04","41,385,716.54","136,236,245.19","46,113,730.59","122,550,244.88","209,128,324.17","312,464,641.51","97,661,138.73","225,671,706.86","270,837,976.18","313,639,486.00"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"25,932,778.43","55,675,667.55","57,315,485.85","18,001,399.71","3,349,110.33","3,416,053.66","5,830,827.08","13,056,321.17","11,059,903.81","11,891,180.85","20,199,073.82","13,545,711.49","30,006,625.32","15,632,264.13","8,175,280.85","4,487,774.42","-6,551,720.89","41,988,276.17","136,915,960.52","46,373,470.94","122,283,592.86","208,776,267.57","314,046,824.76","98,069,453.57","225,594,966.88","271,977,687.58","314,820,335.16"
影响营业利润的其他科目,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,-0.01,,
少数股东损益,,,,,,,,,,"-6,329.99","-82,473.97","-268,561.15","-725,297.49","-1,378,097.58","-2,020,989.83","-419,958.75","-850,178.15","-602,559.63","-679,715.33","-259,740.35","266,652.02","352,056.60","-1,582,183.25","-408,314.84","76,739.98","-1,139,711.40","-1,180,849.16"
