科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,315,368,463.77","1,704,393,261.73","1,720,495,483.21","1,379,797,219.56","2,047,417,404.14","742,660,006.96","1,611,526,141.12","2,491,369,704.31","3,241,805,246.65","1,013,375,770.17","1,928,155,310.19","2,711,363,993.61","3,424,752,974.08","1,114,092,519.29","2,004,108,089.00","3,035,485,414.05","3,848,717,245.77","1,209,138,778.08","2,339,614,177.16","3,581,694,475.69","4,667,043,189.32","1,454,666,537.25","2,901,147,304.66","4,979,805,273.63","5,837,729,605.28","1,514,944,059.41","3,182,590,271.64","4,693,997,273.95","6,072,077,078.26","1,925,598,326.71","3,727,980,298.94","5,648,893,885.02","7,741,552,001.80","1,643,260,786.77","3,710,399,616.78"
二、营业利润,"125,933,476.63","183,872,735.42","102,790,339.34","90,711,732.08","190,826,114.42","60,961,587.45","154,604,435.98","231,576,548.96","290,551,714.50","68,813,887.19","133,621,920.31","139,921,942.10","100,566,689.69","56,338,544.44","82,507,694.40","113,826,641.09","151,488,797.39","78,554,995.64","111,936,208.71","173,724,454.98","222,900,629.18","68,960,078.34","121,783,925.11","215,871,525.48","246,974,620.01","50,099,863.71","107,703,702.92","176,407,099.35","142,675,124.57","94,327,960.45","93,219,353.89","105,025,855.62","167,960,981.95","63,038,616.05","118,090,857.20"
减:营业成本,"1,118,954,581.00","1,344,729,610.58","1,494,110,489.26","1,177,771,267.77","1,703,651,109.98","617,838,063.22","1,339,546,235.36","2,078,869,962.27","2,705,374,869.42","865,326,338.76","1,636,741,863.55","2,325,463,016.66","2,961,061,392.10","957,386,028.98","1,721,700,020.61","2,619,658,965.00","3,258,509,614.45","1,000,438,085.88","1,947,425,541.28","2,979,770,470.35","3,843,123,584.54","1,199,328,277.97","2,413,143,043.20","4,158,559,144.54","4,808,041,339.00","1,246,989,738.85","2,634,420,780.04","3,899,168,033.38","5,065,809,606.26","1,578,007,788.44","3,111,760,086.02","4,755,220,946.49","6,545,493,524.69","1,349,891,459.24","3,114,670,712.89"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,520,775.10","6,246,344.58","8,236,288.04","8,124,658.99","11,846,908.64","3,769,833.25","8,018,942.37","11,977,940.98","15,316,325.85","2,969,801.70","5,972,344.44","8,761,897.29","12,508,606.90","3,321,333.46","6,890,069.21","11,064,698.70","17,909,426.79","3,711,994.85","6,787,567.11","11,247,703.21","19,186,597.11","6,496,731.87","11,790,174.92","15,792,522.44","21,998,625.56","3,959,626.81","12,305,166.67","17,475,286.26","49,046,318.96","14,483,256.97","31,255,024.02","47,306,624.90","64,180,341.13","14,132,227.35","30,409,797.64"
营业外收入,"6,080,016.61","14,589,104.29","18,016,111.50","25,580,940.11","28,114,623.61","17,054,691.35","35,740,984.08","38,994,366.47","45,034,034.88","10,515,713.04","11,147,148.59","61,714,790.33","96,593,790.47","8,795,589.69","10,899,478.59","18,597,360.40","49,505,641.46","5,454,361.71","17,039,973.25","21,118,106.42","29,263,821.55","13,774,402.61","42,978,779.06","62,415,863.13","81,594,891.06","21,031,087.26","48,522,678.48","55,993,825.24","82,457,591.97","16,686,262.72","33,930,650.59","45,548,243.24","4,782,314.15","439,792.47","1,388,114.85"
销售费用,"26,311,055.68","28,122,358.72","24,252,310.06","18,601,600.40","27,119,064.56","17,070,011.19","29,584,390.36","44,291,441.39","63,630,774.62","19,358,622.38","34,073,310.22","55,346,037.69","78,283,930.03","29,908,350.40","54,466,517.20","86,686,891.59","120,402,106.85","42,573,357.31","75,233,369.86","117,791,729.22","159,603,296.33","53,773,002.89","106,857,428.81","172,088,390.80","216,476,264.44","61,501,574.48","124,749,434.26","177,622,224.06","245,110,089.39","85,442,260.06","158,852,791.27","226,359,290.39","296,859,055.39","50,077,211.84","123,652,879.47"
减:营业外支出,"1,857,030.26","8,183,559.18","982,706.97","790,001.23","2,023,273.77","135,512.62","511,663.01","992,733.63","3,237,729.27","637,773.82","1,374,212.69","1,408,586.45","1,710,092.42","7,953.19","49,589.88","520,781.92","1,427,430.85","218,647.47","814,167.73","905,738.49","3,741,341.90","99,123.12","156,480.56","284,084.13","3,541,644.86","397,703.70","2,074,409.57","2,933,858.05","6,075,457.11","867,969.87","13,792,406.97","18,686,746.05","32,726,152.83","745,687.79","4,526,710.34"
管理费用,"30,895,248.09","80,840,029.20","75,220,577.62","59,134,871.71","81,946,408.76","34,299,566.27","64,273,645.13","98,782,263.19","135,961,388.91","38,897,549.30","79,283,435.07","120,817,190.02","168,216,095.05","44,549,723.97","84,548,996.21","131,531,746.97","199,633,182.19","53,723,876.14","115,150,850.09","179,180,907.63","259,445,000.33","72,092,653.65","148,287,378.86","260,193,822.45","366,126,942.41","98,683,586.55","201,613,394.73","287,632,960.84","396,899,340.19","104,888,477.15","227,060,100.38","339,203,928.32","494,024,373.31","99,204,484.80","194,247,909.50"
其中:非流动资产处置净损失,"922,603.06","6,282,153.29","481,043.58","267,792.40","1,452,713.02","85,497.75","456,290.32","904,121.49","3,150,313.62","42,743.67","231,581.89","238,137.75","356,883.62",,,"66,300.68","537,074.42","11,062.08","88,403.04","128,555.98","2,770,943.28","1,893.60","18,837.54","28,955.83","2,601,074.75","62,576.08","396,970.87","486,682.24","731,681.49","757,272.77","12,985,688.02","17,680,396.00",,,
