科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,228,199,665.13","1,320,917,064.61","1,643,264,922.40","928,972,211.54","1,481,656,975.06","1,976,934,986.50","552,262,713.80","1,028,618,467.30","1,495,884,251.33","1,960,143,368.71","536,236,071.67","1,062,679,904.85","1,671,939,163.44","2,271,603,604.30","759,017,584.05","1,399,002,282.76","2,177,498,196.14","2,897,360,256.82","828,561,625.36","1,724,360,352.10","2,534,828,192.81","3,285,307,364.42","885,273,437.62","1,886,967,160.67","2,720,469,955.70","3,628,092,251.24","1,175,785,408.20","2,321,106,261.45","4,181,035,975.81","4,532,274,599.33","1,476,194,996.75","2,720,489,983.32","4,665,250,938.83","6,743,718,389.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"100,768,000.00",,,,,,,,,,,,,,,,
收到的税费返还,"28,283,729.85","29,417,053.17","6,978,080.82","5,271,212.43","7,659,104.34","19,417,223.76","12,269,424.82","17,494,705.76","20,948,411.17","25,858,410.73","10,559,986.53","16,903,216.23","26,017,562.24","29,222,594.45","5,433,663.08","25,159,160.50","46,968,942.19","54,886,950.42","12,479,951.00","20,045,023.13","29,882,232.00","36,293,721.44","15,905,768.09","22,719,387.22","42,113,789.82","59,153,640.13","16,749,707.01","24,523,492.13","46,867,592.53","59,475,564.91","16,498,122.13","32,728,468.78","60,496,401.91","91,978,041.32"
支付其他与投资活动有关的现金,,"7,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"131,262.21",,"204,068.39",,,,"19,300,000.00","34,300,000.00"
收到其他与经营活动有关的现金,"11,037,527.23","22,118,611.30","13,432,013.95","6,763,306.06","40,441,584.19","15,454,835.91","25,339,278.09","38,882,137.36","63,158,685.18","51,808,958.80","18,305,377.52","27,393,447.16","31,016,400.45","41,894,446.01","13,172,190.62","59,069,122.01","75,146,399.67","105,243,110.27","16,638,828.98","81,318,511.68","162,719,652.46","172,946,053.97","32,077,018.00","84,570,314.58","124,432,241.04","143,391,090.38","16,113,346.28","115,742,660.60","489,902,311.20","169,613,041.41","82,669,012.34","133,884,694.15","237,174,782.88","314,407,814.47"
投资活动现金流出小计,"64,493,079.69","200,969,122.05","110,230,759.87","53,372,754.39","80,257,679.74","115,370,488.36","33,814,531.09","192,368,691.44","240,501,255.49","353,403,938.87","131,627,333.95","200,617,099.86","261,802,421.25","301,400,988.71","177,398,017.28","323,873,783.49","385,876,158.22","446,025,917.03","43,086,397.86","65,713,504.73","184,065,161.86","226,444,262.17","54,377,928.10","290,538,756.95","381,281,703.07","1,257,808,370.23","599,022,545.34","2,721,857,375.32","3,757,875,731.31","3,965,597,934.85","87,000,925.19","379,684,998.38","991,659,472.78","1,501,379,649.17"
经营活动现金流入小计,"1,267,520,922.21","1,372,452,729.08","1,663,675,017.17","941,006,730.03","1,529,757,663.59","2,011,807,046.17","589,871,416.71","1,084,995,310.42","1,579,991,347.68","2,037,810,738.24","565,101,435.72","1,106,976,568.24","1,728,973,126.13","2,342,720,644.76","777,623,437.75","1,483,230,565.27","2,299,613,538.00","3,057,490,317.51","857,680,405.34","1,825,723,886.91","2,727,430,077.27","3,494,547,139.83","933,256,223.71","1,994,256,862.47","2,887,015,986.56","3,830,636,981.75","1,208,648,461.49","2,461,372,414.18","4,717,805,879.54","4,761,363,205.65","1,575,362,131.22","2,887,103,146.25","4,962,922,123.62","7,150,104,245.47"
投资活动产生的现金流量净额,"-64,493,079.69","-198,671,965.75","-109,835,759.87","-53,160,079.39","-80,045,004.74","-115,302,488.36","-33,714,531.09","-77,114,878.12","-125,247,442.17","-237,455,079.40","-131,523,000.55","-200,564,032.97","-261,508,354.36","-301,028,825.95","-177,398,017.28","-260,828,329.79","-263,610,660.68","-323,707,292.80","-43,086,397.86","-61,364,534.86","-179,543,031.99","-221,922,690.17","-52,503,692.10","-278,633,350.95","-369,335,797.07","-570,749,034.18","-71,154,916.34","35,250,253.60","107,752,565.74","-39,525,320.49","-75,707,959.26","-373,021,724.85","-980,918,969.92","-1,449,678,171.40"
购买商品、接受劳务支付的现金,"989,439,054.86","915,054,002.57","893,769,489.29","596,676,724.54","981,958,960.73","1,333,882,527.09","362,157,666.19","790,584,827.77","1,175,466,598.63","1,519,196,788.01","344,079,463.17","668,549,450.84","1,011,841,104.82","1,344,792,563.62","395,289,765.57","757,169,337.01","1,165,516,025.09","1,695,184,704.11","449,225,271.85","935,962,391.33","1,422,340,635.49","1,929,055,146.21","442,079,762.50","878,169,114.03","1,306,702,159.39","1,805,042,984.13","521,453,890.15","1,027,625,187.74","2,493,152,541.17","2,306,184,675.49","778,632,872.09","1,522,500,069.57","2,568,500,918.81","4,222,621,666.45"
吸收投资收到的现金,"83,445,550.00","121,000,000.00",,,,,"1,421,492,318.00","1,421,492,318.00","1,421,492,318.00","1,421,492,318.00",,,,,,,,,,,,,,,,"659,000.00","1,000.00","1,000.00","1,000.00","1,000.00","3,000,000.00","153,300,000.00","153,300,000.00","153,300,000.00"
支付给职工以及为职工支付的现金,"90,874,967.99","115,014,906.15","142,360,216.70","95,812,919.81","138,269,548.54","199,079,704.17","57,355,400.14","102,597,993.76","152,686,563.61","220,607,164.70","62,578,514.91","126,770,558.15","187,168,089.19","305,807,355.03","74,987,318.93","197,697,115.27","288,465,492.78","382,206,067.12","114,994,658.07","220,964,142.61","314,401,388.37","301,949,677.31","119,304,110.98","217,065,745.08","323,347,002.41","337,586,293.35","133,428,725.41","249,730,984.30","363,562,651.74","469,186,651.53","165,625,567.42","309,058,571.53","466,840,012.25","547,960,799.99"
取得借款收到的现金,"60,000,000.00","330,000,000.00","250,000,000.00","622,800.00","622,800.00","14,122,800.00",,,,"28,980,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,"30,625,140.00","30,625,140.00","30,625,140.00",,,,,,,"17,807,748.40","17,807,748.40",,"60,143,728.35","90,729,412.38","50,567,597.66",,,"150,000,000.00","150,000,000.00"
支付的各项税费,"28,693,618.56","55,827,610.65","109,760,412.16","51,043,459.01","83,660,283.64","121,492,118.40","22,995,154.47","80,115,526.03","108,850,662.00","148,656,063.56","27,342,434.44","68,622,781.58","107,272,824.79","146,679,583.96","36,573,665.63","82,962,207.73","127,081,751.55","178,343,021.02","52,022,429.62","122,042,953.74","189,263,814.66","235,137,082.07","46,326,821.19","104,591,706.98","180,970,867.18","250,737,466.09","45,684,890.29","136,591,002.43","205,749,972.48","271,569,814.70","88,460,955.46","183,161,819.36","230,230,127.39","354,897,302.88"
收到其他与筹资活动有关的现金,"538,833,700.83","419,250,830.46",,,,,"6,157,682.00","5,844,752.59","9,924,427.26","16,116,005.26","3,208,065.36","9,578,198.25","12,844,736.30","16,385,820.81","2,057,996.32","3,760,289.49","4,583,070.09","6,084,487.86","935,657.66","1,548,578.48","4,746,916.92",,,,,,,,,,,,,"52,821,890.57"
支付其他与经营活动有关的现金,"96,883,959.68","161,983,124.68","215,608,461.24","119,979,216.13","183,720,918.93","266,672,532.02","87,619,735.66","151,599,193.09","241,811,923.07","348,926,414.61","85,359,216.65","154,114,272.21","259,984,267.43","385,909,169.89","71,903,092.92","219,385,505.83","334,650,978.44","483,061,504.36","88,633,492.60","258,745,173.92","469,521,805.34","821,156,135.87","125,281,012.50","240,460,659.35","417,403,047.01","758,607,520.69","155,216,810.79","413,657,129.57","849,155,300.57","830,436,208.52","263,302,058.82","489,810,273.80","784,466,934.33","1,151,479,411.15"
筹资活动现金流入小计,"682,279,250.83","870,250,830.46","250,000,000.00","622,800.00","622,800.00","14,122,800.00","1,427,650,000.00","1,427,337,070.59","1,431,416,745.26","1,466,588,323.26","3,208,065.36","29,578,198.25","32,844,736.30","36,385,820.81","2,057,996.32","34,385,429.49","35,208,210.09","36,709,627.86","935,657.66","1,548,578.48","4,746,916.92",,,,"17,807,748.40","18,466,748.40","1,000.00","60,144,728.35","90,730,412.38","50,568,597.66","3,000,000.00","153,300,000.00","303,300,000.00","356,121,890.57"
经营活动现金流出小计,"1,205,891,601.09","1,247,879,644.05","1,361,498,579.39","863,512,319.49","1,387,609,711.84","1,921,126,881.68","530,127,956.46","1,124,897,540.65","1,678,815,747.31","2,237,386,430.88","519,359,629.17","1,018,057,062.78","1,566,266,286.23","2,183,188,672.50","578,753,843.05","1,257,214,165.84","1,915,714,247.86","2,738,795,296.61","704,875,852.14","1,537,714,661.60","2,395,527,643.86","3,287,298,041.46","732,991,707.17","1,440,287,225.44","2,228,423,075.99","3,151,974,264.26","855,784,316.64","1,827,604,304.04","3,911,620,465.96","3,877,377,350.24","1,296,021,453.79","2,504,530,734.26","4,050,037,992.78","6,276,959,180.47"
偿还债务支付的现金,"30,000,000.00","130,000,000.00","450,000,000.00","30,000,000.00","30,622,800.00","30,622,800.00",,"13,500,000.00","13,500,000.00","42,480,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00","362,787.37","362,787.37","362,787.37","30,843,300.37",,,,,,,,"10,016,400.00",,"30,101,330.94","90,913,080.38","30,402,016.03",,,,"19,900,709.72"
经营活动产生的现金流量净额,"61,629,321.12","124,573,085.03","302,176,437.78","77,494,410.54","142,147,951.75","90,680,164.49","59,743,460.25","-39,902,230.23","-98,824,399.63","-199,575,692.64","45,741,806.55","88,919,505.46","162,706,839.90","159,531,972.26","198,869,594.70","226,016,399.43","383,899,290.14","318,695,020.90","152,804,553.20","288,009,225.31","331,902,433.41","207,249,098.37","200,264,516.54","553,969,637.03","658,592,910.57","678,662,717.49","352,864,144.85","633,768,110.14","806,185,413.58","883,985,855.41","279,340,677.43","382,572,411.99","912,884,130.84","873,145,065.00"
