科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"47,465,591.26","209,884,793.13","36,992,671.97","65,928,838.29","686,522,283.58","446,523,868.31","404,916,057.37","236,419,214.44","145,361,942.75","127,173,271.11","179,539,212.86","112,517,062.08","64,613,221.79","181,477,438.29","162,043,577.42","185,839,446.31","123,157,900.73","285,651,431.46","188,273,058.57","166,109,745.47","751,095,812.27","258,008,110.49","276,699,254.15","650,085,674.12","727,056,870.53","202,377,017.49"
短期借款,"20,000,000.00","89,608,875.43","267,223,746.00","261,105,471.00",,,"37,713,000.00","61,718,425.00","50,000,000.00","318,627,255.80","327,389,861.42","305,631,783.00","241,275,208.80","286,052,077.50","189,395,320.87","245,431,613.89","238,101,930.91","574,501,968.13","674,819,631.04","762,683,368.40","891,568,741.81","966,762,085.30","1,118,800,802.25","1,167,081,089.55","894,403,758.62","826,538,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,575,024.88","43,445,054.82","111,411,250.87","98,825,039.56","77,847,530.30","70,546,072.27","103,858,427.30","56,299,429.98","62,844,083.71","90,692,648.63","98,029,430.87","137,114,098.57","106,231,350.01","113,115,196.27","162,717,346.49","155,769,264.30","318,451,912.85","283,257,592.93","306,440,348.15","271,271,194.33","544,706,873.12","744,908,234.55","1,130,497,890.28","1,088,194,367.15","813,666,978.74","962,216,320.48"
应付票据,,,"4,594,146.05","11,662,526.14","13,837,027.14","25,826,878.36","48,078,950.97","43,725,112.29","33,114,392.71","63,724,738.39","124,385,650.77","129,736,242.82","114,114,621.48","91,775,895.55","54,108,374.80","75,224,284.14","101,656,675.10","95,267,609.96","100,739,703.90","81,728,773.14","109,061,672.16","152,188,869.52","202,787,441.16","192,435,237.59","208,476,248.62","315,850,579.04"
应收账款,"51,236,606.10","95,151,203.41","186,289,631.62","189,820,397.71","230,585,721.51","248,402,211.82","237,004,564.46","250,649,648.06","261,235,545.69","275,698,317.19","270,360,587.37","278,921,577.52","337,804,367.31","431,763,751.37","412,200,477.73","461,675,406.38","487,532,076.17","592,143,630.54","653,205,317.43","694,165,035.01","845,641,783.41","833,604,387.99","665,719,607.96","864,394,128.65","913,261,327.19","903,055,673.39"
应付账款,"24,475,369.86","58,569,789.66","63,889,577.55","54,493,795.46","51,768,559.14","66,378,655.84","57,823,706.55","63,212,084.83","202,967,184.37","71,141,761.46","194,605,006.81","233,071,107.26","320,682,856.89","631,938,184.12","449,139,265.06","408,795,209.31","452,786,949.73","495,705,530.11","453,694,956.79","464,759,865.50","531,548,704.02","667,621,361.34","670,103,125.41","892,549,333.05","735,895,595.50","1,017,208,631.20"
预付款项,"32,780,473.10","83,314,261.77","10,789,724.59","24,460,192.04","30,503,460.27","71,864,377.34","55,254,473.66","90,906,146.65","48,444,058.68","70,563,639.86","28,410,184.32","24,639,451.10","31,730,541.55","80,346,451.10","7,458,695.54","8,040,018.27","9,600,411.26","35,135,293.47","26,078,480.73","31,588,285.06","35,797,724.53","42,561,736.89","22,007,334.34","35,499,041.75","33,526,156.77","39,996,477.09"
预收款项,,,,,,,,,,,"981,781.22","5,076,781.22","7,793,527.54","9,685,760.30","5,687,701.91","5,566,117.89","9,063,747.05","11,687,538.61","11,139,172.06","3,948,915.19","47,225,520.06","8,481,334.56","3,997,888.94","3,197,491.57","3,313,167.18","7,329,163.18"
其他应收款,"432,751.59","3,775,210.09","6,611,218.90","17,380,144.86","13,675,540.04","12,826,476.57","18,560,426.88","43,659,582.28","67,471,252.26","41,803,048.53","34,698,163.46","46,898,036.84","41,393,714.63","24,501,266.12","31,460,351.55","25,622,118.53","25,039,002.92","104,168,767.98","15,399,286.01","48,368,199.68","24,268,505.00","75,550,440.04","18,989,250.47","130,934,479.41","82,202,711.01","93,448,871.70"
应付职工薪酬,"1,832,091.47","2,737,690.43","3,378,540.18","4,099,058.13","3,992,745.71","4,095,171.39","4,116,454.38","4,141,761.80","5,029,263.27","5,890,737.00","6,974,747.76","8,330,366.09","10,331,248.51","11,434,967.13","13,605,757.67","12,773,600.05","14,286,539.90","14,555,391.20","13,707,393.98","13,684,102.30","17,201,274.19","20,131,504.86","26,058,335.14","22,984,003.84","32,760,864.83","37,132,037.53"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
